"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TAGLN",6.60240725896067e-237,2.39135652740962,0.846,0.335,1.16651331451317e-232
"S100B",3.68778368099895e-233,-1.17486642236247,0.83,0.992,6.51557620758894e-229
"MBP",8.03772964159529e-219,-1.30208801771583,0.751,0.982,1.42010607307706e-214
"RNASE1",2.59092719793774e-167,2.10251713958837,0.754,0.311,4.57765017331641e-163
"SPARC",7.76454627464162e-165,-0.74235848073811,0.97,0.999,1.37184003580368e-160
"ADH1B",1.22191460529941e-139,2.13294234199325,0.707,0.299,2.158878724643e-135
"PTGDS",1.54584957926734e-128,1.02366342054069,0.98,0.92,2.73120703664953e-124
"IGFBP7",4.18319396435315e-118,1.0090433507825,0.939,0.731,7.39086709621914e-114
"PLP1",1.85102894678668e-103,-0.866277857956655,0.752,0.928,3.2703979431827e-99
"ANGPTL7",4.97141281733933e-102,-0.994132789850085,0.695,0.886,8.78349216567513e-98
"MPZ",7.07796967068121e-102,-0.884917878908733,0.786,0.954,1.25053568141596e-97
"ADIRF",7.06245237328017e-101,1.08519092718526,0.892,0.715,1.24779408531114e-96
"GSN",4.48893074167853e-100,0.79472909308265,0.961,0.894,7.93104283439763e-96
"MGP",1.46530584784366e-96,1.52406063475657,0.702,0.363,2.58890237197018e-92
"PRELP",5.19540579884638e-96,1.61702517613154,0.646,0.3,9.17924296540179e-92
"HLA-DRA",2.08124815227214e-95,-0.76554948373034,0.823,0.965,3.67714923543443e-91
"CD74",3.14174132062937e-83,-0.455163231701228,0.991,0.999,5.55082856528797e-79
"GPX3",3.78310572587862e-83,1.86457965196615,0.686,0.45,6.68399119648234e-79
"PMP2",3.5825676783559e-81,-1.46262891166006,0.257,0.573,6.3296805741192e-77
"AQP1",8.59088870738093e-77,1.51991210580678,0.614,0.31,1.51783821682006e-72
"RPL13",8.39083371617502e-75,0.568546634399658,0.979,0.938,1.4824925009738e-70
"TXNIP",3.8408909434227e-72,1.06445803228047,0.768,0.541,6.78608611883923e-68
"COL1A1",1.34290459193205e-71,-1.16644022107065,0.476,0.726,2.37264383302555e-67
"METRN",1.42045444360738e-68,-1.24349327924306,0.347,0.63,2.50965891096552e-64
"CRLF1",5.14516366212864e-68,-1.65451801769299,0.162,0.437,9.09047515824889e-64
"PMP22",1.53313905658329e-67,-0.579019896005548,0.848,0.97,2.70875008517136e-63
"FN1",4.95484223328387e-66,-0.823927460094403,0.726,0.896,8.75421525776594e-62
"MDK",1.16337449222631e-64,-1.15119526513272,0.359,0.64,2.05545005286545e-60
"MFAP5",1.99983291252636e-63,1.81098965773897,0.43,0.149,3.53330478985158e-59
"SLC2A1",5.36473422438969e-62,1.35780484434148,0.575,0.294,9.47841242765171e-58
"CXCL14",5.9088927951942e-61,1.35242404249755,0.629,0.369,1.04398317905491e-56
"ACTA2",8.43454796335106e-61,1.33662725049706,0.566,0.29,1.49021593416487e-56
