"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"GO:0032502","developmental process",7236,55,3.5072929567847e-11,8.99269914119597e-08,"Arid5b,Arl13b,Arrb2,Arrdc3,Atf3,Bahcc1,Bcas1,Cdc42se1,Cebpd,Chuk,Clcn2,Dbp,Ddx3x,Dusp15,Errfi1,Foxo3,Fstl3,Gadd45b,Gjc3,Gldn,Hmgcr,Hspa8,Insig1,Junb,Kcna1,Klf10,Klf15,Klf9,Ldlr,Mbp,Megf9,Myo7a,Nedd9,Nr4a1,Otud7b,Per2,Prx,Rhob,Rhobtb3,Rilpl2,Sat1,Sdc4,Sgk1,Six5,Slc12a2,Slc1a5,Slc6a6,Stk40,Tbx6,Tgif1,Tle3,Trim46,Tsc22d3,Utp3,Zfand5"
"GO:0048856","anatomical structure development",6654,51,3.21115175134963e-10,4.11669654523023e-07,"Arid5b,Arl13b,Arrb2,Arrdc3,Atf3,Bahcc1,Bcas1,Cdc42se1,Cebpd,Chuk,Clcn2,Dbp,Dusp15,Errfi1,Foxo3,Fstl3,Gjc3,Gldn,Hmgcr,Hspa8,Insig1,Junb,Kcna1,Klf10,Klf15,Klf9,Ldlr,Mbp,Megf9,Myo7a,Nedd9,Nr4a1,Otud7b,Per2,Prx,Rhob,Rhobtb3,Rilpl2,Sat1,Sdc4,Sgk1,Six5,Slc12a2,Slc1a5,Stk40,Tbx6,Tgif1,Trim46,Tsc22d3,Utp3,Zfand5"
"GO:0051179","localization",5607,45,2.19635535055082e-09,1.87715170627077e-06,"Arl13b,Arrb2,Arrdc3,Atp1b3,Cdc42se1,Cfp,Chuk,Clcn2,Ddx3x,Errfi1,Etnppl,Frmd8,Gabarapl1,Gjc3,Gramd1b,Hmgcr,Hspa8,Insig1,Kcna1,Klf15,Ldlr,Mapk8ip1,Mat2a,Myo7a,Ncf2,Nedd9,Nr4a1,Otud7b,Per2,Pim3,Rab20,Rhob,Rhobtb3,Rilpl2,Scrn1,Sdc4,Sec14l1,Sgk1,Slc12a2,Slc1a5,Slc31a2,Slc6a6,Slc9a9,Trim46,Xpo6"
"GO:0007275","multicellular organism development",5197,42,9.62361503179782e-09,6.16873723538241e-06,"Arid5b,Arl13b,Arrb2,Bahcc1,Bcas1,Clcn2,Dbp,Dusp15,Errfi1,Foxo3,Fstl3,Gjc3,Gldn,Hspa8,Insig1,Junb,Kcna1,Klf10,Klf15,Klf9,Ldlr,Mbp,Megf9,Myo7a,Nedd9,Nr4a1,Otud7b,Per2,Prx,Rhob,Rhobtb3,Sat1,Sdc4,Sgk1,Six5,Slc12a2,Stk40,Tbx6,Tgif1,Trim46,Utp3,Zfand5"
"GO:0048731","system development",4438,38,1.6496584229681e-08,8.4594483929804e-06,"Arid5b,Arl13b,Arrb2,Bahcc1,Bcas1,Clcn2,Dbp,Dusp15,Errfi1,Foxo3,Gjc3,Gldn,Hspa8,Insig1,Junb,Kcna1,Klf15,Klf9,Ldlr,Mbp,Megf9,Myo7a,Nr4a1,Per2,Prx,Rhob,Rhobtb3,Sat1,Sdc4,Sgk1,Six5,Slc12a2,Stk40,Tbx6,Tgif1,Trim46,Utp3,Zfand5"
"GO:0023057","negative regulation of signaling",1648,22,3.02982087696954e-08,1.29474345475832e-05,"Arrb2,Arrdc3,Atf3,Cdc42se1,Chuk,Ddx3x,Errfi1,Foxo3,Frmd8,Fstl3,Hmgcr,Hspa8,Insig1,Ldlr,Mapk8ip1,Mat2a,Otud7b,Padi2,Pim3,Sec14l1,Tgif1,Tle3"
"GO:0048522","positive regulation of cellular process",6410,46,5.11699921275837e-08,1.87428371164464e-05,"Arid5b,Arrb2,Arrdc3,Atf3,Atp1b3,Cebpd,Cfp,Chuk,Clcn2,Dbp,Dcun1d3,Ddx3x,Dusp15,Foxo3,Frmd8,Fstl3,Gadd45b,Hmgcr,Hspa8,Ifngr2,Insig1,Junb,Klf10,Klf15,Klf9,Ldlr,Mapk8ip1,Mat2a,Mbp,Ncf2,Nedd9,Nr4a1,Otud7b,Padi2,Per2,Rhob,Sdc4,Sgk1,Six5,Slc12a2,Slc6a6,Tbx6,Tgif1,Trim46,Usp32,Zkscan3"
"GO:0048523","negative regulation of cellular process",5830,43,9.29828287520715e-08,2.70379065789183e-05,"Arid5b,Arrb2,Arrdc3,Atf3,Cdc42se1,Cebpd,Chuk,Dcun1d3,Ddx3x,Dusp15,Errfi1,Foxo3,Frmd8,Fstl3,Hmgcr,Hspa8,Insig1,Klf10,Klf15,Klf9,Ldlr,Mapk8ip1,Mat2a,Mbp,Nedd9,Nr4a1,Otud7b,Padi2,Per2,Pim3,Rhob,Sdc4,Sec14l1,Sgk1,Six5,Stk40,Tbx6,Tgif1,Tle3,Trim46,Tsc22d3,Zfp386,Zkscan3"
"GO:0048585","negative regulation of response to stimulus",1918,23,9.76219009898424e-08,2.70379065789183e-05,"Arrb2,Arrdc3,Atf3,Cdc42se1,Chuk,Ddx3x,Errfi1,Foxo3,Frmd8,Fstl3,Hmgcr,Hspa8,Insig1,Ldlr,Mapk8ip1,Mat2a,Otud7b,Padi2,Pim3,Sec14l1,Slc12a2,Tgif1,Tle3"
"GO:0048519","negative regulation of biological process",6085,44,1.05452053739931e-07,2.70379065789183e-05,"Arid5b,Arrb2,Arrdc3,Atf3,Cdc42se1,Cebpd,Chuk,Dcun1d3,Ddx3x,Dusp15,Errfi1,Foxo3,Frmd8,Fstl3,Hmgcr,Hspa8,Insig1,Klf10,Klf15,Klf9,Ldlr,Mapk8ip1,Mat2a,Mbp,Nedd9,Nr4a1,Otud7b,Padi2,Per2,Pim3,Rhob,Sdc4,Sec14l1,Sgk1,Six5,Slc12a2,Stk40,Tbx6,Tgif1,Tle3,Trim46,Tsc22d3,Zfp386,Zkscan3"
