"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"04610","Complement and coagulation cascades",94,5,0.000302556147091507,0.0450808659166346,"Cfd,Vwf,Cfhr1,Serpine2,Serpina5"
"00480","Glutathione metabolism",73,3,0.010833838463204,0.521538773638783,"Gpx3,Ggt5,Gstt2"
"04820","Cytoskeleton in muscle cells",233,5,0.0154799809056438,0.521538773638783,"Tnnc1,Comp,Synpo2,Fhl2,Fbn2"
"00590","Arachidonic acid metabolism",89,3,0.0184262730249428,0.521538773638783,"Ptgds,Ggt5,Ptges"
"04512","ECM-receptor interaction",89,3,0.0184262730249428,0.521538773638783,"Reln,Vwf,Comp"
"04976","Bile secretion",101,3,0.0256431478463604,0.521538773638783,"Aqp1,Slc2a1,Ephx1"
"04514","Cell adhesion molecule (CAM) interaction",181,4,0.0270369939500382,0.521538773638783,"H2-Eb1,Cldn5,Cntn2,Cdh5"
"04145","Phagosome",183,4,0.0280020818061092,0.521538773638783,"H2-Eb1,Marco,Comp,Tubb3"
"04510","Focal adhesion",202,4,0.0381990502979014,0.599111107205111,"Reln,Vwf,Cav1,Comp"
"04517","IgSF CAM signaling",300,5,0.0402087991412826,0.599111107205111,"Cntn2,Lmo7,Tubb3,Ptprz1,Robo4"
