"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"04517","IgSF CAM signaling",300,8,1.04241407473304e-05,0.00149065212686825,"Sptbn5,Cadm3,Gldn,Pmp22,Kcna1,Mbp,Rims1,Prkcq"
"04925","Aldosterone synthesis and secretion",104,4,0.000543897849736214,0.0388886962561393,"Nr4a1,Nr4a2,Ldlr,Atp1a1"
"04928","Parathyroid hormone synthesis, secretion and action",116,4,0.000820701028508938,0.039120082358926,"Nr4a2,Sgk1,Cdkn1a,Hbegf"
"04012","ErbB signaling pathway",84,3,0.0035306753021577,0.126221642052138,"Cdkn1a,Hbegf,Tgfa"
"04976","Bile secretion",101,3,0.00591636518851134,0.169208044391424,"Ldlr,Hmgcr,Atp1a1"
"04960","Aldosterone-regulated sodium reabsorption",38,2,0.00846243148084427,0.188204665782035,"Atp1a1,Sgk1"
"05219","Bladder cancer",41,2,0.00980291807054677,0.188204665782035,"Cdkn1a,Hbegf"
"04151","PI3K-Akt signaling pathway",368,5,0.0105289323514425,0.188204665782035,"Col1a1,Nr4a1,Sgk1,Cdkn1a,Tgfa"
"04934","Cushing syndrome",162,3,0.0211911054127364,0.307074881767445,"Nr4a1,Ldlr,Cdkn1a"
"05211","Renal cell carcinoma",70,2,0.0270136166599795,0.307074881767445,"Cdkn1a,Tgfa"
"04927","Cortisol synthesis and secretion",72,2,0.0284604843313144,0.307074881767445,"Nr4a1,Ldlr"
"05223","Non-small cell lung cancer",72,2,0.0284604843313144,0.307074881767445,"Cdkn1a,Tgfa"
"05214","Glioma",75,2,0.0306880974294937,0.307074881767445,"Cdkn1a,Tgfa"
"05212","Pancreatic cancer",76,2,0.0314456680717416,0.307074881767445,"Cdkn1a,Tgfa"
"04721","Synaptic vesicle cycle",77,2,0.032210651933648,0.307074881767445,"Rims1,Atp6v0b"
"05205","Proteoglycans in cancer",204,3,0.0382586673055883,0.341936839043696,"Col1a1,Cdkn1a,Hbegf"
"05210","Colorectal cancer",88,2,0.0410974057791371,0.345701707436271,"Cdkn1a,Tgfa"
"01522","Endocrine resistance",93,2,0.045409444484667,0.360752808961521,"Cdkn1a,Hbegf"
