"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"04510","Focal adhesion",202,30,8.6190083140853e-12,2.54260745265516e-09,"Col1a1,Col1a2,Tnxb,Bcar1,Spp1,Lamb1,Col4a2,Vcl,Itga6,Lama4,Flnb,Itga3,Pik3r1,Prkca,Lama5,Itgav,Rock2,Rap1a,Pten,Itga7,Col4a1,Ptk2,Flna,Ppp1r12a,Lamb2,Emp2,Col9a2,Pdgfrb,Rapgef1,Itga2b"
"04820","Cytoskeleton in muscle cells",233,31,6.9855545511803e-11,1.03036929629909e-08,"Sptbn5,Col1a1,Col5a1,Col5a3,Col1a2,Vim,Col24a1,Nid1,Plec,Diaph2,Col4a2,Vcl,Sgcd,Itga6,Dag1,Itga3,Tpm1,Snta1,Sdc3,Itgav,Itga7,Sptbn1,Lbr,Col4a1,Atp1a1,Col3a1,Eno2,Hspg2,Col9a2,Dtna,Itga2b"
"04512","ECM-receptor interaction",89,18,8.87909656388046e-10,8.73111162114912e-08,"Col1a1,Col1a2,Tnxb,Spp1,Lamb1,Col4a2,Itga6,Dag1,Lama4,Itga3,Lama5,Itgav,Itga7,Col4a1,Hspg2,Lamb2,Col9a2,Itga2b"
"04517","IgSF CAM signaling",300,30,1.23239193014483e-07,9.08889048481812e-06,"Sptbn5,Nfasc,Pmp22,Cadm3,Mbp,Mpz,Gldn,Slit2,Bcar1,Sorbs1,Rims1,Epb41l2,Vcl,Pik3r1,Prkca,Ppfia1,Magi1,Erc1,Msn,Plxna3,Rap1a,Iqgap1,Sptbn1,Cadm4,Tjp1,Ptk2,Map2k2,Rapgef2,Caskin2,Jam3"
"04151","PI3K-Akt signaling pathway",368,32,1.10941935145585e-06,6.54557417358951e-05,"Col1a1,Col1a2,Tnxb,Spp1,Lamb1,Col4a2,Itga6,Lama4,Itga3,Pik3r1,Nr4a1,Prkca,Lama5,Magi1,Itgav,Ifnar1,Pten,Tsc2,Gng2,Itga7,Nras,Col4a1,Ptk2,Fgf1,Ddit4,Map2k2,Jak2,Lamb2,Col9a2,Pdgfrb,Itga2b,Phlpp2"
"04810","Regulation of actin cytoskeleton",235,24,1.60749094518223e-06,7.90349714714597e-05,"Limk2,Bcar1,Diaph2,Vcl,Arhgef12,Itga6,Itga3,Pik3r1,Iqgap2,Msn,Itgav,Rock2,Itga7,Iqgap1,Tiam1,Nras,Mras,Ptk2,Fgf1,Ppp1r12a,Map2k2,Gsn,Pdgfrb,Itga2b"
"05165","Human papillomavirus infection",359,31,1.90678170987807e-06,8.03572292020045e-05,"Col1a1,Col1a2,Tnxb,Notch2,Spp1,Lamb1,Col4a2,Itga6,Atp6ap1,Lama4,Itga3,Pik3r1,Atp6v0a1,Tcf7l1,Lama5,Magi1,Itgav,Ifnar1,Pten,Tsc2,Itga7,Nras,Col4a1,Ptk2,Atp6v1h,Map2k2,Lamb2,Ubr4,Col9a2,Pdgfrb,Itga2b"
"04360","Axon guidance",181,19,1.34189126026989e-05,0.00047163064852713,"Sema3g,Limk2,Slit2,Sema5a,Camk2d,Arhgef12,Pik3r1,Prkca,Sema4g,Ephb6,Sema6c,Plxna3,Rock2,Nras,Epha6,Ptk2,Bmp7,Dpysl2,Gnai1"
"05222","Small cell lung cancer",94,13,1.73250393565007e-05,0.00047163064852713,"Lamb1,Col4a2,Itga6,Lama4,Itga3,Pik3r1,Lama5,Itgav,Pten,Col4a1,Ptk2,Lamb2,Itga2b"
"04974","Protein digestion and absorption",108,14,1.75862275721981e-05,0.00047163064852713,"Col1a1,Col5a1,Col5a3,Col1a2,Col24a1,Col4a2,Col23a1,Col14a1,Col4a1,Atp1a1,Col3a1,Slc3a2,Slc38a2,Col9a2"
"05146","Amoebiasis",108,14,1.75862275721981e-05,0.00047163064852713,"Col1a1,Col1a2,Adcy1,Lamb1,Col4a2,Vcl,Lama4,Pik3r1,Prkca,Lama5,Col4a1,Ptk2,Col3a1,Lamb2"
"05205","Proteoglycans in cancer",204,20,2.19713781765541e-05,0.000540129713506956,"Col1a1,Col1a2,Camk2d,Pdcd4,Arhgef12,Pik3r1,Prkca,Cd63,Msn,Itgav,Rock2,Iqgap1,Tiam1,Nras,Mras,Ptk2,Hspg2,Flna,Ppp1r12a,Map2k2"
