"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"04510","Focal adhesion",202,28,1.18724863352766e-11,3.44302103723021e-09,"Col1a2,Tnxb,Bcar1,Spp1,Lamb1,Col4a2,Vcl,Itga6,Lama4,Flnb,Itga3,Pik3r1,Prkca,Lama5,Itgav,Rock2,Rap1a,Pten,Itga7,Col4a1,Ptk2,Flna,Ppp1r12a,Lamb2,Emp2,Pdgfrb,Rapgef1,Itga2b"
"04512","ECM-receptor interaction",89,16,7.75229336445268e-09,1.12408253784564e-06,"Col1a2,Tnxb,Spp1,Lamb1,Col4a2,Itga6,Dag1,Lama4,Itga3,Lama5,Itgav,Itga7,Col4a1,Hspg2,Lamb2,Itga2b"
"04820","Cytoskeleton in muscle cells",233,25,3.37874122616823e-08,3.26611651862929e-06,"Col5a1,Col5a3,Col1a2,Vim,Col24a1,Nid1,Plec,Diaph2,Col4a2,Vcl,Sgcd,Itga6,Dag1,Itga3,Tpm1,Snta1,Itgav,Itga7,Sptbn1,Lbr,Col4a1,Eno2,Hspg2,Dtna,Itga2b"
"05165","Human papillomavirus infection",359,29,1.26610749394375e-06,9.17927933109218e-05,"Col1a2,Tnxb,Notch2,Spp1,Lamb1,Col4a2,Itga6,Atp6ap1,Lama4,Itga3,Pik3r1,Atp6v0a1,Tcf7l1,Lama5,Magi1,Itgav,Ifnar1,Pten,Tsc2,Itga7,Nras,Col4a1,Ptk2,Atp6v1h,Map2k2,Lamb2,Ubr4,Pdgfrb,Itga2b"
"04810","Regulation of actin cytoskeleton",235,22,2.37916416232622e-06,0.00013799152141492,"Bcar1,Diaph2,Vcl,Arhgef12,Itga6,Itga3,Pik3r1,Iqgap2,Msn,Itgav,Rock2,Itga7,Iqgap1,Tiam1,Nras,Mras,Ptk2,Ppp1r12a,Map2k2,Gsn,Pdgfrb,Itga2b"
"05222","Small cell lung cancer",94,13,4.47387561183262e-06,0.000216237321238577,"Lamb1,Col4a2,Itga6,Lama4,Itga3,Pik3r1,Lama5,Itgav,Pten,Col4a1,Ptk2,Lamb2,Itga2b"
"04151","PI3K-Akt signaling pathway",368,28,6.18941064937711e-06,0.00025641844118848,"Col1a2,Tnxb,Spp1,Lamb1,Col4a2,Itga6,Lama4,Itga3,Pik3r1,Prkca,Lama5,Magi1,Itgav,Ifnar1,Pten,Tsc2,Gng2,Itga7,Nras,Col4a1,Ptk2,Ddit4,Map2k2,Jak2,Lamb2,Pdgfrb,Itga2b,Phlpp2"
"04360","Axon guidance",181,18,8.67992525433331e-06,0.00027604657199753,"Sema3g,Slit2,Sema5a,Camk2d,Arhgef12,Pik3r1,Prkca,Sema4g,Ephb6,Sema6c,Plxna3,Rock2,Nras,Epha6,Ptk2,Bmp7,Dpysl2,Gnai1"
"05410","Hypertrophic cardiomyopathy",100,13,8.97657642905274e-06,0.00027604657199753,"Cacnb3,Sgcd,Itga6,Atp2a2,Prkab2,Dag1,Itga3,Tpm1,Snta1,Itgav,Itga7,Dtna,Itga2b"
"05412","Arrhythmogenic right ventricular cardiomyopathy",86,12,9.51884731025965e-06,0.00027604657199753,"Cacnb3,Sgcd,Itga6,Atp2a2,Dag1,Itga3,Tcf7l1,Snta1,Itgav,Itga7,Dtna,Itga2b"
"05414","Dilated cardiomyopathy",103,13,1.24587654261471e-05,0.00028327785927817,"Adcy1,Cacnb3,Sgcd,Itga6,Atp2a2,Dag1,Itga3,Tpm1,Snta1,Itgav,Itga7,Dtna,Itga2b"
"05205","Proteoglycans in cancer",204,19,1.26285610264345e-05,0.00028327785927817,"Col1a2,Camk2d,Pdcd4,Arhgef12,Pik3r1,Prkca,Cd63,Msn,Itgav,Rock2,Iqgap1,Tiam1,Nras,Mras,Ptk2,Hspg2,Flna,Ppp1r12a,Map2k2"
"04517","IgSF CAM signaling",300,24,1.26986626572973e-05,0.00028327785927817,"Nfasc,Mpz,Slit2,Bcar1,Sorbs1,Epb41l2,Vcl,Pik3r1,Prkca,Ppfia1,Magi1,Erc1,Msn,Plxna3,Rap1a,Iqgap1,Sptbn1,Cadm4,Tjp1,Ptk2,Map2k2,Rapgef2,Caskin2,Jam3"
"05146","Amoebiasis",108,12,9.59640997037368e-05,0.00185832259846569,"Col1a2,Adcy1,Lamb1,Col4a2,Vcl,Lama4,Pik3r1,Prkca,Lama5,Col4a1,Ptk2,Lamb2"
"04520","Adherens junction",92,11,9.61201344033978e-05,0.00185832259846569,"Sorbs1,Vcl,Ptprm,Tcf7l1,Rock2,Rap1a,Iqgap1,Tjp1,Smad4,Nlk,Ctnnd1"
"05200","Pathways in cancer",549,33,0.000116838394131707,0.00211769589363718,"Adcy1,Notch2,Lamb1,Camk2d,Lrp5,Col4a2,Arhgef12,Itga6,Lrp6,Lama4,Itga3,Pik3r1,Prkca,Tcf7l1,Lama5,Itgav,Rock2,Ifnar1,Pten,Gng2,Nras,Smad4,Col4a1,Ccdc6,Ptk2,Egln1,Ctbp1,Map2k2,Jak2,Lamb2,Pdgfrb,Gnai1,Itga2b"
"01212","Fatty acid metabolism",62,8,0.000513179650632807,0.00837743097578893,"Acads,Acsl3,Elovl7,Acaca,Mecr,Scd2,Elovl1,Fasn"
"00900","Terpenoid backbone biosynthesis",23,5,0.000519978474359313,0.00837743097578893,"Hmgcs1,Hmgcs2,Fdps,Fntb,Mvk"
"04015","Rap1 signaling pathway",215,16,0.000796903795724001,0.0121632684610505,"Bcar1,Adcy1,Pik3r1,Prkca,Magi1,Rap1a,Tiam1,Nras,Mras,Ctnnd1,Map2k2,Rapgef2,Pdgfrb,Gnai1,Rapgef1,Itga2b"
"04670","Leukocyte transendothelial migration",119,11,0.00091661370398441,0.0132908987077739,"Bcar1,Vcl,Pik3r1,Prkca,Msn,Rock2,Rap1a,Ptk2,Ctnnd1,Gnai1,Jam3"
"04150","mTOR signaling pathway",158,13,0.000976070762765758,0.0134790724381938,"Lrp5,Lrp6,Pik3r1,Prkca,Pten,Rictor,Tsc2,Nras,Atp6v1h,Ddit4,Slc3a2,Map2k2,Prr5"
"00280","Valine, leucine and isoleucine degradation",57,7,0.00153920662760959,0.0202895419093991,"Hmgcs1,Acads,Aacs,Pcca,Hmgcs2,Aldh2,Bckdhb"
"05145","Toxoplasmosis",109,10,0.00164311846392118,0.0207175806320497,"Lamb1,Itga6,Lama4,Irak1,Lama5,Tab2,H2-DMa,Jak2,Lamb2,Gnai1"
"04530","Tight junction",170,13,0.00190028353370983,0.0229617593656604,"Prkab2,Epb41l4b,Magi1,Msn,Rock2,Rap1a,Micall2,Arhgef2,Tiam1,Tjp1,Arhgap17,Rapgef2,Jam3"
"00061","Fatty acid biosynthesis",19,4,0.00219789429280677,0.0254955737965585,"Acsl3,Acaca,Mecr,Fasn"
"00100","Steroid biosynthesis",20,4,0.00268284790265635,0.0299240727603978,"Dhcr24,Sqle,Lbr,Sc5d"
