"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"GO:0048513","animal organ development",3492,21,1.57656641513458e-06,0.00243896501604176,"Egr1,Fos,Dusp6,Col4a1,Sostdc1,Spg11,Fasn,Lamb1,Selenon,Ift172,Id3,Cys1,Trpc4ap,Ctcf,L1cam,Kdm7a,Tacc1,Vps52,Eya4,Tns3,Igf1r"
"GO:0050789","regulation of biological process",13279,43,2.95095585727981e-06,0.00243896501604176,"Egr1,Fos,Dusp6,Nr1d1,Cry2,Trim56,Col4a1,Pcdh7,Nrbp2,Sostdc1,Ypel3,Spg11,Anapc2,Lamb1,Smtn,Selenon,Lsm14a,Per3,Zbtb4,Zfp809,Ift172,Id3,Cys1,Ddx3y,Ctcf,Wdfy1,C1s1,L1cam,Kdm7a,Gria3,Brd8,Tacc1,Rnf141,Eya4,Kcnh8,Sh3bp2,Tns3,Zmynd11,Caml,Igf1r,Tbc1d10a,Ifit3,Tax1bp3"
"GO:0065007","biological regulation",13697,43,8.38817484798026e-06,0.00356657923747422,"Egr1,Fos,Dusp6,Nr1d1,Cry2,Trim56,Col4a1,Pcdh7,Nrbp2,Sostdc1,Ypel3,Spg11,Anapc2,Lamb1,Smtn,Selenon,Lsm14a,Per3,Zbtb4,Zfp809,Ift172,Id3,Cys1,Ddx3y,Ctcf,Wdfy1,C1s1,L1cam,Kdm7a,Gria3,Brd8,Tacc1,Rnf141,Eya4,Kcnh8,Sh3bp2,Tns3,Zmynd11,Caml,Igf1r,Tbc1d10a,Ifit3,Tax1bp3"
"GO:0007166","cell surface receptor signaling pathway",2960,18,1.05100519612714e-05,0.00356657923747422,"Egr1,Fos,Nr1d1,Trim56,Col4a1,Sostdc1,Lamb1,Selenon,Lsm14a,Ift172,Wdfy1,L1cam,Gria3,Eya4,Zmynd11,Caml,Igf1r,Tax1bp3"
"GO:0007417","central nervous system development",1110,11,1.08782477442451e-05,0.00356657923747422,"Fos,Nr1d1,Col4a1,Spg11,Lamb1,Ift172,Id3,L1cam,Kdm7a,Tacc1,Igf1r"
"GO:0048523","negative regulation of cellular process",5830,26,1.44595382591962e-05,0.00356657923747422,"Egr1,Dusp6,Nr1d1,Cry2,Nrbp2,Sostdc1,Anapc2,Lamb1,Selenon,Lsm14a,Per3,Zbtb4,Zfp809,Ift172,Id3,Cys1,Ddx3y,Ctcf,Eya4,Kcnh8,Tns3,Zmynd11,Caml,Igf1r,Ifit3,Tax1bp3"
"GO:0032922","circadian regulation of gene expression",74,4,1.5369238051293e-05,0.00356657923747422,"Egr1,Nr1d1,Cry2,Per3"
"GO:0050794","regulation of cellular process",12856,41,1.72611215364753e-05,0.00356657923747422,"Egr1,Fos,Dusp6,Nr1d1,Cry2,Trim56,Col4a1,Pcdh7,Nrbp2,Sostdc1,Ypel3,Spg11,Anapc2,Lamb1,Selenon,Lsm14a,Per3,Zbtb4,Zfp809,Ift172,Id3,Cys1,Ddx3y,Ctcf,Wdfy1,L1cam,Kdm7a,Gria3,Brd8,Tacc1,Rnf141,Eya4,Kcnh8,Sh3bp2,Tns3,Zmynd11,Caml,Igf1r,Tbc1d10a,Ifit3,Tax1bp3"
"GO:0060086","circadian temperature homeostasis",4,2,2.39737556096053e-05,0.00440317978029751,"Egr1,Nr1d1"
"GO:0048519","negative regulation of biological process",6085,26,3.22124401575031e-05,0.00532471635803526,"Egr1,Dusp6,Nr1d1,Cry2,Nrbp2,Sostdc1,Anapc2,Lamb1,Selenon,Lsm14a,Per3,Zbtb4,Zfp809,Ift172,Id3,Cys1,Ddx3y,Ctcf,Eya4,Kcnh8,Tns3,Zmynd11,Caml,Igf1r,Ifit3,Tax1bp3"
