"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"05222","Small cell lung cancer",94,26,1.05973463195403e-09,3.56070836336555e-07,"Akt3,Bcl2,Bcl2l1,Cdkn1a,Col4a1,Col4a2,Ddb2,Ikbkb,Itga2b,Itga3,Itga6,Itgav,Itgb1,Lama4,Lama5,Lamb1,Lamb2,Lamc1,Max,Nfkbia,Pik3cd,Pik3r1,Pten,Ptk2,Rxrb,Traf2"
"04360","Axon guidance",181,36,1.38633599695016e-08,2.32904447487627e-06,"Arhgef12,Bmp7,Camk2d,Camk2g,Cfl1,Cfl2,Dpysl2,Epha6,Gnai1,Itgb1,Kras,L1cam,Limk2,Lrig2,Lrrc4c,Mapk1,Ntng1,Pard3,Pik3cd,Pik3r1,Plxna1,Ppp3ca,Prkca,Ptk2,Rock2,Sema3b,Sema3g,Sema4g,Sema5a,Sema6c,Sema6d,Sema7a,Slit2,Slit3,Srgap2,Ssh3"
"04510","Focal adhesion",202,38,2.68671235665806e-08,3.00911783945702e-06,"Akt3,Arhgap35,Arhgap5,Bcar1,Bcl2,Cav2,Col1a1,Col1a2,Col4a1,Col4a2,Emp1,Flnb,Itga2b,Itga3,Itga6,Itga7,Itgav,Itgb1,Lama4,Lama5,Lamb1,Lamb2,Lamc1,Mapk1,Pdgfa,Pdgfd,Pdgfrb,Pik3cd,Pik3r1,Ppp1r12a,Prkca,Pten,Ptk2,Pxn,Rap1a,Rock2,Spp1,Vcl"
"04517","IgSF CAM signaling",300,48,8.77158008410366e-08,7.36812727064707e-06,"Akt3,Ank3,App,Arpc5,Bcar1,Cadm3,Cadm4,Epb41l2,Erc1,Fgfr1,Foxo1,Gldn,Il1rap,Itgb1,Jam3,Kcna1,Kcna2,L1cam,Lrrc4c,Lrrtm4,Ly9,Mag,Magi1,Mapk1,Mpz,Msn,Myl6,Ncam1,Nfasc,Nlgn2,Pard3,Pik3cd,Pik3r1,Plxna1,Pmp22,Ppfia1,Prkca,Prkcq,Ptk2,Pxn,Rap1a,Slit2,Slit3,Sorbs1,Sptbn5,Srgap2,Tuba1a,Vcl"
"00900","Terpenoid backbone biosynthesis",23,11,1.39769540374397e-07,9.39251311315946e-06,"Dhdds,Fdps,Fnta,Fntb,Hmgcr,Hmgcs1,Hmgcs2,Idi1,Mvd,Mvk,Pmvk"
"00100","Steroid biosynthesis",20,10,3.10875509849282e-07,1.74090285515598e-05,"Cyp51,Dhcr24,Fdft1,Hsd17b7,Lipa,Lss,Msmo1,Sc5d,Sqle,Tm7sf2"
"04151","PI3K-Akt signaling pathway",368,53,6.11276690112665e-07,2.74885847754247e-05,"Akt3,Bcl2,Bcl2l1,Cdkn1a,Col1a1,Col1a2,Col4a1,Col4a2,Creb1,Creb3l2,Ddit4,Fgf1,Fgfr1,Foxo3,G6pc3,Gng2,Hsp90b1,Ifnar1,Ikbkb,Il6ra,Insr,Itga2b,Itga3,Itga6,Itga7,Itgav,Itgb1,Jak2,Kras,Lama4,Lama5,Lamb1,Lamb2,Lamc1,Magi1,Mapk1,Mdm2,Nr4a1,Pdgfa,Pdgfd,Pdgfrb,Phlpp2,Pik3cd,Pik3r1,Pkn2,Ppp2r5c,Prkca,Pten,Ptk2,Sgk1,Spp1,Tgfa,Tsc2"
"05165","Human papillomavirus infection",359,52,6.54490113700588e-07,2.74885847754247e-05,"Akt3,Atp6ap1,Atp6v0a1,Atp6v0e,Atp6v1b2,Atp6v1g1,Cdkn1a,Col1a1,Col1a2,Col4a1,Col4a2,Creb1,Creb3l2,Crebbp,Ep300,Foxo1,Gnas,H2-D1,Hdac1,Ifnar1,Ikbkb,Itga2b,Itga3,Itga6,Itga7,Itgav,Itgb1,Kras,Lama4,Lama5,Lamb1,Lamb2,Lamc1,Magi1,Mapk1,Mdm2,Notch2,Pard3,Pdgfrb,Pik3cd,Pik3r1,Ppp2r5c,Psen1,Pten,Ptk2,Pxn,Rbpj,Spp1,Tada3,Tbk1,Tsc2,Ube3a"
"04141","Protein processing in endoplasmic reticulum",177,32,8.55554742406561e-07,3.19407103831783e-05,"Bcl2,Cryab,Dnajb12,Erlec1,Ganab,Herpud1,Hsp90b1,Hspa1b,Magt1,Man1a,Man1a2,Man1b1,Map2k7,Mbtps1,Nfe2l2,P4hb,Pdia3,Pdia6,Plaa,Rrbp1,Sec24a,Sec24b,Sec61g,Sec62,Stt3b,Svip,Traf2,Tusc3,Ube2d2a,Ubxn6,Uggt1,Vcp"
"03250","Viral life cycle - HIV-1",63,17,1.21932690450864e-06,4.09419801600329e-05,"Bicd1,Bicd2,Bst2,Ccnt2,Cdk9,Cpsf6,Crebbp,Ep300,Fez1,Map1s,Ranbp2,Serinc3,Serinc5,Smarcb1,Supt4a,Tsg101,Xpo1"
"05215","Prostate cancer",107,23,1.41611150405467e-06,4.09419801600329e-05,"Akt3,Bcl2,Cdkn1a,Creb1,Creb3l2,Crebbp,Ep300,Fgfr1,Foxo1,Hsp90b1,Ikbkb,Kras,Mapk1,Mdm2,Nfkbia,Pdgfa,Pdgfd,Pdgfrb,Pik3cd,Pik3r1,Pten,Tgfa,Zeb1"
"04810","Regulation of actin cytoskeleton",235,38,1.50994098620838e-06,4.09419801600329e-05,"Akt3,Arhgap35,Arhgef12,Arpc5,Bcar1,Cfl1,Cfl2,Diaph2,Fgf1,Fgfr1,Gna12,Gsn,Itga2b,Itga3,Itga6,Itga7,Itgav,Itgb1,Kras,Limk2,Mapk1,Mras,Msn,Nckap1,Pdgfa,Pdgfd,Pdgfrb,Pik3cd,Pik3r1,Ppp1r12a,Ptk2,Pxn,Rock2,Spata13,Ssh3,Tiam1,Tmsb4x,Vcl"
"04137","Mitophagy - animal",100,22,1.5840647085727e-06,4.09419801600329e-05,"Ambra1,Arih1,Bcl2l1,Fis1,Foxo3,Gabarap,Gabarapl1,Huwe1,Kras,Map1lc3b,Mras,Mtx3,Optn,Rhot1,Samm50,Smurf1,Tax1bp1,Tbc1d15,Tbk1,Traf2,Usp15,Vcp"
"04068","FoxO signaling pathway",133,26,2.01315208433366e-06,4.67455382777254e-05,"Akt3,Cat,Cdkn1a,Crebbp,Ep300,Fbxo25,Foxo1,Foxo3,G6pc3,Gabarap,Gabarapl1,Homer1,Ikbkb,Insr,Klf2,Kras,Mapk1,Mdm2,Nlk,Pik3cd,Pik3r1,Prkab2,Pten,Sgk1,Smad4,Usp7"
"04140","Autophagy - animal",167,30,2.15358551642211e-06,4.67455382777254e-05,"Akt3,Ambra1,Atg4b,Bcl2,Bcl2l1,Ctsd,Ddit4,Gabarap,Gabarapl1,Kras,Lamp1,Map1lc3b,Mapk1,Mras,Optn,Pik3cd,Pik3r1,Prkcq,Pten,Rab33b,Rubcn,Sh3glb1,Stx17,Supt20,Tax1bp1,Tbk1,Tsc2,Vps11,Wdfy3,Wipi2"
"05200","Pathways in cancer",549,69,2.22597801322502e-06,4.67455382777254e-05,"Adcy1,Adcy8,Akt3,Appl1,Arhgef12,Arnt,Bcl2,Bcl2l1,Camk2d,Camk2g,Ccdc6,Cdkn1a,Col4a1,Col4a2,Crebbp,Ctbp1,Ctnna1,Ddb2,Egln2,Elob,Ep300,Fgf1,Fgfr1,Foxo1,Gna12,Gnai1,Gnas,Gng2,Hdac1,Hsp90b1,Ifnar1,Ifngr1,Ikbkb,Il6ra,Itga2b,Itga3,Itga6,Itgav,Itgb1,Jak2,Kras,Lama4,Lama5,Lamb1,Lamb2,Lamc1,Lrp6,Mapk1,Max,Mdm2,Nfe2l2,Nfkbia,Notch2,Pdgfa,Pdgfrb,Pik3cd,Pik3r1,Prkca,Pten,Ptk2,Ralbp1,Ralgds,Rock2,Runx1t1,Rxrb,Smad4,Tgfa,Tpr,Traf2"
"01521","EGFR tyrosine kinase inhibitor resistance",80,18,1.00118796736401e-05,0.000197881857079003,"Akt3,Bcl2,Bcl2l1,Foxo3,Gab1,Il6ra,Jak2,Kras,Mapk1,Nf1,Pdgfa,Pdgfd,Pdgfrb,Pik3cd,Pik3r1,Prkca,Pten,Tgfa"
"04512","ECM-receptor interaction",89,19,1.28232959595214e-05,0.0002393681912444,"Agrn,Cd47,Col1a1,Col1a2,Col4a1,Col4a2,Dag1,Itga2b,Itga3,Itga6,Itga7,Itgav,Itgb1,Lama4,Lama5,Lamb1,Lamb2,Lamc1,Spp1"
"05205","Proteoglycans in cancer",204,31,4.8092735028765e-05,0.000834332409541623,"Akt3,Ank3,Arhgef12,Camk2d,Camk2g,Cav2,Cd63,Cdkn1a,Col1a1,Col1a2,Ddx5,Fgfr1,Gab1,Itgav,Itgb1,Kras,Mapk1,Mdm2,Mras,Msn,Nudt16l1,Pdcd4,Pik3cd,Pik3r1,Ppp1r12a,Prkca,Ptk2,Pxn,Rock2,Tiam1,Timp3"
"04150","mTOR signaling pathway",158,26,4.96626434250966e-05,0.000834332409541623,"Akt3,Atp6v1b2,Atp6v1g1,Cab39l,Castor2,Ddit4,Flcn,Ikbkb,Insr,Kras,Lamtor5,Lpin1,Lrp6,Mapk1,Mios,Pik3cd,Pik3r1,Prkca,Prr5,Pten,Rictor,Sgk1,Slc3a2,Slc7a5,Tbc1d7,Tsc2"
"04066","HIF-1 signaling pathway",117,21,7.20477596848049e-05,0.00115276415495688,"Akt3,Aldoa,Arnt,Bcl2,Camk2d,Camk2g,Cdkn1a,Crebbp,Egln2,Elob,Eno2,Ep300,Ifngr1,Il6ra,Insr,Ldhb,Mapk1,Pfkl,Pik3cd,Pik3r1,Prkca"
"04213","Longevity regulating pathway - multiple species",61,14,7.61702779778664e-05,0.00116332788184378,"Adcy1,Adcy8,Akt3,Cat,Cryab,Foxo1,Foxo3,Hdac1,Hspa1b,Insr,Kras,Pik3cd,Pik3r1,Prkab2"
"04152","AMPK signaling pathway",127,22,8.4973854745048e-05,0.00118266295351776,"Acaca,Akt3,Cab39l,Creb1,Creb3l2,Fasn,Foxo1,Foxo3,G6pc3,Hmgcr,Insr,Pfkl,Pik3cd,Pik3r1,Ppp2r5c,Prkab2,Rab10,Rab2a,Scd1,Scd2,Srebf1,Tsc2"
"04148","Efferocytosis",163,26,8.5128140472455e-05,0.00118266295351776,"Adam10,Adam17,Adam9,Ano6,Arnt,Atp11b,Atp11c,Atp2a2,Bcar1,Camk2d,Camk2g,Cd47,Creb1,Elmo1,Gulp1,Itgav,Jak2,Lipa,Lrp1,Mapk1,Odc1,Ptk2,Sgk1,Sirpa,Vps11,Vps8"
"04710","Circadian rhythm",34,10,8.79957554700712e-05,0.00118266295351776,"Btrc,Creb1,Cry2,Csnk1d,Dbp,Fbxl3,Nr1d1,Per1,Per2,Prkab2"
"05211","Renal cell carcinoma",70,15,9.87857433474448e-05,0.00127661576018236,"Akt3,Arnt,Cdkn1a,Crebbp,Egln2,Elob,Ep300,Flcn,Gab1,Kras,Mapk1,Pik3cd,Pik3r1,Rap1a,Tgfa"
"00310","Lysine degradation",64,14,0.000132532086231532,0.00164928818421462,"Aldh2,Colgalt1,Dot1l,Ezh1,Kmt2b,Kmt2c,Kmt2d,Kmt2e,Kmt5b,Nsd1,Nsd3,Plod1,Setd1b,Setdb1"
"04211","Longevity regulating pathway",90,17,0.000181595485375961,0.00217914582451153,"Adcy1,Adcy8,Akt3,Appl1,Cat,Creb1,Creb3l2,Foxo1,Foxo3,Insr,Kras,Pik3cd,Pik3r1,Prkab2,Sesn1,Sesn3,Tsc2"
"05214","Glioma",75,15,0.000223395654295211,0.00258830827045486,"Akt3,Camk2d,Camk2g,Cdkn1a,Ddb2,Kras,Mapk1,Mdm2,Pdgfa,Pdgfrb,Pik3cd,Pik3r1,Prkca,Pten,Tgfa"
"05145","Toxoplasmosis",109,19,0.000233385164757832,0.00259531675307136,"Akt3,Bcl2,Bcl2l1,Gnai1,Hspa1b,Ifngr1,Ikbkb,Itga6,Itgb1,Jak2,Lama4,Lama5,Lamb1,Lamb2,Lamc1,Ldlr,Mapk1,Nfkbia,Tab2"
"04520","Adherens junction",92,17,0.000239448867098845,0.00259531675307136,"Crebbp,Ctnna1,Ctnnd1,Ep300,Fgfr1,Insr,Krit1,Mapk1,Nlk,Pard3,Ptprm,Rap1a,Rock2,Smad4,Smurf1,Sorbs1,Vcl"
"05230","Central carbon metabolism in cancer",69,14,0.000306826015508266,0.00322167316283679,"Akt3,Fgfr1,Gls,Kras,Ldhb,Mapk1,Pdgfrb,Pfkl,Pik3cd,Pik3r1,Pten,Sirt3,Sirt6,Slc7a5"
"04071","Sphingolipid signaling pathway",131,21,0.000371314719504961,0.00378065896223233,"Akt3,Asah1,Bcl2,Cers4,Cers5,Ctsd,Gna12,Gnai1,Kras,Mapk1,Nsmaf,Pik3cd,Pik3r1,Ppp2r5c,Prkca,Pten,Rock2,S1pr3,Sgms1,Sptlc2,Traf2"
"04330","Notch signaling pathway",63,13,0.000420139664654712,0.00415196845070539,"Adam17,Aph1a,Crebbp,Ctbp1,Dtx4,Ep300,Hdac1,Notch2,Numbl,Psen1,Rbpj,Spen,Tle3"
"03083","Polycomb repressive complex",88,16,0.000437373557989557,0.00419878615669975,"Asxl1,Asxl3,Cbx2,Cbx7,Crebbp,Ep300,Ezh1,Fbrsl1,Foxk2,Hdac1,Jarid2,Max,Ogt,Scmh1,Ube2d2a,Usp7"
"05218","Melanoma",72,14,0.000485746328225603,0.00453363239677229,"Akt3,Cdkn1a,Ddb2,Fgf1,Fgfr1,Kras,Mapk1,Mdm2,Pdgfa,Pdgfd,Pdgfrb,Pik3cd,Pik3r1,Pten"
"04928","Parathyroid hormone synthesis, secretion and action",116,19,0.000528131897354219,0.00479600858137885,"Adcy1,Adcy8,Akap13,Bcl2,Cdkn1a,Creb1,Creb3l2,Fgfr1,Gna12,Gnai1,Gnas,Lrp6,Mapk1,Mef2a,Nr4a2,Prkca,Rxrb,Sgk1,Wnk1"
"05163","Human cytomegalovirus infection",256,33,0.000659103980661001,0.005698711254041,"Adcy1,Adcy8,Akap13,Akt3,Arhgef12,B2m,Bcar1,Cdkn1a,Creb1,Creb3l2,Gna12,Gnai1,Gnas,Gng2,H2-D1,Ikbkb,Il6ra,Itgav,Kras,Mapk1,Mdm2,Nfkbia,Pdia3,Pik3cd,Pik3r1,Ppp3ca,Prkca,Ptk2,Pxn,Rock2,Tbk1,Traf2,Tsc2"
"04015","Rap1 signaling pathway",215,29,0.000661457556272617,0.005698711254041,"Adcy1,Adcy8,Akt3,Bcar1,Ctnnd1,Fgf1,Fgfr1,Gnai1,Gnas,Insr,Itga2b,Itgb1,Kras,Krit1,Magi1,Mapk1,Mras,Pard3,Pdgfa,Pdgfd,Pdgfrb,Pik3cd,Pik3r1,Prkca,Ralgds,Rap1a,Rapgef3,Sipa1l1,Tiam1"
"04670","Leukocyte transendothelial migration",119,19,0.000730591208854649,0.00587447190125874,"Arhgap35,Arhgap5,Bcar1,Ctnna1,Ctnnd1,Gnai1,Itgb1,Jam3,Msn,Ncf2,Pik3cd,Pik3r1,Prkca,Ptk2,Pxn,Rap1a,Rapgef3,Rock2,Vcl"
"04931","Insulin resistance",110,18,0.000741847158033982,0.00587447190125874,"Akt3,Creb1,Creb3l2,Foxo1,G6pc3,Ikbkb,Insr,Nfkbia,Oga,Ogt,Pik3cd,Pik3r1,Prkab2,Prkcq,Pten,Slc27a1,Slc27a4,Srebf1"
"00564","Glycerophospholipid metabolism",101,17,0.000742216990659284,0.00587447190125874,"Cept1,Chka,Chpt1,Dgka,Etnk1,Etnppl,Gnpat,Gpcpd1,Gpd1,Lpin1,Mboat1,Mboat7,Pisd,Plaat3,Plpp3,Ptdss1,Sgms1"
"01100","Metabolic pathways",1667,151,0.000754688136933828,0.00587447190125874,"Aacs,Acaca,Acly,Aco1,Acot2,Acsl3,Acss2,Adcy1,Adcy8,Ak5,Aldh1a1,Aldh2,Aldoa,Alg14,Amy1,Asah1,Aspa,Atp6ap1,Atp6v0a1,Atp6v0e,Atp6v1b2,Atp6v1g1,Auh,B4galt3,Cat,Cept1,Cerk,Cers4,Cers5,Chdh,Chka,Chpt1,Colgalt1,Comt,Coq2,Cox6a1,Crppa,Cyp2j6,Cyp51,Dgka,Dhcr24,Dhrs3,Dot1l,Dtymk,Elovl1,Elovl6,Eno2,Enpp2,Enpp4,Etnk1,Etnppl,Ezh1,Fasn,Fdft1,Fdps,Fggy,G6pc3,Gal3st1,Galnt1,Ganab,Gls,Gpd1,Gpt2,Hddc3,Hibadh,Hmgcl,Hmgcr,Hmgcs1,Hmgcs2,Hsd17b11,Hsd17b4,Hsd17b7,Idi1,Idnk,Inpp1,Ip6k1,Ip6k2,Kmt2b,Kmt2c,Kmt2d,Kmt2e,Kmt5b,Large1,Ldhb,Lpin1,Lss,Man1a,Man1a2,Man1b1,Mat2a,Mboat1,Mecr,Mgat3,Mocs2,Msmo1,Mthfd1,Mthfr,Mvd,Mvk,Naga,Ndst1,Ndufa13,Ndufa6,Ndufs4,Nme1,Nsd1,Nsd3,Odc1,P4ha1,Papss1,Pcca,Pfkl,Pgp,Phgdh,Pigp,Pik3cd,Pisd,Pla2g7,Plaat3,Plod1,Plpp3,Pmm2,Pmvk,Ppip5k2,Ppox,Ptdss1,Pten,Sat1,Sc5d,Scd1,Scd2,Sdhc,Setd1b,Setdb1,Sgms1,Sirt2,Sirt3,Sirt4,Sirt6,Smox,Sptlc2,Sqle,Stt3b,Tecr,Tkt,Tm7sf2,Ugt8a,Uqcr11,Vkorc1l1,mt-Atp6,mt-Co2"
