"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"04610","Complement and coagulation cascades",94,4,0.00255959423556346,0.363236527615725,"Cfd,Vwf,Cfhr1,Serpina5"
"04514","Cell adhesion molecule (CAM) interaction",181,5,0.00487565808880168,0.363236527615725,"H2-Eb1,Cldn5,Cntn2,Cldn19,Cdh5"
"00480","Glutathione metabolism",73,3,0.0099748734744451,0.422219594408904,"Gpx3,Ggt5,Gstt2"
"04820","Cytoskeleton in muscle cells",233,5,0.0137101594162485,0.422219594408904,"Tnnc1,Comp,Synpo2,Fhl2,Fbn2"
"00590","Arachidonic acid metabolism",89,3,0.0170021313184794,0.422219594408904,"Ptgds,Ggt5,Ptges"
"04512","ECM-receptor interaction",89,3,0.0170021313184794,0.422219594408904,"Reln,Vwf,Comp"
"04976","Bile secretion",101,3,0.0236993512480668,0.472900030661133,"Aqp1,Slc2a1,Ephx1"
"04145","Phagosome",183,4,0.025390605673081,0.472900030661133,"H2-Eb1,Marco,Comp,Tubb3"
"04510","Focal adhesion",202,4,0.034728910319135,0.48845318132369,"Reln,Vwf,Cav1,Comp"
"04517","IgSF CAM signaling",300,5,0.0359626617341409,0.48845318132369,"Cntn2,Lmo7,Tubb3,Ptprz1,Robo4"
"04670","Leukocyte transendothelial migration",119,3,0.0360603019769167,0.48845318132369,"Cldn5,Cldn19,Cdh5"
"03272","Virion - Hepatitis viruses",52,2,0.0400417002255749,0.497184444467555,"Cldn5,Cldn19"
"04382","Cornified envelope formation",223,4,0.0471029711229657,0.539872515178606,"Cldn5,Ppl,Krt19,Cldn19"
