"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"05222","Small cell lung cancer",94,22,2.40827772609219e-09,7.75465427801684e-07,"Bcl2l1,Pik3r1,Itgb1,Itga3,Akt3,Lama4,Ddb2,Lama5,Itgav,Pik3cd,Lamb2,Itga2b,Pten,Lamb1,Max,Itga6,Ikbkb,Col4a1,Bcl2,Col4a2,Traf2,Rxrb"
"04510","Focal adhesion",202,32,2.09177964165264e-08,3.36776522306076e-06,"Flnb,Pik3r1,Prkca,Arhgap35,Pdgfrb,Bcar1,Vcl,Rock2,Itgb1,Itga3,Col1a2,Akt3,Spp1,Lama4,Lama5,Itgav,Pik3cd,Lamb2,Itga2b,Pten,Lamb1,Pdgfa,Itga6,Ppp1r12a,Cav2,Rap1a,Itga7,Pxn,Col4a1,Bcl2,Mapk1,Col4a2"
"03250","Viral life cycle - HIV-1",63,16,1.09357879782476e-07,1.1737745763319e-05,"Bicd1,Fez1,Ranbp2,Ccnt2,Crebbp,Map1s,Cdk9,Bicd2,Xpo1,Supt4a,Ep300,Smarcb1,Serinc3,Cpsf6,Serinc5,Tsg101"
"04360","Axon guidance",181,28,2.68855439452016e-07,1.94709901657023e-05,"Sema5a,Sema6c,Sema3g,Pik3r1,Bmp7,Prkca,Slit2,Arhgef12,Kras,Sema6d,Sema4g,Sema3b,Rock2,Itgb1,Srgap2,Slit3,Camk2d,Pik3cd,Dpysl2,Plxna1,Pard3,Ppp3ca,Cfl2,Ssh3,Lrig2,Epha6,Mapk1,Camk2g"
"00100","Steroid biosynthesis",20,9,3.02344567790408e-07,1.94709901657023e-05,"Fdft1,Dhcr24,Cyp51,Msmo1,Sqle,Lss,Sc5d,Lipa,Tm7sf2"
"04810","Regulation of actin cytoskeleton",235,32,7.46531700215581e-07,4.00638679115695e-05,"Pik3r1,Arpc5,Diaph2,Arhgef12,Kras,Arhgap35,Pdgfrb,Bcar1,Vcl,Rock2,Msn,Itgb1,Itga3,Akt3,Tmsb4x,Fgfr1,Itgav,Pik3cd,Itga2b,Gna12,Pdgfa,Itga6,Cfl2,Nckap1,Ppp1r12a,Ssh3,Itga7,Pxn,Tiam1,Gsn,Mapk1,Spata13"
"05165","Human papillomavirus infection",359,41,2.43477886694326e-06,0.00011199982787939,"Pik3r1,Atp6ap1,Kras,Pdgfrb,Atp6v0a1,Atp6v0e,Crebbp,Ifnar1,Itgb1,Itga3,Col1a2,Akt3,Magi1,Spp1,Lama4,Lama5,Itgav,Pik3cd,Tsc2,Lamb2,Tada3,Hdac1,Notch2,Psen1,Creb1,Itga2b,Pten,Lamb1,Pard3,Atp6v1g1,Itga6,Mdm2,Ikbkb,Itga7,Pxn,Ep300,Ppp2r5c,Col4a1,Tbk1,Mapk1,Col4a2"
"05200","Pathways in cancer",549,55,3.02093727688404e-06,0.000120358229951834,"Adcy1,Bcl2l1,Pik3r1,Prkca,Arhgef12,Kras,Pdgfrb,Rock2,Arnt,Crebbp,Ifnar1,Itgb1,Itga3,Akt3,Lama4,Ddb2,Lama5,Fgfr1,Itgav,Camk2d,Pik3cd,Lrp6,Ccdc6,Lamb2,Tpr,Hdac1,Notch2,Ctnna1,Itga2b,Gna12,Pten,Lamb1,Gng2,Adcy8,Pdgfa,Max,Itga6,Smad4,Mdm2,Ikbkb,Hsp90b1,Ralbp1,Ralgds,Ep300,Col4a1,Bcl2,Mapk1,Ctbp1,Jak2,Camk2g,Col4a2,Traf2,Rxrb,Egln2,Appl1"
"04512","ECM-receptor interaction",89,17,3.36404990548604e-06,0.000120358229951834,"Agrn,Dag1,Itgb1,Itga3,Col1a2,Spp1,Lama4,Lama5,Cd47,Itgav,Lamb2,Itga2b,Lamb1,Itga6,Itga7,Col4a1,Col4a2"
"04151","PI3K-Akt signaling pathway",368,41,4.55139695436485e-06,0.000137583659441614,"Ddit4,Bcl2l1,Pik3r1,Prkca,Kras,Pdgfrb,Ifnar1,Itgb1,Itga3,Col1a2,Akt3,Magi1,Spp1,Lama4,Lama5,Fgfr1,Itgav,G6pc3,Phlpp2,Pik3cd,Tsc2,Lamb2,Creb1,Itga2b,Pten,Lamb1,Gng2,Pdgfa,Itga6,Mdm2,Ikbkb,Hsp90b1,Itga7,Pkn2,Ppp2r5c,Col4a1,Bcl2,Mapk1,Jak2,Col4a2,Insr"
"00310","Lysine degradation",64,14,4.70006290017937e-06,0.000137583659441614,"Colgalt1,Kmt2e,Setd1b,Kmt2c,Aldh2,Nsd3,Dot1l,Nsd1,Kmt5b,Setdb1,Kmt2b,Kmt2d,Ezh1,Plod1"
"04520","Adherens junction",92,17,5.39530824326063e-06,0.000144774104527493,"Ptprm,Sorbs1,Smurf1,Vcl,Rock2,Crebbp,Fgfr1,Nlk,Ctnnd1,Ctnna1,Pard3,Smad4,Rap1a,Krit1,Ep300,Mapk1,Insr"
"05205","Proteoglycans in cancer",204,27,9.40105417055001e-06,0.000232856880224393,"Ddx5,Pdcd4,Pik3r1,Prkca,Arhgef12,Kras,Ank3,Rock2,Msn,Itgb1,Nudt16l1,Col1a2,Akt3,Fgfr1,Itgav,Camk2d,Pik3cd,Gab1,Mdm2,Ppp1r12a,Cav2,Cd63,Pxn,Timp3,Tiam1,Mapk1,Camk2g"
"00900","Terpenoid backbone biosynthesis",23,8,1.40918382941416e-05,0.000324112280765256,"Hmgcs1,Fdps,Fntb,Pmvk,Hmgcs2,Fnta,Mvk,Dhdds"
"04140","Autophagy - animal",167,22,6.71025357071362e-05,0.00136380184972467,"Ddit4,Bcl2l1,Pik3r1,Kras,Lamp1,Rab33b,Akt3,Pik3cd,Tax1bp1,Tsc2,Sh3glb1,Ambra1,Map1lc3b,Pten,Rubcn,Atg4b,Tbk1,Supt20,Bcl2,Mapk1,Optn,Wdfy3"
"01521","EGFR tyrosine kinase inhibitor resistance",80,14,6.77665515391141e-05,0.00136380184972467,"Bcl2l1,Pik3r1,Prkca,Kras,Pdgfrb,Akt3,Pik3cd,Gab1,Pten,Pdgfa,Bcl2,Mapk1,Jak2,Nf1"
"04150","mTOR signaling pathway",158,21,8.58467799968051e-05,0.00162603900935125,"Ddit4,Pik3r1,Slc3a2,Prkca,Cab39l,Kras,Rictor,Akt3,Castor2,Pik3cd,Lrp6,Tsc2,Mios,Tbc1d7,Pten,Atp6v1g1,Prr5,Ikbkb,Flcn,Mapk1,Insr"
"04066","HIF-1 signaling pathway",117,17,0.000133666123919283,0.00229779851822218,"Ldhb,Pik3r1,Prkca,Arnt,Crebbp,Akt3,Aldoa,Camk2d,Pik3cd,Pfkl,Ep300,Eno2,Bcl2,Mapk1,Camk2g,Insr,Egln2"
"05214","Glioma",75,13,0.000135584384615594,0.00229779851822218,"Pik3r1,Prkca,Kras,Pdgfrb,Akt3,Ddb2,Camk2d,Pik3cd,Pten,Pdgfa,Mdm2,Mapk1,Camk2g"
"05215","Prostate cancer",107,16,0.000148492274264793,0.00233403544554121,"Pik3r1,Kras,Pdgfrb,Crebbp,Akt3,Fgfr1,Pik3cd,Creb1,Pten,Pdgfa,Mdm2,Ikbkb,Hsp90b1,Ep300,Bcl2,Mapk1"
"05412","Arrhythmogenic right ventricular cardiomyopathy",86,14,0.000152219702970079,0.00233403544554121,"Dmd,Sntb1,Dag1,Sgcd,Itgb1,Itga3,Atp2a2,Itgav,Ctnna1,Itga2b,Itga6,Itga7,Cacnb3,Dtna"
"04919","Thyroid hormone signaling pathway",120,17,0.000183180836002936,0.00268110132695207,"Pik3r1,Prkca,Kras,Crebbp,Akt3,Atp2a2,Itgav,Pik3cd,Tsc2,Hdac1,Notch2,Pfkl,Mdm2,Ep300,Mapk1,Ncor1,Rxrb"
"03083","Polycomb repressive complex",88,14,0.000195718543849053,0.00274005961388674,"Ube2d2a,Fbrsl1,Crebbp,Ogt,Foxk2,Hdac1,Asxl3,Scmh1,Max,Cbx7,Ep300,Jarid2,Ezh1,Usp7"
"04137","Mitophagy - animal",100,15,0.000229147610033455,0.00303888858033189,"Rhot1,Bcl2l1,Smurf1,Kras,Arih1,Huwe1,Vcp,Tax1bp1,Ambra1,Map1lc3b,Tbc1d15,Mtx3,Tbk1,Optn,Traf2"
"05230","Central carbon metabolism in cancer",69,12,0.000235938554373594,0.00303888858033189,"Ldhb,Pik3r1,Gls,Kras,Pdgfrb,Akt3,Fgfr1,Pik3cd,Pten,Sirt6,Pfkl,Mapk1"
"04820","Cytoskeleton in muscle cells",233,26,0.000249491736928079,0.0030898592034939,"Agrn,Dmd,Sntb1,Diaph2,Dag1,Col5a1,Ank3,Vcl,Sgcd,Nid1,Itgb1,Itga3,Col1a2,Itgav,Fbn1,Col24a1,Itga2b,Itga6,Itga7,Sun2,Fmn2,Col4a1,Dtna,Eno2,Sun1,Col4a2"
"04517","IgSF CAM signaling",300,31,0.000266193577924244,0.00312047561300102,"Cadm4,Sorbs1,Epb41l2,Pik3r1,Arpc5,Myl6,Prkca,Slit2,Jam3,Erc1,Bcar1,Ank3,Vcl,Msn,Tuba1a,Nfasc,App,Itgb1,Akt3,Srgap2,Magi1,Slit3,Fgfr1,Pik3cd,Ppfia1,Plxna1,Pard3,Rap1a,Pxn,Mapk1,Nlgn2"
"05211","Renal cell carcinoma",70,12,0.000271345705478349,0.00312047561300102,"Pik3r1,Kras,Arnt,Crebbp,Akt3,Pik3cd,Gab1,Rap1a,Ep300,Flcn,Mapk1,Egln2"
"05135","Yersinia infection",136,18,0.000285242428585936,0.00316717455188522,"Tab2,Pik3r1,Arpc5,Arhgef12,Bcar1,Rock2,Itgb1,Akt3,Pik3cd,Elmo1,Map2k7,Ikbkb,Pxn,Skap2,Pkn2,Tbk1,Mapk1,Traf2"
"05414","Dilated cardiomyopathy",103,15,0.000319004720672637,0.0034239840018863,"Adcy1,Dmd,Sntb1,Dag1,Sgcd,Itgb1,Itga3,Atp2a2,Itgav,Itga2b,Adcy8,Itga6,Itga7,Cacnb3,Dtna"
"04330","Notch signaling pathway",63,11,0.000411313329841024,0.00427235136157451,"Aph1a,Crebbp,Dtx4,Hdac1,Notch2,Psen1,Spen,Ep300,Numbl,Ctbp1,Adam17"
"04141","Protein processing in endoplasmic reticulum",177,21,0.000425432832766392,0.00428091787971182,"Man1a,Ube2d2a,Vcp,Pdia6,Sec24a,Sec62,Man1a2,Ganab,Map2k7,Stt3b,Tusc3,Hsp90b1,Uggt1,Man1b1,Herpud1,Dnajb12,Bcl2,Rrbp1,Mbtps1,Traf2,Sec24b"
"04071","Sphingolipid signaling pathway",131,17,0.000526578802279661,0.0051381325555773,"Pik3r1,Prkca,Kras,Rock2,Akt3,Asah1,Pik3cd,Cers5,Gna12,Pten,Sgms1,Nsmaf,Ppp2r5c,Bcl2,Sptlc2,Mapk1,Traf2"
"01100","Metabolic pathways",1667,117,0.000547189946055254,0.00518221066558212,"Hmgcs1,Etnk1,Fdft1,Tecr,Acly,Fdps,Dhcr24,Adcy1,Scd2,Mboat1,Aacs,Cyp51,Pla2g7,Msmo1,Phgdh,Gpt2,Elovl1,Colgalt1,Ip6k2,Man1a,Ldhb,Chdh,Mocs2,Elovl6,Coq2,Acaca,Gls,Pmm2,Sqle,Galnt1,P4ha1,Ppip5k2,Acss2,Kmt2e,Dhrs3,Atp6ap1,Ptdss1,Atp6v0a1,Setd1b,Pmvk,Large1,Lss,Naga,Atp6v0e,Chka,Kmt2c,Acsl3,Fasn,Sc5d,Idnk,Alg14,Hmgcs2,Ip6k1,Aldh2,Tkt,Asah1,Mthfd1,Aldoa,Chpt1,Uqcr11,Enpp2,G6pc3,Ndst1,Pik3cd,Cers5,Ndufa6,Ppox,Nsd3,Pcca,Crppa,Hibadh,Mgat3,Ndufa13,Pten,Dot1l,Adcy8,Sirt6,Smox,Sgms1,B4galt3,Atp6v1g1,Fggy,Pgp,Pfkl,Man1a2,Ganab,Nsd1,Aspa,Mvk,Sdhc,Stt3b,Dtymk,Cept1,Comt,Ak5,Pigp,Hsd17b11,Dgka,Sirt2,Man1b1,Kmt5b,Amy1,Auh,Mecr,Cyp2j6,Eno2,Sptlc2,Setdb1,Kmt2b,Hmgcl,Kmt2d,Tm7sf2,Ezh1,Plod1,Mthfr,Hddc3,Vkorc1l1"
"05220","Chronic myeloid leukemia",76,12,0.00059263315269064,0.00545222500475389,"Bcl2l1,Pik3r1,Kras,Akt3,Ddb2,Pik3cd,Hdac1,Smad4,Mdm2,Ikbkb,Mapk1,Ctbp1"
"05231","Choline metabolism in cancer",98,14,0.000610653947486626,0.00546196030807482,"Pik3r1,Prkca,Kras,Pdgfrb,Chka,Akt3,Chpt1,Pik3cd,Tsc2,Pdgfa,Ralgds,Gpcpd1,Dgka,Mapk1"
"04068","FoxO signaling pathway",133,17,0.000628333877225361,0.00546820293152882,"Prkab2,Pik3r1,Kras,Crebbp,Akt3,G6pc3,Pik3cd,Nlk,Pten,Smad4,Mdm2,Fbxo25,Ikbkb,Ep300,Mapk1,Insr,Usp7"
"05100","Bacterial invasion of epithelial cells",77,12,0.000669071655719487,0.00566950192478092,"Pik3r1,Arpc5,Cltb,Bcar1,Vcl,Itgb1,Pik3cd,Elmo1,Gab1,Ctnna1,Cav2,Pxn"
"04720","Long-term potentiation",67,11,0.000708803507767869,0.0058521725513142,"Adcy1,Prkca,Kras,Crebbp,Camk2d,Adcy8,Ppp3ca,Rap1a,Ep300,Mapk1,Camk2g"
