"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"GO:0045161","neuronal ion channel clustering",14,2,1.80884794760589e-05,0.0142175448681823,"Pmp22,Gldn"
"GO:0042551","neuron maturation",69,2,0.000459726212261012,0.0720194051605053,"Pmp22,Gldn"
"GO:0071306","cellular response to vitamin E",1,1,0.000466381655654824,0.0720194051605053,"Col1a1"
"GO:0010468","regulation of gene expression",5386,8,0.000801612259165972,0.0720194051605053,"Col1a1,Pmp22,Secisbp2l,Mapk8ip1,Ldlr,Zbtb21,Padi2,Ppp1cb"
"GO:0010556","regulation of macromolecule biosynthetic process",5493,8,0.000921580596439168,0.0720194051605053,"Col1a1,Pmp22,Secisbp2l,Mapk8ip1,Ldlr,Zbtb21,Padi2,Ppp1cb"
"GO:0009889","regulation of biosynthetic process",5711,8,0.00121283313057927,0.0720194051605053,"Col1a1,Pmp22,Secisbp2l,Mapk8ip1,Ldlr,Zbtb21,Padi2,Ppp1cb"
"GO:0060255","regulation of macromolecule metabolic process",6099,8,0.00192051438701317,0.0720194051605053,"Col1a1,Pmp22,Secisbp2l,Mapk8ip1,Ldlr,Zbtb21,Padi2,Ppp1cb"
"GO:0021782","glial cell development",150,2,0.00214439950081344,0.0720194051605053,"Pmp22,Ldlr"
"GO:0008203","cholesterol metabolic process",165,2,0.00258623902553513,0.0720194051605053,"Pmp22,Ldlr"
"GO:0016125","sterol metabolic process",174,2,0.0028702775042353,0.0720194051605053,"Pmp22,Ldlr"
"GO:1902652","secondary alcohol metabolic process",178,2,0.00300104073603189,0.0720194051605053,"Pmp22,Ldlr"
"GO:0019222","regulation of metabolic process",6656,8,0.00350709375493931,0.0720194051605053,"Col1a1,Pmp22,Secisbp2l,Mapk8ip1,Ldlr,Zbtb21,Padi2,Ppp1cb"
"GO:0007155","cell adhesion",1547,4,0.00436191395073223,0.0720194051605053,"Col1a1,Pmp22,Ppp1cb,Gldn"
"GO:0071396","cellular response to lipid",805,3,0.00543306393616078,0.0720194051605053,"Col1a1,Ldlr,Padi2"
"GO:0048469","cell maturation",251,2,0.00586519871422579,0.0720194051605053,"Pmp22,Gldn"
"GO:0009605","response to external stimulus",2865,5,0.00688673367808216,0.0740839385534191,"Col1a1,Pmp22,Ldlr,Padi2,Ppp1cb"
"GO:0010001","glial cell differentiation",305,2,0.00854616404919863,0.0770911432498762,"Pmp22,Ldlr"
"GO:0030198","extracellular matrix organization",323,2,0.00954185462379244,0.0782399875479913,"Col1a1,Pmp22"
"GO:0071695","anatomical structure maturation",323,2,0.00954185462379244,0.0782399875479913,"Pmp22,Gldn"
"GO:0045229","external encapsulating structure organization",324,2,0.00959863611545937,0.0782399875479913,"Col1a1,Pmp22"
"GO:0043062","extracellular structure organization",325,2,0.0096555709823857,0.0782399875479913,"Col1a1,Pmp22"
"GO:0048545","response to steroid hormone",362,2,0.0118687977706908,0.0869742979744685,"Col1a1,Padi2"
"GO:0006066","alcohol metabolic process",380,2,0.0130193983660088,0.088800805439978,"Pmp22,Ldlr"
"GO:0008202","steroid metabolic process",385,2,0.0133474466163163,0.088800805439978,"Pmp22,Ldlr"
"GO:0033993","response to lipid",1161,3,0.0148449178822217,0.0896813411774871,"Col1a1,Ldlr,Padi2"
"GO:0021700","developmental maturation",413,2,0.0152513150559578,0.0896813411774871,"Pmp22,Gldn"
"GO:0019220","regulation of phosphate metabolic process",415,2,0.0153915993641608,0.0896813411774871,"Mapk8ip1,Ldlr"
"GO:0042063","gliogenesis",415,2,0.0153915993641608,0.0896813411774871,"Pmp22,Ldlr"
"GO:0051174","regulation of phosphorus metabolic process",418,2,0.0156030889723549,0.0896813411774871,"Mapk8ip1,Ldlr"
"GO:0050727","regulation of inflammatory response",430,2,0.0164617419965281,0.0897293696586407,"Pmp22,Ldlr"
"GO:0032101","regulation of response to external stimulus",1222,3,0.0170332061722279,0.0897293696586407,"Pmp22,Ldlr,Padi2"
"GO:0032102","negative regulation of response to external stimulus",442,2,0.0173405465078856,0.0897524443481955,"Ldlr,Padi2"
"GO:2001233","regulation of apoptotic signaling pathway",446,2,0.0176379227704961,0.0897524443481955,"Pmp22,Mapk8ip1"
"GO:0080090","regulation of primary metabolic process",5085,6,0.0183009198471874,0.0903136319463921,"Col1a1,Secisbp2l,Mapk8ip1,Ldlr,Zbtb21,Ppp1cb"
"GO:0009628","response to abiotic stimulus",1354,3,0.0223749178945097,0.0940689640097699,"Col1a1,Pmp22,Ppp1cb"
"GO:0051246","regulation of protein metabolic process",1358,3,0.0225498778971936,0.0940689640097699,"Secisbp2l,Mapk8ip1,Ldlr"
"GO:0023051","regulation of signaling",3853,5,0.0237306841151849,0.0956529113565913,"Col1a1,Pmp22,Mapk8ip1,Ldlr,Padi2"
"GO:0010628","positive regulation of gene expression",1400,3,0.0244337889631479,0.0960699149074678,"Pmp22,Ldlr,Padi2"
"GO:0051248","negative regulation of protein metabolic process",561,2,0.0271012105053612,0.098441473896672,"Mapk8ip1,Ldlr"
"GO:0010467","gene expression",9171,8,0.0285359329835998,0.0997487581457094,"Col1a1,Pmp22,Secisbp2l,Mapk8ip1,Ldlr,Zbtb21,Padi2,Ppp1cb"
"GO:0019538","protein metabolic process",4035,5,0.0285540338203367,0.0997487581457094,"Pmp22,Secisbp2l,Mapk8ip1,Ldlr,Ppp1cb"
"GO:0006629","lipid metabolic process",1493,3,0.0289107703204905,0.0999588264707227,"Pmp22,Ldlr,Cyp4f13"
"GO:0002683","negative regulation of immune system process",590,2,0.0297542955862685,0.101534533260738,"Ldlr,Padi2"
"GO:0031667","response to nutrient levels",617,2,0.0323160168860407,0.104960286249702,"Col1a1,Ldlr"
"GO:0002694","regulation of leukocyte activation",625,2,0.0330916750662434,0.105329785746134,"Mapk8ip1,Ldlr"
"GO:0006796","phosphate-containing compound metabolic process",1573,3,0.0330998181670421,0.105329785746134,"Mapk8ip1,Ldlr,Ppp1cb"
"GO:0006793","phosphorus metabolic process",1576,3,0.0332629923389674,0.105407772821645,"Mapk8ip1,Ldlr,Ppp1cb"
"GO:0010557","positive regulation of macromolecule biosynthetic process",2796,4,0.0336765076059724,0.105457111467308,"Col1a1,Pmp22,Ldlr,Padi2"
