"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"04610","Complement and coagulation cascades",94,5,0.000302556147091507,0.0438706413282685,"Cfd,Vwf,Cfhr1,Serpine2,Serpina5"
"04514","Cell adhesion molecule (CAM) interaction",181,6,0.000940294729476747,0.0681713678870642,"H2-Eb1,Cldn5,Cntn2,Cldn19,Mag,Cdh5"
"00480","Glutathione metabolism",73,3,0.010833838463204,0.3816870840881,"Gpx3,Ggt5,Gstt2"
"04517","IgSF CAM signaling",300,6,0.0112727335931245,0.3816870840881,"Cntn2,Lmo7,Tubb3,Mag,Ptprz1,Robo4"
"04820","Cytoskeleton in muscle cells",233,5,0.0154799809056438,0.3816870840881,"Tnnc1,Comp,Synpo2,Fhl2,Fbn2"
"00590","Arachidonic acid metabolism",89,3,0.0184262730249428,0.3816870840881,"Ptgds,Ggt5,Ptges"
"04512","ECM-receptor interaction",89,3,0.0184262730249428,0.3816870840881,"Reln,Vwf,Comp"
"04976","Bile secretion",101,3,0.0256431478463604,0.451144651320648,"Aqp1,Slc2a1,Ephx1"
"04145","Phagosome",183,4,0.0280020818061092,0.451144651320648,"H2-Eb1,Marco,Comp,Tubb3"
"04670","Leukocyte transendothelial migration",119,3,0.038924752940723,0.557630061014435,"Cldn5,Cldn19,Cdh5"
"03272","Virion - Hepatitis viruses",52,2,0.0423029701459227,0.557630061014435,"Cldn5,Cldn19"
