"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"GO:0006006","glucose metabolic process",251,3,0.000671611197288402,0.107020321547191,"Irs2,Atf3,Adipor1"
"GO:1903984","positive regulation of TRAIL-activated apoptotic signaling pathway",1,1,0.000699572483482847,0.107020321547191,"Atf3"
"GO:0001667","ameboidal-type cell migration",287,3,0.000989822229525593,0.107020321547191,"Irs2,Zfand5,Adipor1"
"GO:0019318","hexose metabolic process",291,3,0.00103013273395782,0.107020321547191,"Irs2,Atf3,Adipor1"
"GO:0061045","negative regulation of wound healing",72,2,0.00114768587670536,0.107020321547191,"Thbd,Fignl2"
"GO:0005996","monosaccharide metabolic process",314,3,0.0012822201672194,0.107020321547191,"Irs2,Atf3,Adipor1"
"GO:0010632","regulation of epithelial cell migration",80,2,0.00141420043824433,0.107020321547191,"Irs2,Adipor1"
"GO:0048856","anatomical structure development",6654,11,0.00167575913939481,0.107020321547191,"Dbp,Kcna1,Six5,Irs2,Atf3,Anxa3,Zfand5,Gjc3,Adipor1,Fignl2,Cdc42se1"
"GO:1903035","negative regulation of response to wounding",99,2,0.00215397309996385,0.107020321547191,"Thbd,Fignl2"
"GO:0010631","epithelial cell migration",112,2,0.00274526574900415,0.107020321547191,"Irs2,Adipor1"
"GO:0090132","epithelium migration",115,2,0.00289139347420413,0.107020321547191,"Irs2,Adipor1"
"GO:0019395","fatty acid oxidation",120,2,0.00314292961797659,0.107020321547191,"Irs2,Adipor1"
"GO:0090130","tissue migration",121,2,0.0031944306642304,0.107020321547191,"Irs2,Adipor1"
"GO:0032502","developmental process",7236,11,0.00349131979160806,0.107020321547191,"Dbp,Kcna1,Six5,Irs2,Atf3,Anxa3,Zfand5,Gjc3,Adipor1,Fignl2,Cdc42se1"
"GO:0010906","regulation of glucose metabolic process",130,2,0.00367573099105279,0.107020321547191,"Irs2,Adipor1"
"GO:0034440","lipid oxidation",130,2,0.00367573099105279,0.107020321547191,"Irs2,Adipor1"
"GO:0061041","regulation of wound healing",138,2,0.00413022763992588,0.110601001350834,"Thbd,Fignl2"
"GO:0016477","cell migration",1685,5,0.00499591343723988,0.110601001350834,"Irs2,Anxa3,Zfand5,Adipor1,Fignl2"
"GO:0030334","regulation of cell migration",1048,4,0.00529928512568781,0.110601001350834,"Irs2,Anxa3,Adipor1,Fignl2"
"GO:0008286","insulin receptor signaling pathway",158,2,0.00537454226704284,0.110601001350834,"Irs2,Adipor1"
"GO:0050789","regulation of biological process",13279,15,0.00555271150551859,0.110601001350834,"Dbp,Kcna1,Six5,Irs2,Atf3,Fnip2,Thbd,Anxa3,Zfand5,Ccnl1,Gjc3,Atrnl1,Adipor1,Fignl2,Cdc42se1"
"GO:0007167","enzyme-linked receptor protein signaling pathway",1066,4,0.00562850922732489,0.110601001350834,"Irs2,Atf3,Zfand5,Adipor1"
"GO:2000145","regulation of cell motility",1109,4,0.00647056390559194,0.110601001350834,"Irs2,Anxa3,Adipor1,Fignl2"
"GO:0043409","negative regulation of MAPK cascade",175,2,0.00655122112885373,0.110601001350834,"Atf3,Cdc42se1"
"GO:0048731","system development",4438,8,0.00660118904556245,0.110601001350834,"Dbp,Kcna1,Six5,Irs2,Anxa3,Zfand5,Gjc3,Fignl2"
"GO:0048513","animal organ development",3492,7,0.00681332183821928,0.110601001350834,"Dbp,Kcna1,Six5,Irs2,Atf3,Zfand5,Adipor1"
"GO:1903034","regulation of response to wounding",186,2,0.00736965101200381,0.110601001350834,"Thbd,Fignl2"
"GO:0040012","regulation of locomotion",1162,4,0.00762047282094243,0.110601001350834,"Irs2,Anxa3,Adipor1,Fignl2"
"GO:0048878","chemical homeostasis",1182,4,0.00808774882471782,0.110601001350834,"Kcna1,Atp13a3,Irs2,Adipor1"
"GO:0065007","biological regulation",13697,15,0.00809258487513756,0.110601001350834,"Dbp,Kcna1,Six5,Irs2,Atf3,Fnip2,Thbd,Anxa3,Zfand5,Ccnl1,Gjc3,Atrnl1,Adipor1,Fignl2,Cdc42se1"
"GO:0005975","carbohydrate metabolic process",611,3,0.00833471978540225,0.110601001350834,"Irs2,Atf3,Adipor1"
"GO:0048585","negative regulation of response to stimulus",1918,5,0.00862985296666731,0.110601001350834,"Atf3,Thbd,Adipor1,Fignl2,Cdc42se1"
"GO:0030258","lipid modification",202,2,0.00863855755776748,0.110601001350834,"Irs2,Adipor1"
"GO:0048870","cell motility",1980,5,0.00984856944113858,0.114697954876029,"Irs2,Anxa3,Zfand5,Adipor1,Fignl2"
"GO:0006109","regulation of carbohydrate metabolic process",225,2,0.0106219180007968,0.120011819800047,"Irs2,Adipor1"
"GO:0016051","carbohydrate biosynthetic process",230,2,0.0110774572742777,0.120614969015101,"Irs2,Atf3"
"GO:0007169","cell surface receptor protein tyrosine kinase signaling pathway",680,3,0.0111532996447253,0.120614969015101,"Irs2,Zfand5,Adipor1"
"GO:1902531","regulation of intracellular signal transduction",2070,5,0.0118267489728372,0.122293166281666,"Irs2,Atf3,Fnip2,Adipor1,Cdc42se1"
"GO:0006915","apoptotic process",2116,5,0.0129381557296755,0.122293166281666,"Irs2,Atf3,Fnip2,Ccnl1,Emp1"
"GO:0032869","cellular response to insulin stimulus",251,2,0.0130836833528553,0.122293166281666,"Irs2,Adipor1"
"GO:0040011","locomotion",1360,4,0.0131102969044942,0.122293166281666,"Irs2,Anxa3,Adipor1,Fignl2"
"GO:0006909","phagocytosis",252,2,0.0131829175750139,0.122293166281666,"Anxa3,Cdc42se1"
"GO:0080090","regulation of primary metabolic process",5085,8,0.0151373466094008,0.122293166281666,"Dbp,Six5,Irs2,Atf3,Fnip2,Anxa3,Ccnl1,Adipor1"
"GO:0008219","cell death",2202,5,0.0152073986209788,0.122293166281666,"Irs2,Atf3,Fnip2,Ccnl1,Emp1"
