"Term","padj","comparison","cell_type","gene_set","enrich_type","neg_log10_padj"
"cell adhesion",0.00419879838307795,"HFDvsSD","mySC","Overlap_MS","richR_GO",2.3768749787126
"regulation of cell migration",0.00419879838307795,"HFDvsSD","mySC","Overlap_MS","richR_GO",2.3768749787126
"regulation of cell motility",0.00419879838307795,"HFDvsSD","mySC","Overlap_MS","richR_GO",2.3768749787126
"regulation of locomotion",0.00419879838307795,"HFDvsSD","mySC","Overlap_MS","richR_GO",2.3768749787126
"locomotion",0.00818969316548667,"HFDvsSD","mySC","Overlap_MS","richR_GO",2.08673236918369
"cell migration",0.0207445326970287,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.68309634388575
"response to endogenous stimulus",0.0207445326970287,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.68309634388575
"positive regulation of cellular process",0.0301731903378203,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.52037876762221
"cell motility",0.0301731903378203,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.52037876762221
"positive regulation of epithelial to mesenchymal transition",0.0301731903378203,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.52037876762221
"anatomical structure morphogenesis",0.0301731903378203,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.52037876762221
"negative regulation of exit from mitosis",0.0301731903378203,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.52037876762221
"cellular response to vitamin E",0.0301731903378203,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.52037876762221
"positive regulation of biological process",0.0301731903378203,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.52037876762221
"cellular response to growth factor stimulus",0.0301731903378203,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.52037876762221
"extracellular matrix organization",0.0301731903378203,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.52037876762221
"external encapsulating structure organization",0.0301731903378203,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.52037876762221
"extracellular structure organization",0.0301731903378203,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.52037876762221
"negative regulation of cell adhesion",0.0301731903378203,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.52037876762221
"collagen biosynthetic process",0.0301731903378203,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.52037876762221
"regulation of response to stimulus",0.0301731903378203,"HFDvsSD","mySC","Overlap_MS","richR_GO",1.52037876762221
