"Mouse_Symbol","Mouse_log2FC","Mouse_pval","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Tsc22d3",-0.409154262128992,6.58702302877552e-20,"TSC22D3",0.879953045600486,1.39651604335522e-10,"Down","Up","Discordant"
"Plekha4",0.124586840127851,9.30464589309436e-15,"PLEKHA4",-0.709758439471158,7.88266152741976e-17,"Up","Down","Discordant"
"Ctnnal1",0.265177172927374,3.6700957203369e-13,"CTNNAL1",-0.747383126515763,4.21869437456721e-18,"Up","Down","Discordant"
"Qk",-0.152439486715146,8.1648445440784e-11,"QKI",-0.324267583096405,0.000306334977383979,"Down","Down","Concordant"
"Rapgef3",-0.186722900390011,1.12873973959223e-10,"RAPGEF3",1.51936733282159,0.00380906192252475,"Down","Up","Discordant"
"Gsn",-0.267025490965923,4.85826051326369e-10,"GSN",0.79472909308265,7.93104283439763e-96,"Down","Up","Discordant"
"Gpm6b",-0.224451644834502,1.61739506708168e-09,"GPM6B",-0.299748453746233,3.88133464838745e-06,"Down","Down","Concordant"
"Art3",-0.158243490145694,2.1347544232576e-09,"ART3",-0.927736762890254,0.00845234952386587,"Down","Down","Concordant"
"Hspa8",-0.233712376103943,2.60629979153405e-09,"HSPA8",-0.543620602493133,6.99785512556195e-11,"Down","Down","Concordant"
"Rap1gap",-0.10845615934767,5.07768273559526e-09,"RAP1GAP",-1.5733321567949,2.47956796530849e-12,"Down","Down","Concordant"
"Megf9",-0.213265612416669,5.4249377666984e-09,"MEGF9",-0.607120665410814,1.0273138748287e-06,"Down","Down","Concordant"
"Rnh1",-0.203092800200291,8.14822777331331e-09,"RNH1",0.588178969472058,0.00133817704522308,"Down","Up","Discordant"
"Gas2l3",-0.158881730453198,9.07667812508249e-09,"GAS2L3",-0.553256999453118,0.0151511480104318,"Down","Down","Concordant"
"Matn2",-0.368355702607923,2.30933128984844e-08,"MATN2",-0.506887953536937,4.85976775236512e-10,"Down","Down","Concordant"
"Rtkn",-0.127311178098368,9.3783930869724e-08,"RTKN",-0.759074977133738,0.000333166358698641,"Down","Down","Concordant"
"Vwa1",-0.189809868997135,1.26005133327691e-07,"VWA1",-0.428903634526047,5.92811829244541e-14,"Down","Down","Concordant"
"Slc22a17",-0.111604255243542,2.71015027837928e-07,"SLC22A17",-0.37711557368047,0.00214895466958057,"Down","Down","Concordant"
"Sbspon",-0.149551169915669,3.67466856836383e-07,"SBSPON",-0.467999456140596,0.000335862255988385,"Down","Down","Concordant"
"Fmn2",0.226105764071245,5.48252159188481e-07,"FMN2",-1.59141658266337,0.0303865818092828,"Up","Down","Discordant"
"Gpr37l1",-0.195097400664438,8.96250769158429e-07,"GPR37L1",-0.659323954221469,3.87975475736906e-05,"Down","Down","Concordant"
"Sdc3",-0.175350086772112,9.05321959348844e-07,"SDC3",-1.11597118728868,7.87048027946162e-23,"Down","Down","Concordant"
"Tmod2",-0.168071358541444,9.37050837551612e-07,"TMOD2",-0.623925946502459,6.0734970363343e-10,"Down","Down","Concordant"
"Aspa",-0.091884802636272,1.35026421849955e-06,"ASPA",-0.631192343753793,0.0019394896043679,"Down","Down","Concordant"
"Itpk1",-0.135688280814248,1.48740446111871e-06,"ITPK1",-0.654933033413303,2.50331286562321e-12,"Down","Down","Concordant"
"Nav3",0.251042349533723,2.40704562092511e-06,"NAV3",-1.418436355452,0.00309842254731468,"Up","Down","Discordant"
"S100a6",-0.108075819750236,2.70879616726809e-06,"S100A6",0.295483239760776,1.01272497407963e-16,"Down","Up","Discordant"
"Tnxb",-0.114164671027557,4.04363998842967e-06,"TNXB",0.619349928035901,3.78948320981086e-09,"Down","Up","Discordant"
"Cst3",-0.16384562400906,7.56226521328482e-06,"CST3",-0.218818234737092,8.06606770719687e-09,"Down","Down","Concordant"
"Tle2",-0.0927620242549356,8.98197914591996e-06,"TLE2",1.12144831939318,1.65058807208678e-08,"Down","Up","Discordant"
"Dhh",-0.143648623753414,1.00658882321185e-05,"DHH",-0.790288234970654,2.1814342012238e-09,"Down","Down","Concordant"
"Rbm3",-0.101028945963503,1.36222739307616e-05,"RBM3",0.498805759226183,0.00144595938978559,"Down","Up","Discordant"
"Slc7a2",-0.175337180045523,1.378021671789e-05,"SLC7A2",1.18531014352491,1.66562575160656e-05,"Down","Up","Discordant"
"Prnp",-0.162380960001786,1.39999137236355e-05,"PRNP",-0.294385360434167,0.0104156275004854,"Down","Down","Concordant"
"Rap1gds1",-0.106587612638126,1.75231353984351e-05,"RAP1GDS1",-0.637178638819524,0.00221972171168505,"Down","Down","Concordant"
"Psap",-0.145338503461663,2.14914518717672e-05,"PSAP",-0.477285100980786,6.16371652592619e-47,"Down","Down","Concordant"
"Cmtm5",-0.128402250951481,2.75140589757375e-05,"CMTM5",-0.623719266247987,7.15026514229973e-05,"Down","Down","Concordant"
"S100b",-0.137870059537399,3.33016367548441e-05,"S100B",-1.17486642236247,6.51557620758894e-229,"Down","Down","Concordant"
"B2m",-0.0530242430347013,3.47673169302735e-05,"B2M",-0.324874710627948,7.63745488596434e-34,"Down","Down","Concordant"
"Hsp90b1",-0.0922069854081496,3.77436324820577e-05,"HSP90B1",-0.660335557541809,8.37480216361675e-18,"Down","Down","Concordant"
"Ankrd40",-0.129781325920413,3.89216513451445e-05,"ANKRD40",-0.513489177778281,0.00310898125313023,"Down","Down","Concordant"
"Pex5l",-0.0820244884729773,3.91987499269531e-05,"PEX5L",-1.0842658590301,0.0268181125922942,"Down","Down","Concordant"
"Hnrnph1",-0.0845445312224395,4.25473479677158e-05,"HNRNPH1",0.630450170953329,0.000335376643809226,"Down","Up","Discordant"
"Flnb",0.260240507145318,4.70669967468444e-05,"FLNB",0.5892527787854,2.45984283958365e-05,"Up","Up","Concordant"
"Sparc",-0.0837780190901753,4.73872194920281e-05,"SPARC",-0.74235848073811,1.37184003580368e-160,"Down","Down","Concordant"
"Slc12a2",-0.0772722888034409,5.77297960426013e-05,"SLC12A2",-0.876329333692642,1.39885181493876e-05,"Down","Down","Concordant"
"Ogn",-0.174467318953983,6.87412205204473e-05,"OGN",-0.758361150274417,3.06053909211135e-06,"Down","Down","Concordant"
"Plp1",-0.115062596259448,7.27052403876777e-05,"PLP1",-0.866277857956655,3.2703979431827e-99,"Down","Down","Concordant"
"Paqr6",-0.0847262451220869,7.56667061976785e-05,"PAQR6",-0.781779997879847,8.26330642023553e-06,"Down","Down","Concordant"
"Tuba1a",-0.0904573218477291,8.89916646660902e-05,"TUBA1A",-0.401125854258027,6.23603614971874e-27,"Down","Down","Concordant"
"Fxyd1",-0.126496422677866,0.000111311024967818,"FXYD1",-0.299331198860358,0.0167861022358932,"Down","Down","Concordant"
"Cldn19",0.128300682674985,0.000117768002160863,"CLDN19",-1.05113574276211,1.40518979547685e-06,"Up","Down","Discordant"
"Kcna2",0.235456295436123,0.000219718816376076,"KCNA2",-1.50296986566367,8.06512570045016e-07,"Up","Down","Discordant"
"Sorcs1",0.176183623077611,0.00028585888978386,"SORCS1",-0.98889227699628,3.24236371220691e-10,"Up","Down","Discordant"
"Igfbp5",-0.225653733109513,0.000320541535970684,"IGFBP5",-0.297475999867082,2.64557537325135e-07,"Down","Down","Concordant"
"Cd81",-0.0971242509877777,0.000338517074204283,"CD81",-0.292010033594013,1.12146619213565e-13,"Down","Down","Concordant"
"Nbl1",-0.119387103454027,0.000394282525052503,"NBL1",1.16396834909537,1.70066773906957e-17,"Down","Up","Discordant"
"Rhobtb3",-0.0998155649053856,0.000405676760817371,"RHOBTB3",-0.724138435792583,0.00165621606526567,"Down","Down","Concordant"
"Abca2",-0.0938621031943212,0.000417243591400791,"ABCA2",-0.467547061904769,1.60061558290349e-05,"Down","Down","Concordant"
"Bcas1",-0.12253807348974,0.00042959235464056,"BCAS1",-0.700897443488715,2.43322279385279e-09,"Down","Down","Concordant"
"Elovl7",-0.0953312534018078,0.000545016084155601,"ELOVL7",-1.51746943535878,0.031472729374551,"Down","Down","Concordant"
"Rb1",-0.110544209674903,0.000551119059266384,"RB1",-0.765541572634969,0.00480177192933522,"Down","Down","Concordant"
"Myl6",-0.0545685510045522,0.00064561236568528,"MYL6",0.381870673997414,1.52908038656067e-09,"Down","Up","Discordant"
"Tsc22d1",-0.0758712985688409,0.000888515808929431,"TSC22D1",0.594175920470126,0.00323420906744258,"Down","Up","Discordant"
"Micall2",0.251034849417659,0.000952619258429895,"MICALL2",-0.643081190706378,2.06708121053486e-12,"Up","Down","Discordant"
"Gnptab",-0.0647179533235711,0.00105413482579502,"GNPTAB",-0.834353815136831,0.00147089346178459,"Down","Down","Concordant"
"Scube1",-0.0957722092646005,0.00112767600616221,"SCUBE1",1.87803031424379,3.06097990995257e-19,"Down","Up","Discordant"
"Mbp",-0.0354971026695354,0.00114854064113138,"MBP",-1.30208801771583,1.42010607307706e-214,"Down","Down","Concordant"
"Prx",-0.134729594150094,0.00125832884894641,"PRX",-0.731594240711631,5.22310979613096e-32,"Down","Down","Concordant"
"Tns1",-0.0945988523319179,0.00126130217974728,"TNS1",1.16429735594763,1.02837774550839e-20,"Down","Up","Discordant"
"Arpc1b",-0.01670034050935,0.0015240545255193,"ARPC1B",-0.456050839971259,1.19479269460245e-05,"Down","Down","Concordant"
"Sema5a",0.21999954188893,0.00158293881247637,"SEMA5A",-0.657593659267854,0.00120468437514895,"Up","Down","Discordant"
"Anxa6",-0.0921108531556001,0.00163771565870796,"ANXA6",0.664446268109847,0.000641749209623277,"Down","Up","Discordant"
"Sod3",-0.0804824357446734,0.00164559800145609,"SOD3",0.482185050320109,3.66496344724045e-06,"Down","Up","Discordant"
"Gldn",0.166147723371411,0.00185467317543916,"GLDN",-0.718047708873683,7.53175031938415e-05,"Up","Down","Discordant"
"Ank3",0.113858550381028,0.00186664847215993,"ANK3",-0.429856305547353,0.023717896384544,"Up","Down","Discordant"
"Aatk",0.0510291583740496,0.00197255524264134,"AATK",-0.512476951408044,2.42987514165809e-10,"Up","Down","Discordant"
