"Mouse_Symbol","Mouse_log2FC","Mouse_pval","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Dusp15",-0.292277882955442,5.08530302435849e-30,"DUSP15",1.34448477075041,0.000183240813414026,"Down","Up","Discordant"
"Otud7b",-0.323270462831118,3.70393928292006e-18,"OTUD7B",1.43033784367623,9.5988887341034e-07,"Down","Up","Discordant"
"Etnppl",-0.627828586757472,5.79951873919777e-16,"ETNPPL",3.17168473836637,1.36280441409346e-06,"Down","Up","Discordant"
"Per2",-0.412376197959632,7.31468303946501e-16,"PER2",1.01412500687374,4.10554993011023e-07,"Down","Up","Discordant"
"Sec14l5",-0.200335594616752,2.25400182034845e-13,"SEC14L5",1.58327555886197,0.00068014537123565,"Down","Up","Discordant"
"Per1",-0.325325565772658,3.10639067694814e-11,"PER1",0.614657911355589,0.030933662866666,"Down","Up","Discordant"
"Art3",-0.214049091617625,5.03143972551939e-10,"ART3",0.855985414490905,0.0339782259659872,"Down","Up","Discordant"
"Tsc22d3",-0.407620436988261,1.32252991635893e-09,"TSC22D3",1.28403787692541,2.60544727124652e-07,"Down","Up","Discordant"
"Qk",-0.153756872412131,2.33888295880968e-09,"QKI",0.627873801897697,0.00248291076654324,"Down","Up","Discordant"
"Brsk2",-0.279962543436617,3.31707903621923e-09,"BRSK2",0.919606832246747,0.00727183191789815,"Down","Up","Discordant"
"Ncf2",-0.278015399659654,7.55608194783032e-08,"NCF2",2.94452359412225,1.759485916442e-09,"Down","Up","Discordant"
"Mapk8ip1",-0.252736141678651,8.5287867755116e-08,"MAPK8IP1",1.97162808296533,5.03540842940661e-05,"Down","Up","Discordant"
"Rap1gap",-0.138814018349014,4.19954150268112e-07,"RAP1GAP",0.761753912731507,0.0123053059106887,"Down","Up","Discordant"
"Megf9",-0.259428870537079,4.30188101411438e-07,"MEGF9",1.80510583671921,3.17665770495995e-06,"Down","Up","Discordant"
"Abca7",-0.195167234176098,4.65245330369219e-07,"ABCA7",0.944051929768345,0.0194516527809627,"Down","Up","Discordant"
"Sgk1",-0.263190424511546,6.45260365521318e-07,"SGK1",2.7482021378972,6.57950120432712e-19,"Down","Up","Discordant"
"Clcn2",-0.203320997865295,7.8115849602326e-07,"CLCN2",1.28952414032155,0.000610248511241346,"Down","Up","Discordant"
"Arrb2",-0.269295899415535,8.54412286348573e-07,"ARRB2",1.73985888909546,0.000201212352501719,"Down","Up","Discordant"
"Slc44a2",-0.204527126880786,1.04271375309646e-06,"SLC44A2",0.51829195359802,0.00517102720976109,"Down","Up","Discordant"
"Cyb5r2",-0.208944122757711,1.40064225431012e-06,"CYB5R2",1.00695743795473,0.00352882719305511,"Down","Up","Discordant"
"Bcl2l1",-0.195706856166978,1.82288515423046e-06,"BCL2L1",0.43555280611491,0.00566397624664395,"Down","Up","Discordant"
"Ddx5",-0.183039131545519,1.87358139141951e-06,"DDX5",0.793816015429833,2.16237727586592e-06,"Down","Up","Discordant"
"Slc9a9",0.308828165606576,2.63535982005383e-06,"SLC9A9",-1.26085104283364,3.7160431001603e-05,"Up","Down","Discordant"
"Gjc3",-0.166396100559051,2.65861930151563e-06,"GJC3",1.77220224797196,0.000641135206273757,"Down","Up","Discordant"
"Ube2b",-0.151003797627401,3.48590733092727e-06,"UBE2B",0.812199754531301,0.00297307863188131,"Down","Up","Discordant"
"S100a6",-0.154670265431331,5.20500095223418e-06,"S100A6",0.668400803833228,0.00086456358449962,"Down","Up","Discordant"
"Wbp11",-0.234089471574291,5.28322988132717e-06,"WBP11",0.635845926719241,6.27490327167346e-09,"Down","Up","Discordant"
"Chpt1",-0.241773648714771,6.14873496492178e-06,"CHPT1",0.397772016004527,0.0391475624730493,"Down","Up","Discordant"
"Kif21a",-0.225956146682189,1.05609266160548e-05,"KIF21A",0.570694855910723,0.0120541087988496,"Down","Up","Discordant"
"Sfpq",-0.142084191591024,1.07512273129195e-05,"SFPQ",0.615547768668322,0.000417455264524902,"Down","Up","Discordant"
"Gdi1",-0.13642247376417,1.19555553089807e-05,"GDI1",0.37407099549111,0.0279566052358016,"Down","Up","Discordant"
"Gas2l3",-0.153811826048582,1.98287346698661e-05,"GAS2L3",0.796413699156658,0.0173435712693783,"Down","Up","Discordant"
"Gpm6b",-0.193655375673899,2.59380751645731e-05,"GPM6B",0.648876276531755,0.0449669920396894,"Down","Up","Discordant"
"Far1",-0.135781269511996,3.98737644972311e-05,"FAR1",0.51632518539572,1.38969577865751e-05,"Down","Up","Discordant"
"Lama4",0.279531525791005,4.73777775318752e-05,"LAMA4",-0.349055416605825,0.0325936831578423,"Up","Down","Discordant"
"Itpk1",-0.163188283714391,7.56823485275149e-05,"ITPK1",0.756103281010516,0.000459840990722149,"Down","Up","Discordant"
"Pex5l",-0.158014154882964,7.82169386587271e-05,"PEX5L",1.57637653885292,0.0021895836273032,"Down","Up","Discordant"
"Mapre3",0.171416249992399,8.82076588573928e-05,"MAPRE3",-0.388861509907204,0.0462384440524781,"Up","Down","Discordant"
"Emid1",0.332183188528497,9.24469448987954e-05,"EMID1",-1.71902321814205,1.59403991963807e-11,"Up","Down","Discordant"
"Fam83f",-0.158166240563519,9.32936026416728e-05,"FAM83F",0.703082397389105,0.0377529645029113,"Down","Up","Discordant"
"Mat2a",-0.142172533007914,9.4689792054967e-05,"MAT2A",2.03602742581746,5.68684526512092e-17,"Down","Up","Discordant"
"Ip6k2",-0.145117431384832,9.88391133710305e-05,"IP6K2",0.407793156564496,0.0357117917319335,"Down","Up","Discordant"
"Cdc37l1",-0.141328589650941,0.000101120192390183,"CDC37L1",1.05894406250881,5.31125816105214e-09,"Down","Up","Discordant"
"Bcas1",-0.1467892607876,0.000105273505300285,"BCAS1",2.2966238713816,6.79706432728351e-06,"Down","Up","Discordant"
"Mthfd1l",-0.177618140746019,0.000106986720591058,"MTHFD1L",0.842884885757314,0.00238120556135578,"Down","Up","Discordant"
"Fhl3",-0.157644993837917,0.000209296086704541,"FHL3",0.586924429098483,0.0218124626227231,"Down","Up","Discordant"
"Atp1b3",-0.144746151734439,0.000218911029636411,"ATP1B3",2.31810166786389,2.10745120832055e-26,"Down","Up","Discordant"
"Klf15",-0.133229566246446,0.000258375723189353,"KLF15",1.48401137805783,1.67269822736748e-05,"Down","Up","Discordant"
"Ddx23",-0.177265093831074,0.000270370027258173,"DDX23",0.370213347344029,0.0226718912032202,"Down","Up","Discordant"
"Sh3bp5",-0.156835299651447,0.000277948949184557,"SH3BP5",0.769725466062316,0.00136378929780579,"Down","Up","Discordant"
"Arid5b",-0.192589383463946,0.000295535505160765,"ARID5B",1.00233724445659,2.65653545696934e-09,"Down","Up","Discordant"
"Lgals8",-0.213085019228561,0.000331938745039777,"LGALS8",0.683936139273728,0.00211865303513184,"Down","Up","Discordant"
"Slc7a2",-0.152159080745309,0.000367142337995641,"SLC7A2",0.636756340479958,0.000138984593446649,"Down","Up","Discordant"
"Rbm3",-0.14389239636322,0.000384670829607199,"RBM3",0.754705469766582,0.00029389616203366,"Down","Up","Discordant"
"Prx",-0.0760484295657964,0.000467886719110097,"PRX",2.22445309625055,0.00036502813705074,"Down","Up","Discordant"
"Pcsk6",-0.0922524919060952,0.000600886570449994,"PCSK6",0.946375749484014,0.0117442984855025,"Down","Up","Discordant"
"Tbc1d23",-0.138307843697248,0.000681511380992701,"TBC1D23",0.424067506537128,0.00192458431543134,"Down","Up","Discordant"
"Aagab",-0.117067404857343,0.000684567152049807,"AAGAB",0.395105804158502,0.0370312996354424,"Down","Up","Discordant"
"Peli2",-0.138338107730031,0.000736027213441331,"PELI2",0.991850697574849,5.98053988224674e-10,"Down","Up","Discordant"
"Slc25a51",-0.11535762725007,0.000751117486140326,"SLC25A51",0.391699491828875,0.0348342150511964,"Down","Up","Discordant"
"Sat1",-0.103841440345176,0.000765185614580674,"SAT1",2.34706841725612,2.77050101376468e-11,"Down","Up","Discordant"
"Hcn1",-0.196677912841441,0.000787640637258928,"HCN1",0.71626872929008,0.0113412674829507,"Down","Up","Discordant"
"Ralgds",-0.136119062750664,0.000873106833778513,"RALGDS",0.800620882164364,0.000117416874076248,"Down","Up","Discordant"
"Derl1",-0.132089959723371,0.000908547670456662,"DERL1",0.347890696105847,0.0488588835219732,"Down","Up","Discordant"
"Rabep1",-0.103125257655522,0.00095197228287761,"RABEP1",0.294246152545924,0.0224182618985853,"Down","Up","Discordant"
"Nr4a1",-0.1358280070522,0.000972298733431764,"NR4A1",2.04199998326437,5.15570936980758e-07,"Down","Up","Discordant"
"Spire1",-0.116875018623286,0.0010332050375391,"SPIRE1",0.560411766459194,0.00167293843432501,"Down","Up","Discordant"
"Hnrnpa2b1",-0.0810123860993253,0.00136312164652654,"HNRNPA2B1",0.446723988601684,0.0150619108235367,"Down","Up","Discordant"
"Mtch1",-0.114919457212793,0.00143591537927577,"MTCH1",0.454994717249362,0.00106982767936683,"Down","Up","Discordant"
"Kazn",-0.13017928328213,0.0014471009875772,"KAZN",0.852630615360975,0.000125549619932034,"Down","Up","Discordant"
"Ankrd28",-0.101612718918217,0.00145118816742492,"ANKRD28",0.524344569829333,0.0161949110626087,"Down","Up","Discordant"
"Iqgap2",-0.137861741637034,0.00161674837419285,"IQGAP2",0.667062492239989,0.0101837809039101,"Down","Up","Discordant"
"Cpd",-0.130895461150792,0.00166591149311349,"CPD",1.75833551892577,4.22378951126888e-05,"Down","Up","Discordant"
"Dpm1",-0.130932539599812,0.00181113057808224,"DPM1",0.676330356601974,0.000617146558829403,"Down","Up","Discordant"
"Cdh1",-0.162736663845018,0.00186020828151898,"CDH1",1.61733830378314,0.00241398407306228,"Down","Up","Discordant"
"Slc6a8",-0.124899967508022,0.00193336035724565,"SLC6A8",0.623906575881693,0.00112296923819242,"Down","Up","Discordant"
"Paqr6",-0.106356316003821,0.00195313560994965,"PAQR6",0.805361172474919,0.00215066741025202,"Down","Up","Discordant"
"Prkar1a",-0.0831405389480371,0.00197704956049122,"PRKAR1A",0.448839871219172,0.0308974357879879,"Down","Up","Discordant"
"Nedd9",-0.115310789028933,0.00198205716686287,"NEDD9",2.5439781102678,1.45742549457497e-17,"Down","Up","Discordant"
"Numb",-0.112014504388188,0.00198452780113609,"NUMB",0.763756232742659,0.00562781154000041,"Down","Up","Discordant"
"Dip2b",-0.102399524494028,0.00199067224767915,"DIP2B",0.278264009099063,0.0314611683515317,"Down","Up","Discordant"
"Pim3",-0.0547294965175626,0.00203784004567479,"PIM3",1.14143436895726,1.62892696591245e-05,"Down","Up","Discordant"
"Nphp3",0.246265946019658,0.00203898366135068,"NPHP3",-0.527291131665478,0.0301921412592683,"Up","Down","Discordant"
"Map3k2",-0.0861915780948992,0.00214602777014244,"MAP3K2",0.509129692985493,0.00337292784610921,"Down","Up","Discordant"
"Klf9",-0.1767830353663,0.00222258134999242,"KLF9",1.64653591947783,3.91417121914828e-16,"Down","Up","Discordant"
"Usp32",-0.106719095449357,0.00226635746952132,"USP32",1.05578680154669,0.000261267738782967,"Down","Up","Discordant"
"Ippk",-0.121547280420384,0.00235033881122955,"IPPK",0.539823439698933,0.0162897076209734,"Down","Up","Discordant"
"Pmpca",-0.107624764674702,0.00235178233679894,"PMPCA",0.618147186893941,0.00301724416294104,"Down","Up","Discordant"
"Mbd2",-0.0734088738886476,0.00267786645544126,"MBD2",0.499602506965257,0.0099412008326355,"Down","Up","Discordant"
"Jam3",-0.0914787386684037,0.00274950924885328,"JAM3",0.457492352742025,0.00031177974466763,"Down","Up","Discordant"
"Dcun1d5",-0.155346988396574,0.0028606096523868,"DCUN1D5",0.492434370437308,0.000228099134445988,"Down","Up","Discordant"
"Abcg1",-0.101144663762162,0.00294086225120936,"ABCG1",0.597163812978239,0.036149860523894,"Down","Up","Discordant"
"Tuba1a",-0.0635984550545454,0.00298082870725534,"TUBA1A",0.885338673144257,0.000657902084975456,"Down","Up","Discordant"
"Ppox",0.18367347508806,0.00303622101240271,"PPOX",-0.683481217744745,0.00160543483724203,"Up","Down","Discordant"
"Slc1a5",-0.114501809302057,0.00310779260159666,"SLC1A5",1.19060082330504,5.44962898108874e-05,"Down","Up","Discordant"
"Zfand5",-0.106175686077051,0.00329347650622255,"ZFAND5",1.4578836575202,7.85741210891019e-15,"Down","Up","Discordant"
"Rai1",0.231777684146031,0.00350169303246727,"RAI1",-0.899545544077361,0.00010160042642719,"Up","Down","Discordant"
"Srsf1",-0.0831047335190225,0.00379880172384476,"SRSF1",0.476033045262461,0.0250487809643166,"Down","Up","Discordant"
"Nufip2",-0.09599377690356,0.00388491090582943,"NUFIP2",0.686536369533588,0.00245419874191512,"Down","Up","Discordant"
"Dcun1d3",-0.102017969285677,0.00427914349433012,"DCUN1D3",1.63311556427379,6.73709543412669e-30,"Down","Up","Discordant"
"Sbds",-0.113328755648751,0.00435132101278708,"SBDS",0.737903155768609,1.09061311395991e-05,"Down","Up","Discordant"
"Kif5b",-0.0766283582195952,0.0044304117829742,"KIF5B",0.511797975096913,8.84141805295457e-05,"Down","Up","Discordant"
"Rhobtb3",-0.12008334003573,0.00455706377535166,"RHOBTB3",1.08101008964996,2.97101651403888e-06,"Down","Up","Discordant"
"Cdc42se1",-0.122052696454358,0.00483252337014674,"CDC42SE1",1.73398384481073,1.22045303504878e-08,"Down","Up","Discordant"
"Pak2",-0.121208065149531,0.0049105101080441,"PAK2",0.672967970245608,0.00106472007419054,"Down","Up","Discordant"
"Stx5a",-0.081493120037385,0.00491103270276968,"STX5",0.653419076331784,8.27985812443554e-05,"Down","Up","Discordant"
"Inpp1",-0.0690019881223005,0.00491763317319376,"INPP1",1.05424308177677,1.64476737738111e-05,"Down","Up","Discordant"
"Chuk",-0.116542522207776,0.00505809831556282,"CHUK",1.01234922974302,3.81657859654867e-05,"Down","Up","Discordant"
"Rc3h2",-0.126216488987766,0.00518538930789658,"RC3H2",0.292732826947333,0.00356305434478261,"Down","Up","Discordant"
"Pik3ip1",0.164731058405413,0.00529538150655661,"PIK3IP1",-0.511772349123444,0.0460667165231695,"Up","Down","Discordant"
"Srpk2",-0.0696955670378654,0.00546880316268203,"SRPK2",0.553618529005736,0.00282342808006054,"Down","Up","Discordant"
"Bbip1",-0.123089938509854,0.00547154406949225,"BBIP1",0.359264148545172,0.0048243526874592,"Down","Up","Discordant"
"Hecw2",-0.0917385709353724,0.00565862148630383,"HECW2",0.585186715482285,0.0152802494425778,"Down","Up","Discordant"
"Slc3a2",-0.114836530889499,0.00567673878662609,"SLC3A2",0.628915890382855,0.00830149386462628,"Down","Up","Discordant"
"Arl13b",-0.0791353663862373,0.00589928697827232,"ARL13B",1.08737521120123,4.95711058639428e-07,"Down","Up","Discordant"
"Kif1a",-0.0752546505891365,0.00620149174524864,"KIF1A",1.21098934022569,0.00475507092463218,"Down","Up","Discordant"
"Lamp2",-0.0706560738822488,0.00646425723652258,"LAMP2",0.506149517619926,0.0447822817650321,"Down","Up","Discordant"
"Gpr37l1",-0.106770143601119,0.00656895236573085,"GPR37L1",1.34688202118724,0.0057794070837936,"Down","Up","Discordant"
"Itpripl2",-0.0950356273983377,0.00694719268759379,"ITPRIPL2",0.343664756447751,0.0479333470142162,"Down","Up","Discordant"
"Chordc1",-0.128081878174099,0.00739328336237922,"CHORDC1",0.648419864688326,0.00293852877932092,"Down","Up","Discordant"
"Ddx3x",-0.0831436162114996,0.0075602031679717,"DDX3X",1.1611746771433,1.46110195598661e-06,"Down","Up","Discordant"
"Szrd1",-0.196751225983656,0.00761177998230936,"SZRD1",0.414739645167819,0.0150778991242469,"Down","Up","Discordant"
"Prrg3",-0.0797903429894407,0.00765388156682482,"PRRG3",0.928634925958511,0.00548212478871804,"Down","Up","Discordant"
"Scrn1",-0.0939181875742676,0.00768861334929214,"SCRN1",1.1858472981174,7.54642693187733e-05,"Down","Up","Discordant"
"Rcn1",-0.0769035193694605,0.00772241408308864,"RCN1",0.731123720718976,0.000743046074483841,"Down","Up","Discordant"
"Vdac2",-0.0768812528900937,0.00776680649544083,"VDAC2",0.624499335675087,9.47656764851669e-05,"Down","Up","Discordant"
"Map1b",-0.0962021553732195,0.00803873178830496,"MAP1B",0.482800784960368,0.0100343188238451,"Down","Up","Discordant"
"Slc25a10",-0.134331397404774,0.00826829251833777,"SLC25A10",0.71892399079236,0.0249971424850908,"Down","Up","Discordant"
"Nek7",-0.0435745407190687,0.00879747315367807,"NEK7",0.418474770388175,0.0147666415760787,"Down","Up","Discordant"
"Stx12",-0.0852650923428016,0.00885275338472059,"STX12",0.78654578753032,8.08578499067941e-06,"Down","Up","Discordant"
"Arl8a",-0.130111845715771,0.00893924674808253,"ARL8A",0.60856484455954,0.000163125421550114,"Down","Up","Discordant"
"Ythdf3",-0.0608845558597071,0.00906254463408524,"YTHDF3",0.59388889791464,0.00165994377436364,"Down","Up","Discordant"
"Abtb2",-0.0578825021741827,0.00990726215513958,"ABTB2",0.850021399170085,0.00198104421965933,"Down","Up","Discordant"
