"Mouse_Symbol","Mouse_log2FC","Mouse_pval","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Plekha4",0.185399523019998,1.09831186960742e-14,"PLEKHA4",-0.709758439471158,7.88266152741976e-17,"Up","Down","Discordant"
"Ctnnal1",0.251161487528039,7.52377719321006e-12,"CTNNAL1",-0.747383126515763,4.21869437456721e-18,"Up","Down","Discordant"
"Cldn19",0.174365934945207,4.38125923100491e-11,"CLDN19",-1.05113574276211,1.40518979547685e-06,"Up","Down","Discordant"
"Tsc22d3",-0.407620436988261,1.32252991635893e-09,"TSC22D3",0.879953045600486,1.39651604335522e-10,"Down","Up","Discordant"
"Gsn",-0.282735534643433,1.70276162405496e-08,"GSN",0.79472909308265,7.93104283439763e-96,"Down","Up","Discordant"
"Rapgef3",-0.173820483148536,2.16094508991954e-07,"RAPGEF3",1.51936733282159,0.00380906192252475,"Down","Up","Discordant"
"Fmn2",0.21238648628922,1.30201291836958e-06,"FMN2",-1.59141658266337,0.0303865818092828,"Up","Down","Discordant"
"S100a6",-0.154670265431331,5.20500095223418e-06,"S100A6",0.295483239760776,1.01272497407963e-16,"Down","Up","Discordant"
"Rnh1",-0.212056857067479,7.1350300981787e-06,"RNH1",0.588178969472058,0.00133817704522308,"Down","Up","Discordant"
"Micall2",0.323668249565994,8.63924673534609e-06,"MICALL2",-0.643081190706378,2.06708121053486e-12,"Up","Down","Discordant"
"Drp2",0.091212336842589,1.01837764951447e-05,"DRP2",-0.85712512279549,3.21368352371589e-10,"Up","Down","Discordant"
"Sorcs1",0.186336694853847,0.000119189045211931,"SORCS1",-0.98889227699628,3.24236371220691e-10,"Up","Down","Discordant"
"Slc7a2",-0.152159080745309,0.000367142337995641,"SLC7A2",1.18531014352491,1.66562575160656e-05,"Down","Up","Discordant"
"Rbm3",-0.14389239636322,0.000384670829607199,"RBM3",0.498805759226183,0.00144595938978559,"Down","Up","Discordant"
"Nbl1",-0.154504470417458,0.000488238206428623,"NBL1",1.16396834909537,1.70066773906957e-17,"Down","Up","Discordant"
"Sema5a",0.254900470686922,0.000587778078964811,"SEMA5A",-0.657593659267854,0.00120468437514895,"Up","Down","Discordant"
"Nav3",0.220552783816767,0.00076313342635472,"NAV3",-1.418436355452,0.00309842254731468,"Up","Down","Discordant"
"Gldn",0.228308066275745,0.000792999544792214,"GLDN",-0.718047708873683,7.53175031938415e-05,"Up","Down","Discordant"
"Mag",0.187068576906716,0.00109663185773088,"MAG",-1.12752291704277,4.07386587248261e-05,"Up","Down","Discordant"
"Kcna2",0.219965537910015,0.00112209472581826,"KCNA2",-1.50296986566367,8.06512570045016e-07,"Up","Down","Discordant"
"Sod3",-0.0888179456655926,0.00124175238318644,"SOD3",0.482185050320109,3.66496344724045e-06,"Down","Up","Discordant"
"Tnxb",-0.0900095765926894,0.00205438540647507,"TNXB",0.619349928035901,3.78948320981086e-09,"Down","Up","Discordant"
"Tle2",-0.0651590894406631,0.00634692685586786,"TLE2",1.12144831939318,1.65058807208678e-08,"Down","Up","Discordant"
"Tns1",-0.102474775624957,0.00640757752607905,"TNS1",1.16429735594763,1.02837774550839e-20,"Down","Up","Discordant"
"Ank3",0.109279786987983,0.00767192998361645,"ANK3",-0.429856305547353,0.023717896384544,"Up","Down","Discordant"
