"Mouse_Symbol","Mouse_log2FC","Mouse_pval","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Plekha4",0.185399523019998,1.09831186960742e-14,"PLEKHA4",-0.709758439471158,7.88266152741976e-17,"Up","Down","Discordant"
"Ctnnal1",0.251161487528039,7.52377719321006e-12,"CTNNAL1",-0.747383126515763,4.21869437456721e-18,"Up","Down","Discordant"
"Cldn19",0.174365934945207,4.38125923100491e-11,"CLDN19",-1.05113574276211,1.40518979547685e-06,"Up","Down","Discordant"
"Art3",-0.214049091617625,5.03143972551939e-10,"ART3",-0.927736762890254,0.00845234952386587,"Down","Down","Concordant"
"Tsc22d3",-0.407620436988261,1.32252991635893e-09,"TSC22D3",0.879953045600486,1.39651604335522e-10,"Down","Up","Discordant"
"Qk",-0.153756872412131,2.33888295880968e-09,"QKI",-0.324267583096405,0.000306334977383979,"Down","Down","Concordant"
"Gsn",-0.282735534643433,1.70276162405496e-08,"GSN",0.79472909308265,7.93104283439763e-96,"Down","Up","Discordant"
"Rapgef3",-0.173820483148536,2.16094508991954e-07,"RAPGEF3",1.51936733282159,0.00380906192252475,"Down","Up","Discordant"
"Rap1gap",-0.138814018349014,4.19954150268112e-07,"RAP1GAP",-1.5733321567949,2.47956796530849e-12,"Down","Down","Concordant"
"Megf9",-0.259428870537079,4.30188101411438e-07,"MEGF9",-0.607120665410814,1.0273138748287e-06,"Down","Down","Concordant"
"Tmod2",-0.260361629648141,4.96726638013665e-07,"TMOD2",-0.623925946502459,6.0734970363343e-10,"Down","Down","Concordant"
"Slc22a17",-0.195733961972176,7.56271158470671e-07,"SLC22A17",-0.37711557368047,0.00214895466958057,"Down","Down","Concordant"
"Aspa",-0.237982628890978,9.88873725074663e-07,"ASPA",-0.631192343753793,0.0019394896043679,"Down","Down","Concordant"
"Fmn2",0.21238648628922,1.30201291836958e-06,"FMN2",-1.59141658266337,0.0303865818092828,"Up","Down","Discordant"
"S100a6",-0.154670265431331,5.20500095223418e-06,"S100A6",0.295483239760776,1.01272497407963e-16,"Down","Up","Discordant"
"Vwa1",-0.209406925411477,5.61469974865863e-06,"VWA1",-0.428903634526047,5.92811829244541e-14,"Down","Down","Concordant"
"Rnh1",-0.212056857067479,7.1350300981787e-06,"RNH1",0.588178969472058,0.00133817704522308,"Down","Up","Discordant"
"Rtkn",-0.148645064728782,8.42964824790646e-06,"RTKN",-0.759074977133738,0.000333166358698641,"Down","Down","Concordant"
"Micall2",0.323668249565994,8.63924673534609e-06,"MICALL2",-0.643081190706378,2.06708121053486e-12,"Up","Down","Discordant"
"Drp2",0.091212336842589,1.01837764951447e-05,"DRP2",-0.85712512279549,3.21368352371589e-10,"Up","Down","Discordant"
"Plp1",-0.180727849663877,1.0331271725514e-05,"PLP1",-0.866277857956655,3.2703979431827e-99,"Down","Down","Concordant"
"Gas2l3",-0.153811826048582,1.98287346698661e-05,"GAS2L3",-0.553256999453118,0.0151511480104318,"Down","Down","Concordant"
"Gpm6b",-0.193655375673899,2.59380751645731e-05,"GPM6B",-0.299748453746233,3.88133464838745e-06,"Down","Down","Concordant"
"Gnptab",-0.158318381249595,3.40485734597671e-05,"GNPTAB",-0.834353815136831,0.00147089346178459,"Down","Down","Concordant"
"Fxyd1",-0.184779753884164,3.9159542563451e-05,"FXYD1",-0.299331198860358,0.0167861022358932,"Down","Down","Concordant"
"Ogn",-0.198185978210555,4.97549245320281e-05,"OGN",-0.758361150274417,3.06053909211135e-06,"Down","Down","Concordant"
"Sbspon",-0.175881952727552,5.56027834246822e-05,"SBSPON",-0.467999456140596,0.000335862255988385,"Down","Down","Concordant"
"Itpk1",-0.163188283714391,7.56823485275149e-05,"ITPK1",-0.654933033413303,2.50331286562321e-12,"Down","Down","Concordant"
"Pex5l",-0.158014154882964,7.82169386587271e-05,"PEX5L",-1.0842658590301,0.0268181125922942,"Down","Down","Concordant"
"Bcas1",-0.1467892607876,0.000105273505300285,"BCAS1",-0.700897443488715,2.43322279385279e-09,"Down","Down","Concordant"
"Sorcs1",0.186336694853847,0.000119189045211931,"SORCS1",-0.98889227699628,3.24236371220691e-10,"Up","Down","Discordant"
"Flnb",0.285596967114105,0.000132224990883333,"FLNB",0.5892527787854,2.45984283958365e-05,"Up","Up","Concordant"
"Psap",-0.172034435709576,0.000134525503110313,"PSAP",-0.477285100980786,6.16371652592619e-47,"Down","Down","Concordant"
"Sdc3",-0.130925783246571,0.000163183812031602,"SDC3",-1.11597118728868,7.87048027946162e-23,"Down","Down","Concordant"
"Rb1",-0.175044282142126,0.00022358348680655,"RB1",-0.765541572634969,0.00480177192933522,"Down","Down","Concordant"
"Itgb8",-0.117916766206028,0.000294120739730464,"ITGB8",-0.897544451988607,2.74278901866743e-42,"Down","Down","Concordant"
"S100b",-0.164254471577656,0.000352660159164,"S100B",-1.17486642236247,6.51557620758894e-229,"Down","Down","Concordant"
"Slc7a2",-0.152159080745309,0.000367142337995641,"SLC7A2",1.18531014352491,1.66562575160656e-05,"Down","Up","Discordant"
"Rbm3",-0.14389239636322,0.000384670829607199,"RBM3",0.498805759226183,0.00144595938978559,"Down","Up","Discordant"
"Prx",-0.0760484295657964,0.000467886719110097,"PRX",-0.731594240711631,5.22310979613096e-32,"Down","Down","Concordant"
"Nbl1",-0.154504470417458,0.000488238206428623,"NBL1",1.16396834909537,1.70066773906957e-17,"Down","Up","Discordant"
"Sema5a",0.254900470686922,0.000587778078964811,"SEMA5A",-0.657593659267854,0.00120468437514895,"Up","Down","Discordant"
"Abca2",-0.121589961578655,0.000727216307504414,"ABCA2",-0.467547061904769,1.60061558290349e-05,"Down","Down","Concordant"
"Nav3",0.220552783816767,0.00076313342635472,"NAV3",-1.418436355452,0.00309842254731468,"Up","Down","Discordant"
"Gldn",0.228308066275745,0.000792999544792214,"GLDN",-0.718047708873683,7.53175031938415e-05,"Up","Down","Discordant"
"Mag",0.187068576906716,0.00109663185773088,"MAG",-1.12752291704277,4.07386587248261e-05,"Up","Down","Discordant"
"Kcna2",0.219965537910015,0.00112209472581826,"KCNA2",-1.50296986566367,8.06512570045016e-07,"Up","Down","Discordant"
"Sod3",-0.0888179456655926,0.00124175238318644,"SOD3",0.482185050320109,3.66496344724045e-06,"Down","Up","Discordant"
"Paqr6",-0.106356316003821,0.00195313560994965,"PAQR6",-0.781779997879847,8.26330642023553e-06,"Down","Down","Concordant"
"Tnxb",-0.0900095765926894,0.00205438540647507,"TNXB",0.619349928035901,3.78948320981086e-09,"Down","Up","Discordant"
"Tuba1a",-0.0635984550545454,0.00298082870725534,"TUBA1A",-0.401125854258027,6.23603614971874e-27,"Down","Down","Concordant"
"Rhobtb3",-0.12008334003573,0.00455706377535166,"RHOBTB3",-0.724138435792583,0.00165621606526567,"Down","Down","Concordant"
"Cmtm5",-0.119506711990178,0.00558094086296533,"CMTM5",-0.623719266247987,7.15026514229973e-05,"Down","Down","Concordant"
"Tle2",-0.0651590894406631,0.00634692685586786,"TLE2",1.12144831939318,1.65058807208678e-08,"Down","Up","Discordant"
