"Mouse_Symbol","Mouse_log2FC","Mouse_pval","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"B2m",-0.196906355331117,6.83300359750559e-05,"B2M",0.568351823064419,0.02123065227494,"Down","Up","Discordant"
"Prx",-0.0813483224118192,0.000694453608951701,"PRX",2.22445309625055,0.00036502813705074,"Down","Up","Discordant"
"Rab24",-0.275940558059106,0.000843402039347427,"RAB24",0.810323252679104,0.0274636275907233,"Down","Up","Discordant"
"Gdpd3",0.314031421800884,0.000936766631421716,"GDPD3",-1.01969940902804,0.00600793696096773,"Up","Down","Discordant"
"Gabarapl1",-0.251069331777636,0.00102964117949091,"GABARAPL1",1.23329821670745,1.32873762360928e-07,"Down","Up","Discordant"
"Chpt1",-0.293775675566786,0.0013745162786001,"CHPT1",0.397772016004527,0.0391475624730493,"Down","Up","Discordant"
"Olfml2a",0.388658330593806,0.00164944754299924,"OLFML2A",-0.612799904430127,0.0133689390050288,"Up","Down","Discordant"
"Psmd2",-0.248179273617142,0.00240648660097305,"PSMD2",0.391200547886028,0.00810554920289615,"Down","Up","Discordant"
"Plin3",-0.223070669296425,0.00246298718561673,"PLIN3",1.09401456545055,0.00199167442657234,"Down","Up","Discordant"
"Lrp10",-0.168760522081354,0.00247070715144206,"LRP10",0.947880480774561,0.00153376915299016,"Down","Up","Discordant"
"Snca",-0.265538257769119,0.00249592444283065,"SNCA",0.795525215270201,0.00981654733845163,"Down","Up","Discordant"
"Eif4h",-0.143471809107573,0.00251403511231131,"EIF4H",0.558985830870577,0.000548389317151694,"Down","Up","Discordant"
"Gtdc1",-0.139107709758575,0.00386986676841172,"GTDC1",0.463454467532821,0.00375487430712445,"Down","Up","Discordant"
"Rrn3",-0.268507507127557,0.00431140635620944,"RRN3",0.843535283547319,1.33518939186476e-05,"Down","Up","Discordant"
"Myl12b",-0.0861257946316,0.00450170480207706,"MYL12A",0.38951612316389,0.0445786825745803,"Down","Up","Discordant"
"Stx16",0.144042042837923,0.00511181665128304,"STX16",-0.590772216724956,0.0189760148606657,"Up","Down","Discordant"
"Mllt1",-0.156731409927558,0.00602020735000354,"MLLT1",0.510083747876373,0.0477299571391608,"Down","Up","Discordant"
"Lrrc8b",-0.253652980810708,0.00610807351289899,"LRRC8B",0.749942448706093,0.00556839675203977,"Down","Up","Discordant"
"Slc39a1",-0.186067637981896,0.00614496983873728,"SLC39A1",1.49367660723881,1.95145344298831e-07,"Down","Up","Discordant"
"Psmf1",-0.231791983425749,0.0061764497586008,"PSMF1",0.286672349246222,0.01170677344144,"Down","Up","Discordant"
"Adipor2",-0.158811923151146,0.00667043794776928,"ADIPOR2",0.900650997565655,7.1157531158539e-06,"Down","Up","Discordant"
"Kctd5",-0.198106519482849,0.00743941039038166,"KCTD5",0.395070767055253,0.0283502622906782,"Down","Up","Discordant"
"Zfp36l2",-0.2130933218963,0.00825079969564708,"ZFP36L2",0.379311472823695,0.0196909945268731,"Down","Up","Discordant"
"Hsp90aa1",-0.0983245923239851,0.00858055420258459,"HSP90AA1",0.737136555616103,0.00340885960803811,"Down","Up","Discordant"
