"Mouse_Symbol","Mouse_log2FC","Mouse_pval","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Adam23",0.274394593379119,0.00760653856659345,"ADAM23",-1.05611944708503,0.000823455780561756,"Up","Down","Discordant"
"Adamtsl1",0.186110814149127,0.000325962841168791,"ADAMTSL1",-1.23536065858481,0.000456580535964187,"Up","Down","Discordant"
"Afap1l2",0.116796913936466,0.000674456962309001,"AFAP1L2",-0.518079970721635,0.0294892959194813,"Up","Down","Discordant"
"Anxa3",0.285373743199084,0.000113441741765413,"ANXA3",-0.853849990762629,0.000404858752269588,"Up","Down","Discordant"
"Arl3",0.078520529107222,0.00511964973552556,"ARL3",-0.796445385061599,0.000598240877730901,"Up","Down","Discordant"
"Art3",-0.325897539686462,1.60004328666818e-08,"ART3",-0.927736762890254,0.00845234952386587,"Down","Down","Concordant"
"B2m",-0.196906355331117,6.83300359750559e-05,"B2M",-0.324874710627948,7.63745488596434e-34,"Down","Down","Concordant"
"Bmp7",0.0813375828266383,0.00545129513659657,"BMP7",-0.678296014551582,0.0314909920134245,"Up","Down","Discordant"
"Cdh19",0.126751836693742,9.90949926453228e-05,"CDH19",0.574278258759879,7.51109389584067e-08,"Up","Up","Concordant"
"Chst2",0.162565291784018,0.000370664706120526,"CHST2",-1.73159424071163,2.97735828111411e-09,"Up","Down","Discordant"
"Cnp",-0.230096366481714,0.0030398158743563,"CNP",-0.538949162769235,2.10174899410142e-22,"Down","Down","Concordant"
"Col14a1",0.0677312299846067,0.00359273574725126,"COL14A1",-1.07192217393097,2.1263405817006e-47,"Up","Down","Discordant"
"Col1a1",0.347238735430106,3.21261199096029e-12,"COL1A1",-1.16644022107065,2.37264383302555e-67,"Up","Down","Discordant"
"Col1a2",0.175670485596967,2.48839107290097e-07,"COL1A2",-0.619075352501228,3.21595905018177e-50,"Up","Down","Discordant"
"Col3a1",0.102503682124937,0.00511594582498693,"COL3A1",-1.23667959365234,3.90803848094198e-48,"Up","Down","Discordant"
"Col4a2",0.0912598878234978,4.40764321177863e-05,"COL4A2",0.452422443784434,2.7226774723748e-05,"Up","Up","Concordant"
"Col5a1",0.23200384573031,1.27149017287908e-10,"COL5A1",-0.525377966877682,0.00012532257529028,"Up","Down","Discordant"
"Col5a3",0.198031365853164,6.49629774379517e-10,"COL5A3",-0.537714507117596,3.04158998458971e-05,"Up","Down","Discordant"
"Cryab",0.0991003257890379,0.000411141967834478,"CRYAB",-0.46740675499158,1.56353384178659e-21,"Up","Down","Discordant"
"Cst3",0.124304380159647,0.00986653416011303,"CST3",-0.218818234737092,8.06606770719687e-09,"Up","Down","Discordant"
"Dag1",0.154490827186736,0.00012237636633062,"DAG1",-0.355510375777363,0.0143532295132145,"Up","Down","Discordant"
"Dstn",-0.320380906492209,2.12765253755322e-05,"DSTN",0.480558996119979,0.00243222890761616,"Down","Up","Discordant"
"Elovl7",0.147010863768663,0.000708882959824195,"ELOVL7",-1.51746943535878,0.031472729374551,"Up","Down","Discordant"
"Fgf1",0.106461442664739,0.00509476045931746,"FGF1",-1.26210895741041,4.60884675760465e-20,"Up","Down","Discordant"
"Flna",0.0484860423750098,0.00569558281964985,"FLNA",0.401865810613678,0.000411627719590099,"Up","Up","Concordant"
"Flnb",0.185955132833466,0.000200288398451151,"FLNB",0.5892527787854,2.45984283958365e-05,"Up","Up","Concordant"
"Fxyd1",-0.343568529347427,0.00010892209292448,"FXYD1",-0.299331198860358,0.0167861022358932,"Down","Down","Concordant"
"Fxyd3",0.199215531193784,2.84377330546124e-06,"FXYD3",-1.1029612683335,5.82839663589413e-06,"Up","Down","Discordant"
"Gas2l3",0.13439438529743,4.30634380881197e-05,"GAS2L3",-0.553256999453118,0.0151511480104318,"Up","Down","Discordant"
"Gldn",0.19333705337085,6.39933087157977e-07,"GLDN",-0.718047708873683,7.53175031938415e-05,"Up","Down","Discordant"
"Gng2",0.0479812729392579,0.00258308262308309,"GNG2",-0.52614409313482,4.64699503472119e-08,"Up","Down","Discordant"
"Gsn",0.0336108118270604,0.00753164236583922,"GSN",0.79472909308265,7.93104283439763e-96,"Up","Up","Concordant"
"Hsp90aa1",-0.0983245923239851,0.00858055420258459,"HSP90AA1",-0.286581681987297,0.0013051082293304,"Down","Down","Concordant"
"Hspg2",0.0329678026211959,0.00565306480985334,"HSPG2",-0.59773849397684,1.84652536012219e-27,"Up","Down","Discordant"
"Insc",0.129847296977051,0.0044313108226818,"INSC",-1.41252579996351,8.32326257622271e-07,"Up","Down","Discordant"
"Itga6",0.0811818598945435,8.45568275811471e-05,"ITGA6",-0.294607768599142,3.92976196997945e-06,"Up","Down","Discordant"
