"Mouse_Symbol","Mouse_log2FC","Mouse_pval","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Nfasc",-0.221274720790236,1.45898855625289e-10,"NFASC",-1.01362960847548,0.00271788506408365,"Down","Down","Concordant"
"Art3",-0.325897539686462,1.60004328666818e-08,"ART3",-0.927736762890254,0.00845234952386587,"Down","Down","Concordant"
"Tnxb",0.191230649684151,3.93588880625659e-07,"TNXB",0.619349928035901,3.78948320981086e-09,"Up","Up","Concordant"
"Mbp",-0.122522426790133,4.11743393066263e-07,"MBP",-1.30208801771583,1.42010607307706e-214,"Down","Down","Concordant"
"Nid1",0.1763112780552,6.13620417782549e-06,"NID1",0.536241151385984,0.00527543552386505,"Up","Up","Concordant"
"Col4a2",0.0912598878234978,4.40764321177863e-05,"COL4A2",0.452422443784434,2.7226774723748e-05,"Up","Up","Concordant"
"Vcl",0.125532179268052,5.51117983217064e-05,"VCL",0.606909410377914,0.0209767908921726,"Up","Up","Concordant"
"Prx",-0.122445031564424,9.23117361288525e-05,"PRX",-0.731594240711631,5.22310979613096e-32,"Down","Down","Concordant"
"Cdh19",0.126751836693742,9.90949926453228e-05,"CDH19",0.574278258759879,7.51109389584067e-08,"Up","Up","Concordant"
"Fxyd1",-0.343568529347427,0.00010892209292448,"FXYD1",-0.299331198860358,0.0167861022358932,"Down","Down","Concordant"
"Flnb",0.185955132833466,0.000200288398451151,"FLNB",0.5892527787854,2.45984283958365e-05,"Up","Up","Concordant"
"Scube1",0.162607577815338,0.000297191999940262,"SCUBE1",1.87803031424379,3.06097990995257e-19,"Up","Up","Concordant"
"Nsmf",0.0752860702515425,0.000716227996607338,"NSMF",0.830504151657788,0.0012458456605136,"Up","Up","Concordant"
"Timp2",0.0743630637494161,0.00144956872794318,"TIMP2",0.386943497683537,1.32602673395383e-15,"Up","Up","Concordant"
"Psmc5",0.15193974834919,0.00205070469862054,"PSMC5",0.554928518044533,0.00689704051142656,"Up","Up","Concordant"
"Cnp",-0.230096366481714,0.0030398158743563,"CNP",-0.538949162769235,2.10174899410142e-22,"Down","Down","Concordant"
"Flna",0.0484860423750098,0.00569558281964985,"FLNA",0.401865810613678,0.000411627719590099,"Up","Up","Concordant"
"Gsn",0.0336108118270604,0.00753164236583922,"GSN",0.79472909308265,7.93104283439763e-96,"Up","Up","Concordant"
"Pdgfrb",0.0830857829133325,0.00782754664572599,"PDGFRB",0.683443258567213,0.000118930817412768,"Up","Up","Concordant"
