"Mouse_Symbol","Mouse_log2FC","Mouse_pval","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Sptbn5",0.318972048797343,9.23218611752872e-18,"SPTBN5",2.38514777172604,1.09154521488196e-06,"Up","Up","Concordant"
"Col1a1",0.347238735430106,3.21261199096029e-12,"COL1A1",-2.33093047101344,4.86690219674216e-12,"Up","Down","Discordant"
"Per1",0.167659480369284,6.34317014207764e-11,"PER1",0.614657911355589,0.030933662866666,"Up","Up","Concordant"
"Col5a1",0.23200384573031,1.27149017287908e-10,"COL5A1",-0.774615284651586,8.09823681473354e-06,"Up","Down","Discordant"
"Mat2a",0.205417760589847,3.61091547959095e-10,"MAT2A",2.03602742581746,5.68684526512092e-17,"Up","Up","Concordant"
"Spag9",0.184648587349609,2.40592935355898e-09,"SPAG9",0.652013602089023,9.43717706637799e-05,"Up","Up","Concordant"
"Pmp22",0.188415723332456,5.61994705932799e-09,"PMP22",1.45929829179601,1.88551476517146e-06,"Up","Up","Concordant"
"Art3",-0.325897539686462,1.60004328666818e-08,"ART3",0.855985414490905,0.0339782259659872,"Down","Up","Discordant"
"Cadm3",0.213338025373682,2.47814724622143e-08,"CADM3",1.0167187389854,0.000288870291583311,"Up","Up","Concordant"
"Sema3g",0.285824940587894,3.55675578216991e-08,"SEMA3G",-0.608545192438649,0.0381973899900013,"Up","Down","Discordant"
"Myo1b",0.211192104955156,7.861321309861e-08,"MYO1B",0.489556382046038,1.32623899575974e-05,"Up","Up","Concordant"
"Slc9a9",0.253645126071933,1.34533243128567e-07,"SLC9A9",-1.26085104283364,3.7160431001603e-05,"Up","Down","Discordant"
"Limk2",0.185466685232529,2.18629051790702e-07,"LIMK2",1.86406431994265,0.000122981072989985,"Up","Up","Concordant"
"Col1a2",0.175670485596967,2.48839107290097e-07,"COL1A2",-0.884662679434246,0.000673077956595261,"Up","Down","Discordant"
"Mbp",-0.122522426790133,4.11743393066263e-07,"MBP",1.69699863632153,0.000267523191204788,"Down","Up","Discordant"
"Nav1",0.282511354192998,4.77276793226223e-07,"NAV1",-0.527597117377038,0.00713652459332991,"Up","Down","Discordant"
"Col24a1",0.219757204304527,5.00749254435605e-07,"COL24A1",-0.706756334151809,0.0231127885684988,"Up","Down","Discordant"
"Mpz",0.220759691930069,6.06221088608539e-07,"MPZ",1.71292998284678,0.00117146089740735,"Up","Up","Concordant"
"Gldn",0.19333705337085,6.39933087157977e-07,"GLDN",2.35105038421498,2.1621471920167e-09,"Up","Up","Concordant"
"Filip1",0.18262665367745,1.10584308356215e-06,"FILIP1",0.925510803598033,0.00192422478747432,"Up","Up","Concordant"
"Hmgcs1",0.21868382100155,2.020406086873e-06,"HMGCS1",0.664451359166214,0.00619868364623705,"Up","Up","Concordant"
"Lrp1",0.156812483150332,2.06818719007087e-06,"LRP1",-0.819374421249414,0.000902398609018947,"Up","Down","Discordant"
"Sparc",0.201836649288225,2.86162495540913e-06,"SPARC",0.59245081141209,0.00477617873902357,"Up","Up","Concordant"
"Mapre3",0.145142866412325,3.00619969963073e-06,"MAPRE3",-0.388861509907204,0.0462384440524781,"Up","Down","Discordant"
"Sema5a",0.237042890652332,4.20729174348392e-06,"SEMA5A",0.822533121468287,0.00184069332767274,"Up","Up","Concordant"
"Rhobtb3",0.136053803192707,4.38727987552404e-06,"RHOBTB3",1.08101008964996,2.97101651403888e-06,"Up","Up","Concordant"
"Olfml2b",0.221744691591865,4.5716696313959e-06,"OLFML2B",-0.716856696811729,0.016427752658716,"Up","Down","Discordant"
"Fat1",0.218917179470052,5.33522461795338e-06,"FAT1",0.387098880975123,0.0372168004062437,"Up","Up","Concordant"
"Fa2h",0.0947580954656999,6.83727765108384e-06,"FA2H",1.3352567336003,0.00292691716258544,"Up","Up","Concordant"
"Htt",0.153664229848651,8.23024749982662e-06,"HTT",-0.551978448266947,0.00555016520084256,"Up","Down","Discordant"
"Rasal2",-0.331697503841025,9.31173301779345e-06,"RASAL2",0.503969031010408,0.0302095596797724,"Down","Up","Discordant"
"Piezo2",0.20053398505986,1.2451275358219e-05,"PIEZO2",0.870385555278926,0.0167410752524638,"Up","Up","Concordant"
"Pttg1ip",0.119961493965206,1.35941697756925e-05,"PTTG1IP",0.331388807252075,0.0121856217054011,"Up","Up","Concordant"
"Sars2",0.253254714518518,1.51369849375367e-05,"SARS2",-1.05637564312278,0.000113818308729681,"Up","Down","Discordant"
"Lamb1",0.125653744780105,1.86104012505334e-05,"LAMB1",0.484600229731846,0.00417971710924958,"Up","Up","Concordant"
"Taf2",0.256163094892985,1.9085523630062e-05,"TAF2",0.326800963319393,0.0358962225550151,"Up","Up","Concordant"
"Wdr70",0.167137886884854,2.0152417422069e-05,"WDR70",-0.37699673574561,0.00913578332895152,"Up","Down","Discordant"
"Rims1",0.217661942231661,2.02801123007126e-05,"RIMS1",1.03005934643532,0.00022589695658475,"Up","Up","Concordant"
"Yeats2",0.178633451788639,2.13793904342397e-05,"YEATS2",-0.348350842604846,0.0355692649369409,"Up","Down","Discordant"
"Thap3",0.166201251202584,2.32456190196831e-05,"THAP3",-0.578558521782413,0.000441405919707961,"Up","Down","Discordant"
"Vstm4",0.230679433681015,2.45575444968494e-05,"VSTM4",-0.786205197234893,0.00256629411903055,"Up","Down","Discordant"
"Metap1d",0.15789761966108,2.57030366124817e-05,"METAP1D",-0.552990335146935,0.0207021650047687,"Up","Down","Discordant"
"Slamf9",0.143499134386661,2.92030245426722e-05,"SLAMF9",1.12828545853318,0.0291198525707301,"Up","Up","Concordant"
"G3bp2",0.181079962950078,3.16847947004665e-05,"G3BP2",0.315769333145316,0.0433737975212384,"Up","Up","Concordant"
"Nsmaf",0.120602057573975,3.56071941206346e-05,"NSMAF",0.645900000630919,0.0238449606258016,"Up","Up","Concordant"
"Lrp5",0.221720063297291,3.57732869303175e-05,"LRP5",-0.638320204776374,0.0305925790039125,"Up","Down","Discordant"
"Angptl4",0.181831746142638,3.73398669399495e-05,"ANGPTL4",1.99585032894177,0.00245200074807554,"Up","Up","Concordant"
"Ercc3",0.158543469697768,3.89755708452964e-05,"ERCC3",-0.400091632894113,0.0153032073693745,"Up","Down","Discordant"
"Gas2l3",0.13439438529743,4.30634380881197e-05,"GAS2L3",0.796413699156658,0.0173435712693783,"Up","Up","Concordant"
"Mylip",0.16766453954014,5.06695244948832e-05,"MYLIP",0.764613361473144,0.00145723825263538,"Up","Up","Concordant"
"Rab33b",0.205319070848807,5.0754100351752e-05,"RAB33B",0.550482163044444,0.00747365774812058,"Up","Up","Concordant"
"Zdhhc2",0.265841764005178,5.76264841262167e-05,"ZDHHC2",0.521462311778181,0.00535577649058462,"Up","Up","Concordant"
"Rnf213",0.156406258523704,5.77787547000982e-05,"RNF213",-0.445139070205235,0.018330975477956,"Up","Down","Discordant"
"Ide",0.155825523576892,6.3269102426985e-05,"IDE",-0.51913816266272,0.00350840144624801,"Up","Down","Discordant"
"Ehd4",0.164662308970663,7.05862949233739e-05,"EHD4",0.698179538113148,0.00139642060971187,"Up","Up","Concordant"
"Ucp2",0.213361932632002,7.16643541843358e-05,"UCP2",-0.707725555259273,0.00108041690961829,"Up","Down","Discordant"
"Arih1",0.156857223842142,8.24065574370881e-05,"ARIH1",0.380832149027353,0.00152744719083247,"Up","Up","Concordant"
"Cntf",0.180444899961977,8.241396661102e-05,"CNTF",2.62653624340717,0.000270677068410278,"Up","Up","Concordant"
"Sptb",0.0977560308245486,8.40550407633447e-05,"SPTB",1.66524247394465,2.67922232757105e-05,"Up","Up","Concordant"
"Acsl3",0.104657103733454,8.79404189370364e-05,"ACSL3",0.915684807861461,0.00260866647127189,"Up","Up","Concordant"
"Prx",-0.122445031564424,9.23117361288525e-05,"PRX",2.22445309625055,0.00036502813705074,"Down","Up","Discordant"
"Cdh19",0.126751836693742,9.90949926453228e-05,"CDH19",0.557185739341524,0.0166725875656682,"Up","Up","Concordant"
"Scamp5",0.077140648241955,0.000100466237622949,"SCAMP5",-0.67832107775886,0.0226163236329566,"Up","Down","Discordant"
"Mfsd2a",0.197232451405692,0.000104345968489529,"MFSD2A",1.78295790396909,6.93719784790072e-05,"Up","Up","Concordant"
"Anxa3",0.285373743199084,0.000113441741765413,"ANXA3",1.50257605396623,3.2527132515507e-05,"Up","Up","Concordant"
"Dag1",0.154490827186736,0.00012237636633062,"DAG1",0.452299922636794,0.0319723226206573,"Up","Up","Concordant"
"Frmd3",0.0834264575793595,0.00013356850218811,"FRMD3",0.549407095992675,0.0112900157369876,"Up","Up","Concordant"
"Cltb",0.145314575431606,0.000145728138341677,"CLTB",0.839681369544865,1.61606905579954e-06,"Up","Up","Concordant"
"Srsf6",0.0581037437630108,0.000149558074570678,"SRSF6",0.607447182868995,7.7281743493011e-05,"Up","Up","Concordant"
"Zbtb18",0.143409452626743,0.000155655587556661,"ZBTB18",0.694979328459444,0.00614248482912278,"Up","Up","Concordant"
"Chd1",0.147783553310929,0.000164410371794049,"CHD1",1.88524311178241,7.14250263019962e-09,"Up","Up","Concordant"
"Pcca",0.128597521067026,0.000173352781048641,"PCCA",-0.541837579417979,0.0117376913437612,"Up","Down","Discordant"
"Lama4",0.113873952546031,0.000181724580348613,"LAMA4",-0.349055416605825,0.0325936831578423,"Up","Down","Discordant"
"Slc7a5",0.208572491618561,0.000184890484878683,"SLC7A5",3.86379252811974,7.06852579908722e-11,"Up","Up","Concordant"
"Serpine2",0.112394195633848,0.000215474560672373,"SERPINE2",1.08741252652764,0.00490170726157816,"Up","Up","Concordant"
"Trip10",0.119540446521413,0.000250168832985115,"TRIP10",0.535099099821451,0.0439078723288474,"Up","Up","Concordant"
"Nr4a2",0.123403273002167,0.000268731037493885,"NR4A2",1.69132933070999,1.52758753729757e-06,"Up","Up","Concordant"
"Gan",0.0745938902455385,0.000296086306808948,"GAN",0.403375922730345,0.000732186301216929,"Up","Up","Concordant"
"Scube1",0.162607577815338,0.000297191999940262,"SCUBE1",-0.888601729839685,0.00616252818558909,"Up","Down","Discordant"
"Sirt2",0.0921154799172164,0.000299258262860038,"SIRT2",0.49228408389631,3.79133563366013e-05,"Up","Up","Concordant"
"Ranbp1",0.0851420194543552,0.000306929485632911,"RANBP1",0.536032336979463,0.00232982110382164,"Up","Up","Concordant"
"Gpt",0.124941186171717,0.000318048704623386,"GPT",-0.579950182253614,0.041086144094004,"Up","Down","Discordant"
"Arhgef17",0.102702989288016,0.000342304279232494,"ARHGEF17",-0.633317308573752,0.0300738495147949,"Up","Down","Discordant"
"Bcl9",0.199722366353133,0.000343555167177039,"BCL9",-0.751428785155075,8.6805293852652e-05,"Up","Down","Discordant"
"Phf20l1",0.09837051649442,0.000350271265843254,"PHF20L1",0.838426295011406,0.00275165987233983,"Up","Up","Concordant"
"Lctl",0.139122703606329,0.000364280582030121,"LCTL",1.36203941807496,0.00020920595137583,"Up","Up","Concordant"
"Rmdn2",0.198434668627164,0.00036650948848709,"RMDN2",0.591474124048254,0.00219613106538036,"Up","Up","Concordant"
"Chst2",0.162565291784018,0.000370664706120526,"CHST2",2.29488976876881,4.27706457407022e-18,"Up","Up","Concordant"
"Zfp865",0.136168667799545,0.000384118990027311,"ZNF865",-0.462672701844989,0.0494443744321489,"Up","Down","Discordant"
"Ncf2",0.148363541696386,0.000387778139953672,"NCF2",2.94452359412225,1.759485916442e-09,"Up","Up","Concordant"
"Tesk2",0.145912233424897,0.000404302318251383,"TESK2",0.557185682094978,0.0115978183812389,"Up","Up","Concordant"
"Cryab",0.0991003257890379,0.000411141967834478,"CRYAB",1.08341602218809,5.7269190274382e-05,"Up","Up","Concordant"
"Cpeb2",0.118938045776253,0.000413453595915678,"CPEB2",0.473300640351064,0.00231315863877434,"Up","Up","Concordant"
"Mlip",0.0894987070477891,0.000415639148271802,"MLIP",2.30958497893499,0.000174022076340998,"Up","Up","Concordant"
"Ldlr",0.0355539570794483,0.000438100401786479,"LDLR",2.18367449258416,5.12560435474751e-08,"Up","Up","Concordant"
"Agtpbp1",0.0602053129263764,0.000446210804019423,"AGTPBP1",1.21520359609608,3.01200512963486e-05,"Up","Up","Concordant"
"Fam102a",0.158897744648832,0.000456503747404616,"FAM102A",-0.539770019364458,0.037547571497201,"Up","Down","Discordant"
"Nr4a1",0.145440442995649,0.000467323458302026,"NR4A1",2.04199998326437,5.15570936980758e-07,"Up","Up","Concordant"
"Zfp386",0.0658967606006852,0.00047423020793328,"ZNF519",-1.22519097226681,0.000100739496940538,"Up","Down","Discordant"
"Evi5",0.1780603792849,0.000479534475952375,"EVI5",0.361864246303091,0.0140972914360904,"Up","Up","Concordant"
"Npepl1",0.0919796938297792,0.00049116818053051,"NPEPL1",-0.492164180749895,0.0310831496249158,"Up","Down","Discordant"
