"Mouse_Symbol","Mouse_log2FC","Mouse_pval","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Lss",0.30942508093655,2.42955924797818e-05,"LSS",-0.525128671831499,0.0125524156902243,"Up","Down","Discordant"
"Ucp2",0.215275645901269,2.53766723554899e-05,"UCP2",-0.707725555259273,0.00108041690961829,"Up","Down","Discordant"
"Ctsa",0.21180774240035,0.00051028768197827,"CTSA",-0.26958859819655,0.0485587397724834,"Up","Down","Discordant"
"Comt",0.242251725954044,0.00147251937695173,"COMT",-0.362315019865887,0.0157210129282574,"Up","Down","Discordant"
"Col1a1",0.216791564522401,0.00177003284129081,"COL1A1",-2.33093047101344,4.86690219674216e-12,"Up","Down","Discordant"
"Etfb",0.236652089594607,0.00189973157856439,"ETFB",-0.319420501815189,0.0429257440677649,"Up","Down","Discordant"
"Rab24",-0.289146251925084,0.00294893908202591,"RAB24",0.810323252679104,0.0274636275907233,"Down","Up","Discordant"
"Hsd17b7",0.213611037761403,0.00314581380845822,"HSD17B7",-0.410232567493276,0.0117608938592942,"Up","Down","Discordant"
"Arhgap28",0.169628104071924,0.00359189301798898,"ARHGAP28",-0.934861718647836,0.00472058084658939,"Up","Down","Discordant"
"Rrn3",-0.263317646094553,0.00529357642772732,"RRN3",0.843535283547319,1.33518939186476e-05,"Down","Up","Discordant"
"Fam83f",-0.31739369809256,0.00534585762340558,"FAM83F",0.703082397389105,0.0377529645029113,"Down","Up","Discordant"
"Pkdcc",0.154588075551767,0.00629136197730339,"PKDCC",-0.455209769627736,0.00810554920289615,"Up","Down","Discordant"
"Abhd4",0.228010579578526,0.00631736501303035,"ABHD4",-0.496961494659171,0.00684156028801751,"Up","Down","Discordant"
"Chst14",0.126467099492432,0.00632434178573894,"CHST14",-0.518746524788472,0.025536681872282,"Up","Down","Discordant"
"Rnf215",0.171760942839224,0.00648265004653317,"RNF215",-0.428490643131052,0.012697840308858,"Up","Down","Discordant"
"Otud7b",-0.217582284479546,0.00675582187827537,"OTUD7B",1.43033784367623,9.5988887341034e-07,"Down","Up","Discordant"
"Tgif1",-0.277776192686945,0.00688846326506476,"TGIF1",1.38986502007265,6.17318717381441e-05,"Down","Up","Discordant"
"B2m",-0.157115176367938,0.0071837429938581,"B2M",0.568351823064419,0.02123065227494,"Down","Up","Discordant"
"Ercc4",0.144479247220671,0.00743278047813365,"ERCC4",-0.440746809058866,0.00253418403386938,"Up","Down","Discordant"
"Cdc42bpa",0.0966143967471096,0.00780049470378113,"CDC42BPA",-0.313718708537686,0.0463329917280003,"Up","Down","Discordant"
"Ly9",0.119978752031178,0.00804531521088586,"LY9",-2.05391640070024,9.32679800719884e-05,"Up","Down","Discordant"
"Samm50",0.0738615721863768,0.00820747389147664,"SAMM50",-0.372713723965422,0.0163933265534386,"Up","Down","Discordant"
"Plekha4",-0.19006139274809,0.0085031570743162,"PLEKHA4",0.978397890357331,1.5524597159828e-05,"Down","Up","Discordant"
"Ncor1",0.0792544432532353,0.00918332210731448,"NCOR1",-0.300407590904529,0.0480332852981834,"Up","Down","Discordant"
"Qk",-0.128247691577857,0.00929003958463545,"QKI",0.627873801897697,0.00248291076654324,"Down","Up","Discordant"
"Lpin1",-0.274547134604493,0.00932172284829964,"LPIN1",0.823524937932399,0.000321468952838389,"Down","Up","Discordant"
"Sec14l5",-0.181749881401386,0.00975230372371591,"SEC14L5",1.58327555886197,0.00068014537123565,"Down","Up","Discordant"
