"Mouse_Symbol","Mouse_log2FC","Mouse_pval","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Mal",0.255120026440754,1.63222234494867e-06,"MAL",-0.639335732859642,1.5640247384449e-20,"Up","Down","Discordant"
"Pmp22",0.155373028188448,3.26767736727724e-06,"PMP22",-0.579019896005548,2.70875008517136e-63,"Up","Down","Discordant"
"Sema7a",0.325070071136153,0.000233783097497526,"SEMA7A",-1.10889909263537,1.90014087016291e-13,"Up","Down","Discordant"
"Ugt8a",0.165576553857245,0.000374283783439453,"UGT8",-0.972602340215425,0.000840970671925923,"Up","Down","Discordant"
"Secisbp2l",0.118615190562015,0.000728464970532264,"SECISBP2L",-0.503826827400115,0.000117371294303311,"Up","Down","Discordant"
"Lrrc4c",0.154683980637264,0.000913702749371585,"LRRC4C",-1.3530826174579,0.0494834673551628,"Up","Down","Discordant"
"Mpz",0.106081113926354,0.000939607821579732,"MPZ",-0.884917878908733,1.25053568141596e-97,"Up","Down","Discordant"
"Ogn",0.167018752067155,0.000951963011947452,"OGN",-0.758361150274417,3.06053909211135e-06,"Up","Down","Discordant"
"Col1a1",0.216791564522401,0.00177003284129081,"COL1A1",-1.16644022107065,2.37264383302555e-67,"Up","Down","Discordant"
"Ctsd",0.159699569178532,0.00261574712993168,"CTSD",-0.297417002155947,1.27859126637274e-06,"Up","Down","Discordant"
"Rapgef3",-0.331398531142357,0.00286811026864625,"RAPGEF3",1.51936733282159,0.00380906192252475,"Down","Up","Discordant"
"Ypel3",-0.250157194537356,0.00348823723129139,"YPEL3",0.497815193684221,0.0430429771862028,"Down","Up","Discordant"
"Gldn",0.0912483736899072,0.00585424634592077,"GLDN",-0.718047708873683,7.53175031938415e-05,"Up","Down","Discordant"
"Wars",0.0612187977256593,0.00827523322492256,"WARS",-0.498461320591699,0.00582096723240721,"Up","Down","Discordant"
