"Mouse_Symbol","Mouse_log2FC","Mouse_pval","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Mal",0.255120026440754,1.63222234494867e-06,"MAL",-0.639335732859642,1.5640247384449e-20,"Up","Down","Discordant"
"Pmp22",0.155373028188448,3.26767736727724e-06,"PMP22",-0.579019896005548,2.70875008517136e-63,"Up","Down","Discordant"
"Sox10",-0.228084754955686,7.16526424080229e-05,"SOX10",-0.384723674310423,4.37966255037907e-10,"Down","Down","Concordant"
"Nfasc",-0.290038986761656,0.000105583313275405,"NFASC",-1.01362960847548,0.00271788506408365,"Down","Down","Concordant"
"Sema7a",0.325070071136153,0.000233783097497526,"SEMA7A",-1.10889909263537,1.90014087016291e-13,"Up","Down","Discordant"
"Ugt8a",0.165576553857245,0.000374283783439453,"UGT8",-0.972602340215425,0.000840970671925923,"Up","Down","Discordant"
"Secisbp2l",0.118615190562015,0.000728464970532264,"SECISBP2L",-0.503826827400115,0.000117371294303311,"Up","Down","Discordant"
"Lrrc4c",0.154683980637264,0.000913702749371585,"LRRC4C",-1.3530826174579,0.0494834673551628,"Up","Down","Discordant"
"Mpz",0.106081113926354,0.000939607821579732,"MPZ",-0.884917878908733,1.25053568141596e-97,"Up","Down","Discordant"
"Ogn",0.167018752067155,0.000951963011947452,"OGN",-0.758361150274417,3.06053909211135e-06,"Up","Down","Discordant"
"Tsc22d3",0.252424846041109,0.0017163612811744,"TSC22D3",0.879953045600486,1.39651604335522e-10,"Up","Up","Concordant"
"Col1a1",0.216791564522401,0.00177003284129081,"COL1A1",-1.16644022107065,2.37264383302555e-67,"Up","Down","Discordant"
"Flnb",0.205148323797144,0.0019583615106825,"FLNB",0.5892527787854,2.45984283958365e-05,"Up","Up","Concordant"
"Mfap5",0.187567668043517,0.00216499526311124,"MFAP5",1.81098965773897,3.53330478985158e-59,"Up","Up","Concordant"
"Ctsd",0.159699569178532,0.00261574712993168,"CTSD",-0.297417002155947,1.27859126637274e-06,"Up","Down","Discordant"
"Rapgef3",-0.331398531142357,0.00286811026864625,"RAPGEF3",1.51936733282159,0.00380906192252475,"Down","Up","Discordant"
"S100a4",0.253901304223573,0.00316338278684527,"S100A4",0.516993394015899,4.10084734203777e-06,"Up","Up","Concordant"
"Ypel3",-0.250157194537356,0.00348823723129139,"YPEL3",0.497815193684221,0.0430429771862028,"Down","Up","Discordant"
"Gldn",0.0912483736899072,0.00585424634592077,"GLDN",-0.718047708873683,7.53175031938415e-05,"Up","Down","Discordant"
"B2m",-0.157115176367938,0.0071837429938581,"B2M",-0.324874710627948,7.63745488596434e-34,"Down","Down","Concordant"
"Rtkn",-0.164518736354826,0.00747928150512902,"RTKN",-0.759074977133738,0.000333166358698641,"Down","Down","Concordant"
"Wars",0.0612187977256593,0.00827523322492256,"WARS",-0.498461320591699,0.00582096723240721,"Up","Down","Discordant"
"Plekha4",-0.19006139274809,0.0085031570743162,"PLEKHA4",-0.709758439471158,7.88266152741976e-17,"Down","Down","Concordant"
"Qk",-0.128247691577857,0.00929003958463545,"QKI",-0.324267583096405,0.000306334977383979,"Down","Down","Concordant"
"Frzb",0.134318049587565,0.00936822322953261,"FRZB",1.63027259954587,8.80147207544474e-13,"Up","Up","Concordant"
