"Mouse_Symbol","Mouse_log2FC","Mouse_pval","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Ogn",0.411924281319623,2.33740891602792e-27,"OGN",-0.758361150274417,3.06053909211135e-06,"Up","Down","Discordant"
"Vwa1",0.280671578136841,7.07738710767227e-21,"VWA1",-0.428903634526047,5.92811829244541e-14,"Up","Down","Discordant"
"Sparc",0.347927996144305,1.78876116808981e-20,"SPARC",-0.74235848073811,1.37184003580368e-160,"Up","Down","Discordant"
"Mal",0.313581273009604,2.66010466490441e-19,"MAL",-0.639335732859642,1.5640247384449e-20,"Up","Down","Discordant"
"Prnp",0.368694439778589,2.18126641031399e-18,"PRNP",-0.294385360434167,0.0104156275004854,"Up","Down","Discordant"
"Tsc22d4",0.228796221896061,2.69182598687992e-16,"TSC22D4",-0.927039762834982,8.07676113809392e-26,"Up","Down","Discordant"
"Sema5a",0.251764951939548,3.04616809448981e-15,"SEMA5A",-0.657593659267854,0.00120468437514895,"Up","Down","Discordant"
"Cryab",0.295581884052774,5.81958470639967e-15,"CRYAB",-0.46740675499158,1.56353384178659e-21,"Up","Down","Discordant"
"Gldn",0.216660246275405,7.50438650924261e-15,"GLDN",-0.718047708873683,7.53175031938415e-05,"Up","Down","Discordant"
"Dag1",0.259104974665127,2.73592406580788e-14,"DAG1",-0.355510375777363,0.0143532295132145,"Up","Down","Discordant"
"Pmp22",0.372663107115888,2.74673297690489e-14,"PMP22",-0.579019896005548,2.70875008517136e-63,"Up","Down","Discordant"
"Cst3",0.359307153344486,6.82929614802117e-14,"CST3",-0.218818234737092,8.06606770719687e-09,"Up","Down","Discordant"
"Col1a2",0.262901111701855,2.11418673511779e-12,"COL1A2",-0.619075352501228,3.21595905018177e-50,"Up","Down","Discordant"
"Gpr37l1",0.252322982539377,1.62182389890112e-11,"GPR37L1",-0.659323954221469,3.87975475736906e-05,"Up","Down","Discordant"
"Tuba1a",0.216456158526197,2.69283550519596e-11,"TUBA1A",-0.401125854258027,6.23603614971874e-27,"Up","Down","Discordant"
"Sdc3",0.191361854849567,2.79113732428899e-11,"SDC3",-1.11597118728868,7.87048027946162e-23,"Up","Down","Discordant"
"Syt11",0.232875715895876,6.05522266052598e-11,"SYT11",-0.578582622205665,6.26635661478105e-06,"Up","Down","Discordant"
"Col1a1",0.191270699003445,1.04510699285744e-10,"COL1A1",-1.16644022107065,2.37264383302555e-67,"Up","Down","Discordant"
"Egr2",0.188811813134538,1.30173016687033e-10,"EGR2",-1.71791930381455,5.60790457273507e-09,"Up","Down","Discordant"
"Vim",0.249166551898242,2.07200396593138e-10,"VIM",-0.196078656164987,1.08598095396774e-19,"Up","Down","Discordant"
"Ctsd",0.149471954245984,2.66002535554501e-10,"CTSD",-0.297417002155947,1.27859126637274e-06,"Up","Down","Discordant"
"Dhrs3",0.196467455946369,2.69943584191317e-10,"DHRS3",-0.590060839925543,1.38584932643874e-12,"Up","Down","Discordant"
"Sema3b",0.177877528260163,3.72337819441976e-10,"SEMA3B",-0.561899242464846,5.82955515133992e-31,"Up","Down","Discordant"
"Bmp7",0.164890967419852,6.7625399318743e-10,"BMP7",-0.678296014551582,0.0314909920134245,"Up","Down","Discordant"
"Hspa8",0.156925614479299,1.31991390621859e-09,"HSPA8",-0.543620602493133,6.99785512556195e-11,"Up","Down","Discordant"
"Fscn1",0.191792817199546,2.69264429028672e-09,"FSCN1",-0.507846539763172,0.024799389603628,"Up","Down","Discordant"
"Sema7a",0.188650695963544,2.97108281584098e-09,"SEMA7A",-1.10889909263537,1.90014087016291e-13,"Up","Down","Discordant"
"Mag",0.109904189429943,6.58919673998478e-09,"MAG",-1.12752291704277,4.07386587248261e-05,"Up","Down","Discordant"
