"Mouse_Symbol","Mouse_log2FC","Mouse_pval","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Cntf",0.482048308745417,3.30461048549688e-21,"CNTF",2.62653624340717,0.000270677068410278,"Up","Up","Concordant"
"Dusp15",0.196681711314112,9.73835922178822e-17,"DUSP15",1.34448477075041,0.000183240813414026,"Up","Up","Concordant"
"Hmgcs1",0.431392386375849,3.18422675499862e-16,"HMGCS1",0.664451359166214,0.00619868364623705,"Up","Up","Concordant"
"Ddit4",0.483275266507852,1.44730537240563e-15,"DDIT4",0.774687726686025,0.00446078167606851,"Up","Up","Concordant"
"Arid5b",0.395919409332345,5.74639571870511e-15,"ARID5B",1.00233724445659,2.65653545696934e-09,"Up","Up","Concordant"
"Crlf3",0.283196961101017,1.81630811278411e-14,"CRLF3",0.674211248765869,0.020962088936711,"Up","Up","Concordant"
"Sptbn5",0.278348108835988,5.05069844628533e-14,"SPTBN5",2.38514777172604,1.09154521488196e-06,"Up","Up","Concordant"
"Sema5a",0.287417405575803,7.49763436786385e-12,"SEMA5A",0.822533121468287,0.00184069332767274,"Up","Up","Concordant"
"Cadm3",0.267374976513769,1.66085685063864e-11,"CADM3",1.0167187389854,0.000288870291583311,"Up","Up","Concordant"
"Tsc22d4",0.268670200376451,1.84974773781046e-11,"TSC22D4",0.890100934935264,3.43188909345328e-06,"Up","Up","Concordant"
"Tsc22d3",0.241175568137818,3.72656725554938e-11,"TSC22D3",1.28403787692541,2.60544727124652e-07,"Up","Up","Concordant"
"Evi5",0.332039479058825,1.06107555662272e-10,"EVI5",0.361864246303091,0.0140972914360904,"Up","Up","Concordant"
"Nfkbia",0.259361362183761,2.03784608857499e-10,"NFKBIA",1.98951729214316,9.71898576407927e-16,"Up","Up","Concordant"
"Slc7a5",0.361758102548007,5.03797715194754e-10,"SLC7A5",3.86379252811974,7.06852579908722e-11,"Up","Up","Concordant"
"Per1",0.144263168883984,6.20657895142724e-10,"PER1",0.614657911355589,0.030933662866666,"Up","Up","Concordant"
"Nr4a2",0.265922497395226,6.44759814364557e-10,"NR4A2",1.69132933070999,1.52758753729757e-06,"Up","Up","Concordant"
"Pmp22",0.23603352011849,7.15426267185795e-10,"PMP22",1.45929829179601,1.88551476517146e-06,"Up","Up","Concordant"
"Myo1b",0.230263235860998,7.64049678186594e-10,"MYO1B",0.489556382046038,1.32623899575974e-05,"Up","Up","Concordant"
"Fat1",0.288657964040152,8.44484795024729e-10,"FAT1",0.387098880975123,0.0372168004062437,"Up","Up","Concordant"
"Sparc",0.314814144968029,8.94942295922011e-10,"SPARC",0.59245081141209,0.00477617873902357,"Up","Up","Concordant"
"Mal",0.193949235594553,1.0439708092293e-09,"MAL",1.03220087595097,0.00607270508940302,"Up","Up","Concordant"
"Pttg1ip",0.184858239606718,2.42477620066473e-09,"PTTG1IP",0.331388807252075,0.0121856217054011,"Up","Up","Concordant"
"Insig1",0.280149090239706,4.62005798345396e-09,"INSIG1",1.78081155283182,1.48228432660999e-05,"Up","Up","Concordant"
"Mag",0.172540826725595,5.10194983411718e-09,"MAG",0.959534279618402,0.0432265341198442,"Up","Up","Concordant"
"Gldn",0.208196808421271,5.68048706468782e-09,"GLDN",2.35105038421498,2.1621471920167e-09,"Up","Up","Concordant"
"Slamf9",0.185075522466014,1.34407577993209e-08,"SLAMF9",1.12828545853318,0.0291198525707301,"Up","Up","Concordant"
"Cadm4",0.225050724831116,1.59463394901517e-08,"CADM4",1.03396526149194,0.0040831373817211,"Up","Up","Concordant"
"Bcl2l1",0.179931996493917,1.84194225590916e-08,"BCL2L1",0.43555280611491,0.00566397624664395,"Up","Up","Concordant"
"Suco",0.197410954705406,1.94494465975841e-08,"SUCO",0.276065408307574,0.0103069478589826,"Up","Up","Concordant"
