"Mouse_Symbol","Mouse_log2FC","Mouse_pval","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Qk",-0.313749088227866,2.1011651780453e-16,"QKI",0.627873801897697,0.00248291076654324,"Down","Up","Discordant"
"Sema3g",0.262898434411825,1.6064134347481e-10,"SEMA3G",-0.608545192438649,0.0381973899900013,"Up","Down","Discordant"
"Klhdc8b",0.182918026269559,3.43155039671411e-10,"KLHDC8B",-0.686808814256493,0.00445133741981406,"Up","Down","Discordant"
"Ide",0.221690505225864,1.48480331352212e-08,"IDE",-0.51913816266272,0.00350840144624801,"Up","Down","Discordant"
"Nav1",0.211628274489038,4.36259170306314e-08,"NAV1",-0.527597117377038,0.00713652459332991,"Up","Down","Discordant"
"Zfp386",0.189374158595039,9.48235667663804e-08,"ZNF519",-1.22519097226681,0.000100739496940538,"Up","Down","Discordant"
"Paqr7",0.211497522724016,3.05730741865999e-07,"PAQR7",-0.41584816805986,0.0237184135370659,"Up","Down","Discordant"
"Ucp2",0.214720349145217,3.9670136613079e-07,"UCP2",-0.707725555259273,0.00108041690961829,"Up","Down","Discordant"
"Rbm6",0.19564059567857,5.2595628619217e-07,"RBM6",-0.441189228957299,0.015412786950615,"Up","Down","Discordant"
"Slc36a2",-0.167353909382345,5.73499683186014e-07,"SLC36A2",1.78687611036061,0.00150013874473236,"Down","Up","Discordant"
"Col1a1",0.148148499027239,6.42598380551846e-07,"COL1A1",-2.33093047101344,4.86690219674216e-12,"Up","Down","Discordant"
"Hoxc6",0.23176526464438,9.12915128627856e-07,"HOXC6",-1.59721675973031,5.39075544364532e-05,"Up","Down","Discordant"
"D11Wsu47e",0.201970715516621,1.17950720578861e-06,"C17orf80",-0.327809640465848,0.0147940339466146,"Up","Down","Discordant"
"Zscan26",0.118928242048759,3.12829863589381e-06,"ZSCAN26",-0.820402033142347,0.000281584241419561,"Up","Down","Discordant"
"Slc9a9",0.199334197869751,6.90778486455084e-06,"SLC9A9",-1.26085104283364,3.7160431001603e-05,"Up","Down","Discordant"
"Rpusd3",0.141501580934285,1.10034575424055e-05,"RPUSD3",-0.524272863919062,0.00126202858625372,"Up","Down","Discordant"
"Ercc6",0.1136486248991,1.109105667984e-05,"ERCC6",-0.422350654803781,0.00536745940018289,"Up","Down","Discordant"
"Acss2",0.156551325530179,1.20649076619101e-05,"ACSS2",-0.370773093124668,0.0182069412282436,"Up","Down","Discordant"
"Stard5",0.174841316820483,1.60274602985459e-05,"STARD5",-0.687231833356873,0.000516018668580257,"Up","Down","Discordant"
"Zfhx4",0.169052388755774,1.61131130646003e-05,"ZFHX4",-1.18746285497491,0.000435080277839125,"Up","Down","Discordant"
"Sap130",0.140871548870224,1.88250773583515e-05,"SAP130",-0.322468342976729,0.0312200013057352,"Up","Down","Discordant"
"Mapre3",0.112187957314983,1.88761404495963e-05,"MAPRE3",-0.388861509907204,0.0462384440524781,"Up","Down","Discordant"
"Pdgfrb",0.153813369769682,2.35906854681691e-05,"PDGFRB",-0.8407625573912,0.000149768179003722,"Up","Down","Discordant"
"Arhgef17",0.100069642734491,2.69798557653294e-05,"ARHGEF17",-0.633317308573752,0.0300738495147949,"Up","Down","Discordant"
"Slc25a45",0.13468715192838,2.77164775701399e-05,"SLC25A45",-0.540264285905806,0.0149516919710044,"Up","Down","Discordant"
"Dbp",0.153689869556403,2.85580654409313e-05,"DBP",-1.24920220507366,0.000906717305914943,"Up","Down","Discordant"
"Gabbr1",0.0811862908647338,2.86127938029797e-05,"GABBR1",-0.896625062894982,0.0078160561953119,"Up","Down","Discordant"
"Yeats2",0.166807996873143,3.01952108323638e-05,"YEATS2",-0.348350842604846,0.0355692649369409,"Up","Down","Discordant"
"Gprasp1",0.190125822703442,3.55615342695299e-05,"GPRASP1",-0.654936770892581,0.0162220715678114,"Up","Down","Discordant"
"Rnf213",0.12869248494338,3.56700923502697e-05,"RNF213",-0.445139070205235,0.018330975477956,"Up","Down","Discordant"
"Lss",0.158860368415107,3.74987420798911e-05,"LSS",-0.525128671831499,0.0125524156902243,"Up","Down","Discordant"
"Scfd1",0.104757204605883,4.89606487407166e-05,"SCFD1",-0.151888121714288,0.026606333556603,"Up","Down","Discordant"
"Cldnd2",0.19911394355312,4.95723326625966e-05,"CLDND2",-1.0148750832765,0.0012743818214391,"Up","Down","Discordant"
"Hjurp",0.124738463599775,5.2096210626642e-05,"HJURP",-1.31698323057106,0.00307193999547672,"Up","Down","Discordant"
"Bphl",0.149669321755431,5.40478342761913e-05,"BPHL",-0.616368581799695,0.0147829292937183,"Up","Down","Discordant"
"Plbd2",0.16419075702459,5.61518027764341e-05,"PLBD2",-0.510359164564518,0.00441739633441491,"Up","Down","Discordant"
"Col5a1",0.0948731109790484,5.9715364087782e-05,"COL5A1",-0.774615284651586,8.09823681473354e-06,"Up","Down","Discordant"
"Chd9",0.104833023364886,6.42064529312357e-05,"CHD9",-0.303511873218779,0.00655165176317191,"Up","Down","Discordant"
"Zfp280d",0.0960721960243256,6.7377389508255e-05,"ZNF280D",-0.909528359141928,0.000453235809420025,"Up","Down","Discordant"
"Prkcq",0.125621456103691,6.96830647810521e-05,"PRKCQ",-1.35674592593959,0.000144965631019947,"Up","Down","Discordant"
"Slc25a36",0.168065994670388,7.13674730384656e-05,"SLC25A36",-0.383963062433775,0.0335977550000253,"Up","Down","Discordant"
"Zadh2",0.107947232202227,8.61352165352068e-05,"ZADH2",-0.53426119531307,0.000630761716143259,"Up","Down","Discordant"
"Lpp",0.0934451898309651,0.000105664026642653,"LPP",-0.424185969481848,0.0164865792526494,"Up","Down","Discordant"
"Tial1",0.050858427315746,0.000108384813832098,"TIAL1",-0.333258627783884,0.000219472807980653,"Up","Down","Discordant"
"Col1a2",0.125438277579668,0.000111346983974516,"COL1A2",-0.884662679434246,0.000673077956595261,"Up","Down","Discordant"
"Rbm12b2",0.217005953732634,0.000114693810526031,"RBM12B",-0.617579125104313,3.28598686257231e-06,"Up","Down","Discordant"
"Dmtf1",0.0892048790716713,0.000125669892024776,"DMTF1",-0.585644700705287,0.0018610263538769,"Up","Down","Discordant"
"Rai1",0.120557567215427,0.000147187261942351,"RAI1",-0.899545544077361,0.00010160042642719,"Up","Down","Discordant"
"Trmt1l",0.179231448040002,0.000148070293510694,"TRMT1L",-0.393106816463735,0.000560053821979513,"Up","Down","Discordant"
"Olfml2b",0.156746916625385,0.000150196979305622,"OLFML2B",-0.716856696811729,0.016427752658716,"Up","Down","Discordant"
"Arhgap17",0.0586013207192326,0.000152609979550645,"ARHGAP17",-0.457156325111791,0.0492520572711393,"Up","Down","Discordant"
"Trim68",0.107233029986471,0.000155396508747974,"TRIM68",-0.608600918448923,0.000594102519568247,"Up","Down","Discordant"
