"Mouse_Symbol","Mouse_log2FC","Mouse_pval","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Aatk",0.0817840024421379,0.00233199426883185,"AATK",0.637143164705357,0.0306940867255873,"Up","Up","Concordant"
"Abca8b",-0.278793842384175,0.00234183845525312,"ABCA8",-0.470479392328077,0.0157219218813005,"Down","Down","Concordant"
"Acadl",-0.128495077118852,0.00241972319374954,"ACADL",-0.79580504795139,0.00935787662784782,"Down","Down","Concordant"
"Acp6",-0.191584645400844,0.00087462170984482,"ACP6",-0.657783721222797,0.0035688555970564,"Down","Down","Concordant"
"Adck1",-0.200834323487876,0.00102522957546287,"ADCK1",-1.1860602607121,3.51742072921476e-07,"Down","Down","Concordant"
"Adipor1",0.28753232959022,0.00710101534777493,"ADIPOR1",1.01296851195654,0.000247113914416857,"Up","Up","Concordant"
"Aldh1l1",-0.135886535221307,0.00263194262445347,"ALDH1L1",-1.0260961034199,0.00688483471175262,"Down","Down","Concordant"
"Ankhd1",-0.191080462794974,0.00246813496366388,"ANKHD1-EIF4EBP3",-0.491174613528413,0.0448048028300755,"Down","Down","Concordant"
"Ankrd17",0.243219717485545,0.00760500876795437,"ANKRD17",0.316447458481444,0.0269277461357285,"Up","Up","Concordant"
"Ankrd52",-0.183921375242964,0.00104344205100923,"ANKRD52",-0.706076673039528,0.000980250849386804,"Down","Down","Concordant"
"Ano8",-0.227385393524164,0.000238219168256838,"ANO8",-0.916711369533598,0.000464531020621163,"Down","Down","Concordant"
"Anxa2",0.224067845591119,0.00567011060972065,"ANXA2",0.706843322468273,0.000609765555954405,"Up","Up","Concordant"
"Arid1b",-0.100195452549324,0.00917195891413025,"ARID1B",-0.581925269106835,0.000681316693899731,"Down","Down","Concordant"
"Arpc1b",0.242978706375186,0.00153225102497238,"ARPC1B",0.486932071044364,0.0267725409893221,"Up","Up","Concordant"
"Arrb1",-0.0510793711688324,0.00522495346559015,"ARRB1",-0.706679972958896,0.00255345760155675,"Down","Down","Concordant"
"Art3",0.333619866279077,1.65215772082662e-07,"ART3",0.855985414490905,0.0339782259659872,"Up","Up","Concordant"
"Atf3",0.47393829982607,0.00120592213554228,"ATF3",2.32155207388366,4.66204194068405e-06,"Up","Up","Concordant"
"Atp13a3",0.34178818898724,0.00014973632277585,"ATP13A3",1.38087364561604,8.11526669576253e-05,"Up","Up","Concordant"
"Atrnl1",0.202921862303513,0.00703083998523288,"ATRNL1",1.52941780623292,2.97752640206857e-05,"Up","Up","Concordant"
"B2m",0.231314176161486,0.00112574817946322,"B2M",0.568351823064419,0.02123065227494,"Up","Up","Concordant"
"Cacna2d1",-0.14034363205761,0.0020699033495602,"CACNA2D1",-0.444096526897527,0.00793706139964427,"Down","Down","Concordant"
"Capn7",-0.177739465723954,0.000115556641241617,"CAPN7",-0.346472901793291,0.0087885963605038,"Down","Down","Concordant"
"Cc2d1a",-0.297645458100199,2.35909991853967e-06,"CC2D1A",-0.562858574324288,0.0353410107161407,"Down","Down","Concordant"
"Ccnl1",0.154719557862097,0.00535685842085834,"CCNL1",1.79798614282593,8.62481445186436e-13,"Up","Up","Concordant"
"Cd200",0.253441791314576,0.000315508155892481,"CD200",0.595606040099975,0.0230488186831193,"Up","Up","Concordant"
"Cdc42ep1",0.366904309112781,9.70023100693938e-05,"CDC42EP1",0.376370144732719,0.0229877794683078,"Up","Up","Concordant"
"Cdc42se1",0.19669108046189,0.0092535153538013,"CDC42SE1",1.73398384481073,1.22045303504878e-08,"Up","Up","Concordant"
"Cdk16",0.168028774608239,0.0060448252968633,"CDK16",0.554504205460204,0.00735914658193213,"Up","Up","Concordant"
"Cep164",-0.237068236344223,0.000158561848313206,"CEP164",-0.513415740297999,0.0347619033068959,"Down","Down","Concordant"
"Chp2",0.215831391738401,0.0032503419220732,"CHP2",1.35562092815731,0.0173435712693783,"Up","Up","Concordant"
"Ciz1",-0.070331944080398,0.00172179718795073,"CIZ1",-0.3168710599964,0.0147351947527,"Down","Down","Concordant"
"Clic4",0.186406880793217,0.00630840418434219,"CLIC4",0.732289462195245,0.00150457165929963,"Up","Up","Concordant"
"Cluap1",-0.209112508287982,0.000213480377147716,"CLUAP1",-0.459508016972699,0.00141204980899737,"Down","Down","Concordant"
"Col1a1",-0.287600888575071,5.78411276149161e-07,"COL1A1",-2.33093047101344,4.86690219674216e-12,"Down","Down","Concordant"
"Col1a2",-0.290134078687153,6.12497634654489e-10,"COL1A2",-0.884662679434246,0.000673077956595261,"Down","Down","Concordant"
"Col24a1",-0.262640400454743,7.52513032975659e-06,"COL24A1",-0.706756334151809,0.0231127885684988,"Down","Down","Concordant"
"Col5a1",-0.204823853863102,5.59864946482387e-06,"COL5A1",-0.774615284651586,8.09823681473354e-06,"Down","Down","Concordant"
"Col7a1",-0.294276468691655,2.15752592072002e-08,"COL7A1",-0.945852492615949,0.00801839968089527,"Down","Down","Concordant"
"Cops7b",-0.0738563415983235,0.00496181924843422,"COPS7B",-0.701061513544058,0.00032568132454873,"Down","Down","Concordant"
"Cpt1c",-0.172908148264406,6.71704732933106e-05,"CPT1C",-1.01438610402418,0.00373420489973205,"Down","Down","Concordant"
"Crlf3",0.183751402560852,0.00672553336464631,"CRLF3",0.674211248765869,0.020962088936711,"Up","Up","Concordant"
"Crtc1",-0.136322167382354,0.00215432562205824,"CRTC1",-0.834639593139439,0.00144269659333053,"Down","Down","Concordant"
"Cyld",0.24600003106101,0.00439047246316712,"CYLD",0.394198863752814,0.0235273695251941,"Up","Up","Concordant"
"Ddx5",0.339021942060119,0.00349849966604467,"DDX5",0.793816015429833,2.16237727586592e-06,"Up","Up","Concordant"
"Dtymk",-0.178802616969991,0.00190253919372707,"DTYMK",-0.452840471120764,0.00343036048735035,"Down","Down","Concordant"
"Eml2",-0.0800823107905937,0.000988250403541063,"EML2",-0.553022997050095,0.00184817811822119,"Down","Down","Concordant"
"Emp1",0.247999228354401,0.00673197716701016,"EMP1",1.97830302926921,5.3396499147672e-10,"Up","Up","Concordant"
"Erf",0.419879285366621,0.00394714823230349,"ERF",0.978029724670068,1.11626728087188e-10,"Up","Up","Concordant"
"Etfb",-0.113439747047018,0.00936705727749726,"ETFB",-0.319420501815189,0.0429257440677649,"Down","Down","Concordant"
"Fbxl19",-0.158180492728587,0.00615563996960899,"FBXL19",-0.637260274414448,0.00937466086541784,"Down","Down","Concordant"
"Flywch1",-0.146817839122117,0.00688491485200446,"FLYWCH1",-0.641475182131257,0.015219248655019,"Down","Down","Concordant"
"Fnip2",0.168048470318158,0.00140153017665721,"FNIP2",1.24903235411314,8.42802859858323e-08,"Up","Up","Concordant"
"Foxred1",-0.230169854022822,0.00449951752745318,"FOXRED1",-0.525331314964887,0.00472058084658939,"Down","Down","Concordant"
"Gdpd3",-0.138480768459866,0.00875309055251053,"GDPD3",-1.01969940902804,0.00600793696096773,"Down","Down","Concordant"
"Gjc3",0.419362537853773,0.000212710457791423,"GJC3",1.77220224797196,0.000641135206273757,"Up","Up","Concordant"
"Gpr37l1",0.230851756010309,0.00303875122847005,"GPR37L1",1.34688202118724,0.0057794070837936,"Up","Up","Concordant"
"Gpt",-0.207296364390701,8.65004649214198e-06,"GPT",-0.579950182253614,0.041086144094004,"Down","Down","Concordant"
"Gtf3c1",-0.084616448288781,0.00146534303089148,"GTF3C1",-0.289362954554293,0.0174581136086183,"Down","Down","Concordant"
"Heatr5b",-0.132249008173843,0.00954447880563073,"HEATR5B",-0.439936959278494,0.00577330188117157,"Down","Down","Concordant"
