"Mouse_Symbol","Mouse_log2FC","Mouse_pval","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Nfasc",0.357517450537391,1.67082743381565e-19,"NFASC",-1.01362960847548,0.00271788506408365,"Up","Down","Discordant"
"Drp2",0.302304248004151,1.30534349987838e-13,"DRP2",-0.85712512279549,3.21368352371589e-10,"Up","Down","Discordant"
"Mbp",0.344992376536913,1.8325857826698e-13,"MBP",-1.30208801771583,1.42010607307706e-214,"Up","Down","Discordant"
"Cdh19",-0.397094575199245,2.50765680721216e-12,"CDH19",0.574278258759879,7.51109389584067e-08,"Down","Up","Discordant"
"Txnip",-0.533447212482693,6.59538690421399e-09,"TXNIP",1.06445803228047,6.78608611883923e-68,"Down","Up","Discordant"
"Aatk",0.138752179584064,7.52842060251518e-09,"AATK",-0.512476951408044,2.42987514165809e-10,"Up","Down","Discordant"
"Cldn19",0.216319541912164,9.09908880947492e-09,"CLDN19",-1.05113574276211,1.40518979547685e-06,"Up","Down","Discordant"
"Prx",0.183594091617839,1.66903785913443e-08,"PRX",-0.731594240711631,5.22310979613096e-32,"Up","Down","Discordant"
"Bcas1",0.348312389089689,6.33078006464447e-08,"BCAS1",-0.700897443488715,2.43322279385279e-09,"Up","Down","Discordant"
"Vcl",-0.248931863365841,5.01842931507138e-07,"VCL",0.606909410377914,0.0209767908921726,"Down","Up","Discordant"
"Hspa12a",0.18687307928743,1.49463981537713e-06,"HSPA12A",-0.489393338295002,1.78811524704095e-05,"Up","Down","Discordant"
"Art3",0.237292137963193,3.76961967463912e-06,"ART3",-0.927736762890254,0.00845234952386587,"Up","Down","Discordant"
"Arhgap19",0.220300420397189,3.9896256075655e-06,"ARHGAP19",-0.657937198986322,0.026041076501425,"Up","Down","Discordant"
"Plekha4",0.153770344849288,5.03457377554805e-06,"PLEKHA4",-0.709758439471158,7.88266152741976e-17,"Up","Down","Discordant"
"Col4a2",-0.195507000476564,1.47831975351121e-05,"COL4A2",0.452422443784434,2.7226774723748e-05,"Down","Up","Discordant"
"Ahnak",-0.15350487005028,4.00735058074688e-05,"AHNAK",0.316936649951971,3.09743540277711e-06,"Down","Up","Discordant"
"Ugt8a",0.180175880863784,4.07722460294493e-05,"UGT8",-0.972602340215425,0.000840970671925923,"Up","Down","Discordant"
"Fmn2",0.22151943498028,5.03150439265194e-05,"FMN2",-1.59141658266337,0.0303865818092828,"Up","Down","Discordant"
"Gsn",-0.172479900210447,5.60260906997051e-05,"GSN",0.79472909308265,7.93104283439763e-96,"Down","Up","Discordant"
"Ivns1abp",0.180664217824329,0.000289379770317623,"IVNS1ABP",-0.917460786022965,3.06072709146791e-05,"Up","Down","Discordant"
"Nr2f2",-0.263770844969398,0.00102058863480566,"NR2F2",0.474470010720817,9.08034830984715e-06,"Down","Up","Discordant"
"Klf2",-0.221180991290741,0.00184208593534138,"KLF2",0.620465825516886,0.0351484482735246,"Down","Up","Discordant"
"Plp1",0.214230753574745,0.00344389291746298,"PLP1",-0.866277857956655,3.2703979431827e-99,"Up","Down","Discordant"
"Map4",0.403934666578135,0.00399587393964191,"MAP4",-0.654819778311623,5.16897027158038e-26,"Up","Down","Discordant"
"Cpe",-0.129588677473693,0.00464978354402652,"CPE",1.19611689848149,3.23111956070507e-13,"Down","Up","Discordant"
"Qk",0.125699062116823,0.0061810629535575,"QKI",-0.324267583096405,0.000306334977383979,"Up","Down","Discordant"
"Chp2",0.206905064097062,0.00655560766956516,"CHP2",-4.31655674143279,5.94272212423349e-05,"Up","Down","Discordant"
"Dclk3",0.25057598251946,0.00671944342487076,"DCLK3",-1.0270501242378,0.000857749072421235,"Up","Down","Discordant"
"B2m",0.0850515169538271,0.00834192825275754,"B2M",-0.324874710627948,7.63745488596434e-34,"Up","Down","Discordant"
"Fth1",0.201137684280313,0.00910301794969643,"FTH1",-0.204137331296331,1.45717632953994e-11,"Up","Down","Discordant"
"Dhh",0.146398929452104,0.00968163014634092,"DHH",-0.790288234970654,2.1814342012238e-09,"Up","Down","Discordant"
