"Mouse_Symbol","Mouse_log2FC","Mouse_pval","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Ppp1r9a",0.511061171361813,1.51058437294162e-14,"PPP1R9A",0.55219355792307,0.0450407265217124,"Up","Up","Concordant"
"Abca8b",-0.691448650548725,2.59317349881902e-14,"ABCA8",-0.470479392328077,0.0157219218813005,"Down","Down","Concordant"
"Slc36a2",0.299096831601511,4.09317464641371e-14,"SLC36A2",1.78687611036061,0.00150013874473236,"Up","Up","Concordant"
"Drp2",0.302304248004151,1.30534349987838e-13,"DRP2",1.8364887437442,0.0049134881586191,"Up","Up","Concordant"
"Mbp",0.344992376536913,1.8325857826698e-13,"MBP",1.69699863632153,0.000267523191204788,"Up","Up","Concordant"
"Cdh19",-0.397094575199245,2.50765680721216e-12,"CDH19",0.557185739341524,0.0166725875656682,"Down","Up","Discordant"
"Slc7a2",0.468376195922386,7.57496233888107e-12,"SLC7A2",0.636756340479958,0.000138984593446649,"Up","Up","Concordant"
"Scn7a",-0.371430592670153,1.91320416588557e-10,"SCN7A",0.64136071489124,0.0249419428936365,"Down","Up","Discordant"
"Spata13",-0.400859129164308,5.26877777379924e-09,"SPATA13",0.857539301921407,0.0108557340938279,"Down","Up","Discordant"
"Ptpdc1",0.274618040700286,5.7134313856599e-09,"PTPDC1",1.21155157857136,3.23911096567395e-07,"Up","Up","Concordant"
"Aatk",0.138752179584064,7.52842060251518e-09,"AATK",0.637143164705357,0.0306940867255873,"Up","Up","Concordant"
"Col1a2",-0.239375125714964,8.46377104527036e-09,"COL1A2",-0.884662679434246,0.000673077956595261,"Down","Down","Concordant"
"Cldn19",0.216319541912164,9.09908880947492e-09,"CLDN19",1.49997021198936,0.0097889318302183,"Up","Up","Concordant"
"Col16a1",-0.449182942253287,1.01050640500486e-08,"COL16A1",-0.842077691334163,0.000498053385258261,"Down","Down","Concordant"
"Prx",0.183594091617839,1.66903785913443e-08,"PRX",2.22445309625055,0.00036502813705074,"Up","Up","Concordant"
"Kcna1",-0.225847956599264,3.54555828988516e-08,"KCNA1",1.77994603376021,0.000672740015383392,"Down","Up","Discordant"
"Bcas1",0.348312389089689,6.33078006464447e-08,"BCAS1",2.2966238713816,6.79706432728351e-06,"Up","Up","Concordant"
"Shc4",0.249598567132318,6.60680856710014e-08,"SHC4",1.18120934238254,0.000359398115672547,"Up","Up","Concordant"
"Gas7",-0.413819000497238,7.19498755017497e-08,"GAS7",0.629237529310327,0.015081055785862,"Down","Up","Discordant"
"Il16",0.290730252970012,7.96482644731528e-08,"IL16",0.518587189775368,0.0325974735510893,"Up","Up","Concordant"
"Dusp15",0.166612260502759,8.36721003033401e-08,"DUSP15",1.34448477075041,0.000183240813414026,"Up","Up","Concordant"
"Ctnna3",0.248219482753837,1.81576717703581e-07,"CTNNA3",1.36821595159634,0.000127927004382951,"Up","Up","Concordant"
"Rprd1a",-0.326418646177212,2.81765671601773e-07,"RPRD1A",0.313165585104712,0.0116136964617583,"Down","Up","Discordant"
"Otud7b",0.258914595533059,2.94258758312929e-07,"OTUD7B",1.43033784367623,9.5988887341034e-07,"Up","Up","Concordant"
"Gjc3",0.335291396464552,3.11988312165606e-07,"GJC3",1.77220224797196,0.000641135206273757,"Up","Up","Concordant"
"Arhgef25",-0.380085273528399,3.5040651105009e-07,"ARHGEF25",-0.594285685263396,0.0286084065467229,"Down","Down","Concordant"
"Dusp6",-0.559870827738954,1.28746574356224e-06,"DUSP6",0.838839297126798,0.00102203797236345,"Down","Up","Discordant"
"Hspa12a",0.18687307928743,1.49463981537713e-06,"HSPA12A",0.55661718798468,0.0146561493350691,"Up","Up","Concordant"
"Cebpd",-0.445670580385299,2.90010183788762e-06,"CEBPD",2.43747922486518,7.48639334185688e-25,"Down","Up","Discordant"
"Art3",0.237292137963193,3.76961967463912e-06,"ART3",0.855985414490905,0.0339782259659872,"Up","Up","Concordant"
"Arhgap19",0.220300420397189,3.9896256075655e-06,"ARHGAP19",1.59655973733989,1.38495968546119e-05,"Up","Up","Concordant"
"Piezo2",-0.276560219106027,4.12302349871839e-06,"PIEZO2",0.870385555278926,0.0167410752524638,"Down","Up","Discordant"
"Gsap",-0.322399188177466,4.27652087393246e-06,"GSAP",-0.386097712381576,0.0106578981292332,"Down","Down","Concordant"
"S1pr3",-0.402778599099363,4.44489956521423e-06,"S1PR3",1.5743470510278,4.1179508262811e-06,"Down","Up","Discordant"
"Angptl4",-0.304946623541795,4.79922600890645e-06,"ANGPTL4",1.99585032894177,0.00245200074807554,"Down","Up","Discordant"
"Plekha4",0.153770344849288,5.03457377554805e-06,"PLEKHA4",0.978397890357331,1.5524597159828e-05,"Up","Up","Concordant"
"Rbm39",-0.156008816638763,9.65985407201348e-06,"RBM39",0.439680700377448,0.0153038282216801,"Down","Up","Discordant"
"Kcna6",-0.298167269719363,1.07234343494814e-05,"KCNA6",-0.774134687007223,0.000724571061723966,"Down","Down","Concordant"
"Col1a1",-0.201719348680885,1.24772857307714e-05,"COL1A1",-2.33093047101344,4.86690219674216e-12,"Down","Down","Concordant"
"Ddx5",0.271543528108029,1.29298612330139e-05,"DDX5",0.793816015429833,2.16237727586592e-06,"Up","Up","Concordant"
"Sfpq",0.252621110636458,1.3741690738823e-05,"SFPQ",0.615547768668322,0.000417455264524902,"Up","Up","Concordant"
"Cadm4",-0.199192346812465,1.68736822629416e-05,"CADM4",1.03396526149194,0.0040831373817211,"Down","Up","Discordant"
"Nid2",-0.330329209863135,1.78981389708686e-05,"NID2",-0.685613333969948,0.00497559536775079,"Down","Down","Concordant"
"Kat6a",0.247810054351343,2.21878992208239e-05,"KAT6A",0.621229688259741,0.00812987274218283,"Up","Up","Concordant"
"Pdlim4",-0.315312212916569,2.29234302973738e-05,"PDLIM4",0.867884228911114,0.00335549290568449,"Down","Up","Discordant"
"Tle3",-0.371371393124223,2.59099439889173e-05,"TLE3",1.2812407142481,0.000765166811093739,"Down","Up","Discordant"
"Sema4c",0.149450797805595,2.89529015482182e-05,"SEMA4C",0.685790922649442,0.00996465263294062,"Up","Up","Concordant"
"Rnd3",-0.423874105267517,3.45682743335406e-05,"RND3",2.39541557059132,1.05963649204466e-13,"Down","Up","Discordant"
"Ugt8a",0.180175880863784,4.07722460294493e-05,"UGT8",1.06259825126872,0.0103103403397405,"Up","Up","Concordant"
"Nek6",-0.310625828098256,4.11478049748061e-05,"NEK6",-0.272266027761106,0.0123497025209113,"Down","Down","Concordant"
"Kcnh2",-0.335572488308524,4.42249134462289e-05,"KCNH2",0.927601228621619,0.00812230977493147,"Down","Up","Discordant"
"Col3a1",-0.481931960445532,4.55095537275391e-05,"COL3A1",-1.56872256994742,1.52124046393718e-05,"Down","Down","Concordant"
"Irs2",0.290554902265045,4.5931429571801e-05,"IRS2",1.84328236426477,8.04996877350922e-07,"Up","Up","Concordant"
"Npdc1",-0.256351424326341,5.27348107992984e-05,"NPDC1",-0.741997165988816,0.00822130534716432,"Down","Down","Concordant"
"Rasal2",0.304382044700652,5.3294462772415e-05,"RASAL2",0.503969031010408,0.0302095596797724,"Up","Up","Concordant"
"Vstm4",-0.173163682804979,5.42351963684461e-05,"VSTM4",-0.786205197234893,0.00256629411903055,"Down","Down","Concordant"
"Peli2",0.24352926242423,7.27677314847234e-05,"PELI2",0.991850697574849,5.98053988224674e-10,"Up","Up","Concordant"
"Plcb1",0.248143773522643,7.43050585858899e-05,"PLCB1",0.448066060309293,0.0361881187201315,"Up","Up","Concordant"
"Slc43a3",-0.445670275786249,7.81395940541693e-05,"SLC43A3",0.478130378807159,0.0439211558198067,"Down","Up","Discordant"
"Sec14l5",0.140981649384411,8.6783476333718e-05,"SEC14L5",1.58327555886197,0.00068014537123565,"Up","Up","Concordant"
"Lama4",-0.22085788788577,9.46594355495877e-05,"LAMA4",-0.349055416605825,0.0325936831578423,"Down","Down","Concordant"
"Trip10",-0.176450159058029,0.000110964142814009,"TRIP10",0.535099099821451,0.0439078723288474,"Down","Up","Discordant"
"Dysf",0.300649351797369,0.000121665340655106,"DYSF",2.33374552677859,3.15199913608098e-06,"Up","Up","Concordant"
"Per1",-0.108778679657879,0.000159391604654657,"PER1",0.614657911355589,0.030933662866666,"Down","Up","Discordant"
"Ide",-0.163762400808657,0.000164770581713022,"IDE",-0.51913816266272,0.00350840144624801,"Down","Down","Concordant"
"Atp1b2",-0.33450655292425,0.000165491629736946,"ATP1B2",-0.954079705986757,0.00230352644128668,"Down","Down","Concordant"
