"gene","STRING_id"
"AW549877","10090.ENSMUSP00000038476"
"Aacs","10090.ENSMUSP00000031445"
"Abhd14b","10090.ENSMUSP00000038755"
"Abhd8","10090.ENSMUSP00000008094"
"Abr","10090.ENSMUSP00000091551"
"Abtb2","10090.ENSMUSP00000075566"
"Acaca","10090.ENSMUSP00000099490"
"Acads","10090.ENSMUSP00000031524"
"Acly","10090.ENSMUSP00000103012"
"Acsl3","10090.ENSMUSP00000045291"
"Acyp2","10090.ENSMUSP00000074195"
"Adam23","10090.ENSMUSP00000084633"
"Adam9","10090.ENSMUSP00000146545"
"Adamts20","10090.ENSMUSP00000036330"
"Adamtsl1","10090.ENSMUSP00000102796"
"Adcy1","10090.ENSMUSP00000020706"
"Adipor2","10090.ENSMUSP00000032272"
"Afap1","10090.ENSMUSP00000067779"
"Afap1l2","10090.ENSMUSP00000107210"
"Agtpbp1","10090.ENSMUSP00000022040"
"Akap8l","10090.ENSMUSP00000051389"
"Aldh2","10090.ENSMUSP00000031411"
"Alg14","10090.ENSMUSP00000038387"
"Alkbh1","10090.ENSMUSP00000124565"
"Alkbh5","10090.ENSMUSP00000049116"
"Als2","10090.ENSMUSP00000027178"
"Anapc1","10090.ENSMUSP00000014499"
"Anapc13","10090.ENSMUSP00000140325"
"Anapc2","10090.ENSMUSP00000028341"
"Angptl4","10090.ENSMUSP00000002360"
"Ankhd1","10090.ENSMUSP00000123270"
"Ankrd13b","10090.ENSMUSP00000090568"
"Ano8","10090.ENSMUSP00000091157"
"Anp32e","10090.ENSMUSP00000128483"
"Anxa3","10090.ENSMUSP00000031447"
"Anxa7","10090.ENSMUSP00000066035"
"Ap1m1","10090.ENSMUSP00000003117"
"Apod","10090.ENSMUSP00000119827"
"Apopt1","10090.ENSMUSP00000131169"
"Appbp2","10090.ENSMUSP00000018625"
"Arfgef1","10090.ENSMUSP00000085986"
"Arglu1","10090.ENSMUSP00000039493"
"Arhgap17","10090.ENSMUSP00000102050"
"Arhgap24","10090.ENSMUSP00000092138"
"Arhgef12","10090.ENSMUSP00000126598"
"Arhgef17","10090.ENSMUSP00000102647"
"Arhgef2","10090.ENSMUSP00000029694"
"Arid5b","10090.ENSMUSP00000151227"
"Arih1","10090.ENSMUSP00000126531"
"Arl2","10090.ENSMUSP00000025893"
"Arl2bp","10090.ENSMUSP00000034228"
"Arl3","10090.ENSMUSP00000026009"
"Armc10","10090.ENSMUSP00000072669"
"Art3","10090.ENSMUSP00000113510"
"Ascc2","10090.ENSMUSP00000063272"
