"gene","STRING_id"
"Sptbn5","10090.ENSMUSP00000158705"
"Per1","10090.ENSMUSP00000021271"
"Col1a1","10090.ENSMUSP00000001547"
"Vit","10090.ENSMUSP00000024880"
"Cadm3","10090.ENSMUSP00000106851"
"Col5a1","10090.ENSMUSP00000028280"
"Lamb1","10090.ENSMUSP00000002979"
"Gldn","10090.ENSMUSP00000056080"
"Tada2a","10090.ENSMUSP00000018795"
"Mat2a","10090.ENSMUSP00000087118"
"Pmp22","10090.ENSMUSP00000104342"
"Sema5a","10090.ENSMUSP00000069024"
"Cfap100","10090.ENSMUSP00000126515"
"Dbn1","10090.ENSMUSP00000021950"
"Sostdc1","10090.ENSMUSP00000040230"
"Sema3g","10090.ENSMUSP00000087643"
"Samd5","10090.ENSMUSP00000097648"
"Slc9a9","10090.ENSMUSP00000033463"
"Myo1b","10090.ENSMUSP00000018561"
"Nr4a1","10090.ENSMUSP00000155225"
"Phgdh","10090.ENSMUSP00000064755"
"Mdn1","10090.ENSMUSP00000136222"
"Col1a2","10090.ENSMUSP00000031668"
"Dag1","10090.ENSMUSP00000142109"
"Vim","10090.ENSMUSP00000028062"
"Cggbp1","10090.ENSMUSP00000065845"
"Col4a1","10090.ENSMUSP00000033898"
"Mprip","10090.ENSMUSP00000071914"
"Atp6ap1","10090.ENSMUSP00000019231"
"Mpz","10090.ENSMUSP00000066701"
"Col5a3","10090.ENSMUSP00000004201"
"Spag9","10090.ENSMUSP00000042271"
"Mapre3","10090.ENSMUSP00000031058"
"Med15","10090.ENSMUSP00000012259"
"Pttg1ip","10090.ENSMUSP00000009435"
"Itga6","10090.ENSMUSP00000107729"
"Nsmaf","10090.ENSMUSP00000029910"
"Limk2","10090.ENSMUSP00000099162"
"Ucp2","10090.ENSMUSP00000120967"
"Apod","10090.ENSMUSP00000119827"
"Nod1","10090.ENSMUSP00000055747"
"Srpk1","10090.ENSMUSP00000116259"
"Slit2","10090.ENSMUSP00000134263"
"Kcna1","10090.ENSMUSP00000055225"
"Traf7","10090.ENSMUSP00000134759"
"Filip1","10090.ENSMUSP00000091329"
"Mast2","10090.ENSMUSP00000102095"
"Hmgcs1","10090.ENSMUSP00000153064"
"Gas2l3","10090.ENSMUSP00000096973"
"Vrk3","10090.ENSMUSP00000002275"
"Nfasc","10090.ENSMUSP00000092148"
"Sars2","10090.ENSMUSP00000092216"
"Dkk3","10090.ENSMUSP00000033036"
"Rabgap1","10090.ENSMUSP00000061624"
"Gan","10090.ENSMUSP00000070168"
"Man1a","10090.ENSMUSP00000003843"
"Cpeb2","10090.ENSMUSP00000125857"
"Col24a1","10090.ENSMUSP00000029848"
"Cd9","10090.ENSMUSP00000032492"
"Sparc","10090.ENSMUSP00000018737"
"Plec","10090.ENSMUSP00000073124"
"Col4a2","10090.ENSMUSP00000033899"
"Vcl","10090.ENSMUSP00000022369"
"Ogn","10090.ENSMUSP00000021822"
"Rnf213","10090.ENSMUSP00000091429"
"Fxyd3","10090.ENSMUSP00000130245"
"Mbp","10090.ENSMUSP00000046185"
"Fa2h","10090.ENSMUSP00000043597"
"Nr4a2","10090.ENSMUSP00000028166"
"Mras","10090.ENSMUSP00000035045"
"Nsmf","10090.ENSMUSP00000097908"
"Ldlr","10090.ENSMUSP00000034713"
"Lrp1","10090.ENSMUSP00000044004"
"Clcn4","10090.ENSMUSP00000000619"
"Nav1","10090.ENSMUSP00000067241"
"Srsf6","10090.ENSMUSP00000119065"
"Pdia6","10090.ENSMUSP00000052912"
"Dync1h1","10090.ENSMUSP00000018851"
"Ankrd40","10090.ENSMUSP00000103448"
"Dtx2","10090.ENSMUSP00000106772"
"Scd2","10090.ENSMUSP00000026221"
"Notch2","10090.ENSMUSP00000078741"
"Ppip5k2","10090.ENSMUSP00000043401"
"Pcsk5","10090.ENSMUSP00000025618"
"Zdhhc21","10090.ENSMUSP00000030110"
"Aacs","10090.ENSMUSP00000031445"
"Camk2d","10090.ENSMUSP00000143677"
"Mfsd2a","10090.ENSMUSP00000030408"
"Ide","10090.ENSMUSP00000121358"
"Ppp1r16a","10090.ENSMUSP00000155515"
