"category","term","number_of_genes","number_of_genes_in_background","ncbiTaxonId","inputGenes","preferredNames","p_value","fdr","description"
"Process","GO:0008203",17,126,10090,"10090.ENSMUSP00000001507,10090.ENSMUSP00000005406,10090.ENSMUSP00000021668,10090.ENSMUSP00000022176,10090.ENSMUSP00000022977,10090.ENSMUSP00000034015,10090.ENSMUSP00000034211,10090.ENSMUSP00000034713,10090.ENSMUSP00000038063,10090.ENSMUSP00000057354,10090.ENSMUSP00000061877,10090.ENSMUSP00000072428,10090.ENSMUSP00000104342,10090.ENSMUSP00000130073,10090.ENSMUSP00000142770,10090.ENSMUSP00000153064,10090.ENSMUSP00000153671","Cyp51,App,Npc2,Hmgcr,Sqle,Msmo1,Mt3,Ldlr,Dhcr24,Sc5d,Insig1,Aplp2,Pmp22,Cyp39a1,Fdps,Hmgcs1,Fdft1",1.62e-14,2.57e-10,"Cholesterol metabolic process"
"Process","GO:0006629",43,1261,10090,"10090.ENSMUSP00000001507,10090.ENSMUSP00000005406,10090.ENSMUSP00000006557,10090.ENSMUSP00000019382,10090.ENSMUSP00000020027,10090.ENSMUSP00000021668,10090.ENSMUSP00000021990,10090.ENSMUSP00000022176,10090.ENSMUSP00000022977,10090.ENSMUSP00000024706,10090.ENSMUSP00000026221,10090.ENSMUSP00000031251,10090.ENSMUSP00000031445,10090.ENSMUSP00000032413,10090.ENSMUSP00000034015,10090.ENSMUSP00000034211,10090.ENSMUSP00000034267,10090.ENSMUSP00000034713,10090.ENSMUSP00000035498,10090.ENSMUSP00000038063,10090.ENSMUSP00000043597,10090.ENSMUSP00000044134,10090.ENSMUSP00000045441,10090.ENSMUSP00000048519,10090.ENSMUSP00000052872,10090.ENSMUSP00000053558,10090.ENSMUSP00000057354,10090.ENSMUSP00000061877,10090.ENSMUSP00000071351,10090.ENSMUSP00000072428,10090.ENSMUSP00000095228,10090.ENSMUSP00000103012,10090.ENSMUSP00000104342,10090.ENSMUSP00000111186,10090.ENSMUSP00000113540,10090.ENSMUSP00000119827,10090.ENSMUSP00000122552,10090.ENSMUSP00000130073,10090.ENSMUSP00000130077,10090.ENSMUSP00000142770,10090.ENSMUSP00000153064,10090.ENSMUSP00000153671,10090.ENSMUSP00000156511","Cyp51,App,Elovl1,Tecr,Serinc1,Npc2,Ptdss1,Hmgcr,Sqle,Pla2g7,Scd2,Hsd17b11,Aacs,Etnk1,Msmo1,Mt3,Slc27a1,Ldlr,Fntb,Dhcr24,Fa2h,Abhd4,Mboat1,Degs1,Fasn,Abhd12,Sc5d,Insig1,Elovl6,Aplp2,Pam,Acly,Pmp22,Mid1ip1,Crtc3,Apod,Dhrs3,Cyp39a1,Comt,Fdps,Hmgcs1,Fdft1,Qk",1.06e-13,5.6e-10,"Lipid metabolic process"
"Process","GO:0008610",28,550,10090,"10090.ENSMUSP00000001507,10090.ENSMUSP00000006557,10090.ENSMUSP00000019382,10090.ENSMUSP00000020027,10090.ENSMUSP00000021990,10090.ENSMUSP00000022176,10090.ENSMUSP00000022977,10090.ENSMUSP00000026221,10090.ENSMUSP00000031251,10090.ENSMUSP00000032413,10090.ENSMUSP00000034015,10090.ENSMUSP00000034267,10090.ENSMUSP00000038063,10090.ENSMUSP00000043597,10090.ENSMUSP00000044134,10090.ENSMUSP00000045441,10090.ENSMUSP00000048519,10090.ENSMUSP00000052872,10090.ENSMUSP00000057354,10090.ENSMUSP00000061877,10090.ENSMUSP00000071351,10090.ENSMUSP00000095228,10090.ENSMUSP00000103012,10090.ENSMUSP00000130073,10090.ENSMUSP00000142770,10090.ENSMUSP00000153064,10090.ENSMUSP00000153671,10090.ENSMUSP00000156511","Cyp51,Elovl1,Tecr,Serinc1,Ptdss1,Hmgcr,Sqle,Scd2,Hsd17b11,Etnk1,Msmo1,Slc27a1,Dhcr24,Fa2h,Abhd4,Mboat1,Degs1,Fasn,Sc5d,Insig1,Elovl6,Pam,Acly,Cyp39a1,Fdps,Hmgcs1,Fdft1,Qk",5.02e-13,1.59e-09,"Lipid biosynthetic process"
"Process","GO:0048731",80,4105,10090,"10090.ENSMUSP00000001547,10090.ENSMUSP00000005406,10090.ENSMUSP00000005532,10090.ENSMUSP00000009143,10090.ENSMUSP00000015800,10090.ENSMUSP00000018737,10090.ENSMUSP00000018966,10090.ENSMUSP00000019231,10090.ENSMUSP00000020308,10090.ENSMUSP00000020706,10090.ENSMUSP00000021603,10090.ENSMUSP00000021822,10090.ENSMUSP00000021950,10090.ENSMUSP00000022629,10090.ENSMUSP00000024880,10090.ENSMUSP00000025409,10090.ENSMUSP00000027682,10090.ENSMUSP00000027830,10090.ENSMUSP00000028062,10090.ENSMUSP00000028166,10090.ENSMUSP00000028239,10090.ENSMUSP00000028389,10090.ENSMUSP00000028854,10090.ENSMUSP00000029766,10090.ENSMUSP00000030408,10090.ENSMUSP00000030636,10090.ENSMUSP00000031445,10090.ENSMUSP00000031556,10090.ENSMUSP00000031668,10090.ENSMUSP00000032066,10090.ENSMUSP00000032492,10090.ENSMUSP00000034211,10090.ENSMUSP00000034472,10090.ENSMUSP00000034713,10090.ENSMUSP00000038063,10090.ENSMUSP00000041053,10090.ENSMUSP00000041557,10090.ENSMUSP00000042211,10090.ENSMUSP00000043597,10090.ENSMUSP00000045608,10090.ENSMUSP00000048519,10090.ENSMUSP00000048555,10090.ENSMUSP00000052872,10090.ENSMUSP00000056080,10090.ENSMUSP00000058846,10090.ENSMUSP00000061877,10090.ENSMUSP00000065810,10090.ENSMUSP00000066314,10090.ENSMUSP00000067241,10090.ENSMUSP00000069024,10090.ENSMUSP00000072428,10090.ENSMUSP00000082793,10090.ENSMUSP00000087457,10090.ENSMUSP00000087643,10090.ENSMUSP00000095228,10090.ENSMUSP00000098710,10090.ENSMUSP00000099529,10090.ENSMUSP00000099589,10090.ENSMUSP00000104342,10090.ENSMUSP00000105445,10090.ENSMUSP00000105980,10090.ENSMUSP00000108499,10090.ENSMUSP00000108555,10090.ENSMUSP00000109608,10090.ENSMUSP00000112104,10090.ENSMUSP00000114074,10090.ENSMUSP00000119827,10090.ENSMUSP00000120967,10090.ENSMUSP00000121266,10090.ENSMUSP00000122552,10090.ENSMUSP00000122863,10090.ENSMUSP00000124305,10090.ENSMUSP00000134263,10090.ENSMUSP00000139564,10090.ENSMUSP00000140596,10090.ENSMUSP00000142109,10090.ENSMUSP00000149803,10090.ENSMUSP00000151227,10090.ENSMUSP00000156511,10090.ENSMUSP00000158312","Col1a1,App,Nid1,Bmp7,Hspa8,Sparc,Sfrp5,Atp6ap1,Ddit4,Adcy1,Fbln5,Ogn,Dbn1,Dpysl2,Vit,Lox,Gpr37l1,Slamf9,Vim,Nr4a2,Gsn,Frzb,Mal,Bcar3,Mfsd2a,Stmn1,Aacs,Tmem106b,Col1a2,Tgfa,Cd9,Mt3,Jam3,Ldlr,Dhcr24,Egr2,Slc7a5,Sema7a,Fa2h,Nbl1,Degs1,Cpe,Fasn,Gldn,Aph1a,Insig1,Rtn3,Ppp4r2,Nav1,Sema5a,Aplp2,Nptn,Itgb1,Sema3g,Pam,Iqsec1,Sema6d,Sema3b,Pmp22,Bcl2l1,Srsf5,Chrdl1,Cntf,Slc5a3,Hnrnpk,Sgk1,Apod,Ucp2,Tab2,Dhrs3,Mfap5,Selenop,Slit2,Mag,Fat1,Dag1,Cryab,Arid5b,Qk,Ndst1",3.9e-12,1.03e-08,"System development"
"Process","GO:0008202",20,285,10090,"10090.ENSMUSP00000001507,10090.ENSMUSP00000005406,10090.ENSMUSP00000019382,10090.ENSMUSP00000021668,10090.ENSMUSP00000022176,10090.ENSMUSP00000022977,10090.ENSMUSP00000031251,10090.ENSMUSP00000034015,10090.ENSMUSP00000034211,10090.ENSMUSP00000034713,10090.ENSMUSP00000038063,10090.ENSMUSP00000057354,10090.ENSMUSP00000061877,10090.ENSMUSP00000072428,10090.ENSMUSP00000104342,10090.ENSMUSP00000130073,10090.ENSMUSP00000130077,10090.ENSMUSP00000142770,10090.ENSMUSP00000153064,10090.ENSMUSP00000153671","Cyp51,App,Tecr,Npc2,Hmgcr,Sqle,Hsd17b11,Msmo1,Mt3,Ldlr,Dhcr24,Sc5d,Insig1,Aplp2,Pmp22,Cyp39a1,Comt,Fdps,Hmgcs1,Fdft1",6.11e-12,1.38e-08,"Steroid metabolic process"
"Process","GO:0006066",21,352,10090,"10090.ENSMUSP00000001507,10090.ENSMUSP00000005406,10090.ENSMUSP00000021668,10090.ENSMUSP00000022176,10090.ENSMUSP00000022977,10090.ENSMUSP00000031411,10090.ENSMUSP00000034015,10090.ENSMUSP00000034211,10090.ENSMUSP00000034713,10090.ENSMUSP00000038063,10090.ENSMUSP00000044134,10090.ENSMUSP00000057354,10090.ENSMUSP00000061877,10090.ENSMUSP00000072428,10090.ENSMUSP00000104342,10090.ENSMUSP00000109608,10090.ENSMUSP00000122552,10090.ENSMUSP00000130073,10090.ENSMUSP00000142770,10090.ENSMUSP00000153064,10090.ENSMUSP00000153671","Cyp51,App,Npc2,Hmgcr,Sqle,Aldh2,Msmo1,Mt3,Ldlr,Dhcr24,Abhd4,Sc5d,Insig1,Aplp2,Pmp22,Slc5a3,Dhrs3,Cyp39a1,Fdps,Hmgcs1,Fdft1",3.15e-11,6.24e-08,"Alcohol metabolic process"
"Process","GO:0065008",76,3943,10090,"10090.ENSMUSP00000000058,10090.ENSMUSP00000005406,10090.ENSMUSP00000006557,10090.ENSMUSP00000007216,10090.ENSMUSP00000015800,10090.ENSMUSP00000018737,10090.ENSMUSP00000019231,10090.ENSMUSP00000020706,10090.ENSMUSP00000021668,10090.ENSMUSP00000021950,10090.ENSMUSP00000022176,10090.ENSMUSP00000022629,10090.ENSMUSP00000023749,10090.ENSMUSP00000025409,10090.ENSMUSP00000027682,10090.ENSMUSP00000028062,10090.ENSMUSP00000028239,10090.ENSMUSP00000030164,10090.ENSMUSP00000030408,10090.ENSMUSP00000030636,10090.ENSMUSP00000031251,10090.ENSMUSP00000031445,10090.ENSMUSP00000031556,10090.ENSMUSP00000031668,10090.ENSMUSP00000032492,10090.ENSMUSP00000033824,10090.ENSMUSP00000034211,10090.ENSMUSP00000034214,10090.ENSMUSP00000034215,10090.ENSMUSP00000034267,10090.ENSMUSP00000034472,10090.ENSMUSP00000034713,10090.ENSMUSP00000040019,10090.ENSMUSP00000041053,10090.ENSMUSP00000041557,10090.ENSMUSP00000041727,10090.ENSMUSP00000042211,10090.ENSMUSP00000043597,10090.ENSMUSP00000044134,10090.ENSMUSP00000048555,10090.ENSMUSP00000052912,10090.ENSMUSP00000061877,10090.ENSMUSP00000069024,10090.ENSMUSP00000071351,10090.ENSMUSP00000072428,10090.ENSMUSP00000076933,10090.ENSMUSP00000080994,10090.ENSMUSP00000082793,10090.ENSMUSP00000087457,10090.ENSMUSP00000087643,10090.ENSMUSP00000088833,10090.ENSMUSP00000091553,10090.ENSMUSP00000092228,10090.ENSMUSP00000094778,10090.ENSMUSP00000095228,10090.ENSMUSP00000098710,10090.ENSMUSP00000099529,10090.ENSMUSP00000099589,10090.ENSMUSP00000104342,10090.ENSMUSP00000105445,10090.ENSMUSP00000107795,10090.ENSMUSP00000108499,10090.ENSMUSP00000108555,10090.ENSMUSP00000112104,10090.ENSMUSP00000113540,10090.ENSMUSP00000114074,10090.ENSMUSP00000120967,10090.ENSMUSP00000121358,10090.ENSMUSP00000122552,10090.ENSMUSP00000130073,10090.ENSMUSP00000130077,10090.ENSMUSP00000134263,10090.ENSMUSP00000139564,10090.ENSMUSP00000140536,10090.ENSMUSP00000142109,10090.ENSMUSP00000149803","Cav2,App,Elovl1,Ap2m1,Hspa8,Sparc,Atp6ap1,Adcy1,Npc2,Dbn1,Hmgcr,Dpysl2,Tmbim6,Lox,Gpr37l1,Vim,Gsn,Vcp,Mfsd2a,Stmn1,Hsd17b11,Aacs,Tmem106b,Col1a2,Cd9,Lamp1,Mt3,Mt2,Mt1,Slc27a1,Jam3,Ldlr,Piezo2,Egr2,Slc7a5,Zdhhc2,Sema7a,Fa2h,Abhd4,Cpe,Pdia6,Insig1,Sema5a,Elovl6,Aplp2,Arpc5,mt-Co2,Nptn,Itgb1,Sema3g,Prnp,Fam57a,Plekhg2,Tuba1a,Pam,Iqsec1,Sema6d,Sema3b,Pmp22,Bcl2l1,Tmsb4x,Chrdl1,Cntf,Hnrnpk,Crtc3,Sgk1,Ucp2,Ide,Dhrs3,Cyp39a1,Comt,Slit2,Mag,Erbin,Dag1,Cryab",3.29e-11,6.24e-08,"Regulation of biological quality"
"Process","GO:0051128",58,2546,10090,"10090.ENSMUSP00000000058,10090.ENSMUSP00000005406,10090.ENSMUSP00000005532,10090.ENSMUSP00000007216,10090.ENSMUSP00000009143,10090.ENSMUSP00000015800,10090.ENSMUSP00000018737,10090.ENSMUSP00000021603,10090.ENSMUSP00000021950,10090.ENSMUSP00000022629,10090.ENSMUSP00000028062,10090.ENSMUSP00000028239,10090.ENSMUSP00000028389,10090.ENSMUSP00000030164,10090.ENSMUSP00000030408,10090.ENSMUSP00000030636,10090.ENSMUSP00000031556,10090.ENSMUSP00000031565,10090.ENSMUSP00000032066,10090.ENSMUSP00000034211,10090.ENSMUSP00000034472,10090.ENSMUSP00000034713,10090.ENSMUSP00000041727,10090.ENSMUSP00000042211,10090.ENSMUSP00000042457,10090.ENSMUSP00000045441,10090.ENSMUSP00000060028,10090.ENSMUSP00000067027,10090.ENSMUSP00000069024,10090.ENSMUSP00000076933,10090.ENSMUSP00000082793,10090.ENSMUSP00000084039,10090.ENSMUSP00000087457,10090.ENSMUSP00000087643,10090.ENSMUSP00000088833,10090.ENSMUSP00000092228,10090.ENSMUSP00000094778,10090.ENSMUSP00000095228,10090.ENSMUSP00000097515,10090.ENSMUSP00000098710,10090.ENSMUSP00000099529,10090.ENSMUSP00000099589,10090.ENSMUSP00000103129,10090.ENSMUSP00000104342,10090.ENSMUSP00000105445,10090.ENSMUSP00000105531,10090.ENSMUSP00000107795,10090.ENSMUSP00000108555,10090.ENSMUSP00000111186,10090.ENSMUSP00000112104,10090.ENSMUSP00000114074,10090.ENSMUSP00000119827,10090.ENSMUSP00000125840,10090.ENSMUSP00000134263,10090.ENSMUSP00000139564,10090.ENSMUSP00000142109,10090.ENSMUSP00000142770,10090.ENSMUSP00000149803","Cav2,App,Nid1,Ap2m1,Bmp7,Hspa8,Sparc,Fbln5,Dbn1,Dpysl2,Vim,Gsn,Frzb,Vcp,Mfsd2a,Stmn1,Tmem106b,Fscn1,Tgfa,Mt3,Jam3,Ldlr,Zdhhc2,Sema7a,Eef1a1,Mboat1,Crlf3,Ston1,Sema5a,Arpc5,Nptn,Bicd1,Itgb1,Sema3g,Prnp,Plekhg2,Tuba1a,Pam,Sesn1,Iqsec1,Sema6d,Sema3b,Syt11,Pmp22,Bcl2l1,Tmed9,Tmsb4x,Cntf,Mid1ip1,Hnrnpk,Sgk1,Apod,Eps8l1,Slit2,Mag,Dag1,Fdps,Cryab",3.96e-11,6.27e-08,"Regulation of cellular component organization"
"Process","GO:0007275",82,4513,10090,"10090.ENSMUSP00000001547,10090.ENSMUSP00000005406,10090.ENSMUSP00000005532,10090.ENSMUSP00000009143,10090.ENSMUSP00000015800,10090.ENSMUSP00000018737,10090.ENSMUSP00000018966,10090.ENSMUSP00000019231,10090.ENSMUSP00000020308,10090.ENSMUSP00000020706,10090.ENSMUSP00000021603,10090.ENSMUSP00000021822,10090.ENSMUSP00000021950,10090.ENSMUSP00000022629,10090.ENSMUSP00000024880,10090.ENSMUSP00000025409,10090.ENSMUSP00000027682,10090.ENSMUSP00000027830,10090.ENSMUSP00000028062,10090.ENSMUSP00000028166,10090.ENSMUSP00000028239,10090.ENSMUSP00000028389,10090.ENSMUSP00000028854,10090.ENSMUSP00000029766,10090.ENSMUSP00000030408,10090.ENSMUSP00000030636,10090.ENSMUSP00000031445,10090.ENSMUSP00000031556,10090.ENSMUSP00000031668,10090.ENSMUSP00000032066,10090.ENSMUSP00000032492,10090.ENSMUSP00000034211,10090.ENSMUSP00000034472,10090.ENSMUSP00000034713,10090.ENSMUSP00000038063,10090.ENSMUSP00000040230,10090.ENSMUSP00000041053,10090.ENSMUSP00000041557,10090.ENSMUSP00000042211,10090.ENSMUSP00000043597,10090.ENSMUSP00000045608,10090.ENSMUSP00000045639,10090.ENSMUSP00000048519,10090.ENSMUSP00000048555,10090.ENSMUSP00000052872,10090.ENSMUSP00000056080,10090.ENSMUSP00000058846,10090.ENSMUSP00000061877,10090.ENSMUSP00000065810,10090.ENSMUSP00000066314,10090.ENSMUSP00000067241,10090.ENSMUSP00000069024,10090.ENSMUSP00000072428,10090.ENSMUSP00000082793,10090.ENSMUSP00000087457,10090.ENSMUSP00000087643,10090.ENSMUSP00000095228,10090.ENSMUSP00000098710,10090.ENSMUSP00000099529,10090.ENSMUSP00000099589,10090.ENSMUSP00000104342,10090.ENSMUSP00000105445,10090.ENSMUSP00000105980,10090.ENSMUSP00000108499,10090.ENSMUSP00000108555,10090.ENSMUSP00000109608,10090.ENSMUSP00000112104,10090.ENSMUSP00000114074,10090.ENSMUSP00000119827,10090.ENSMUSP00000120967,10090.ENSMUSP00000121266,10090.ENSMUSP00000122552,10090.ENSMUSP00000122863,10090.ENSMUSP00000124305,10090.ENSMUSP00000134263,10090.ENSMUSP00000139564,10090.ENSMUSP00000140596,10090.ENSMUSP00000142109,10090.ENSMUSP00000149803,10090.ENSMUSP00000151227,10090.ENSMUSP00000156511,10090.ENSMUSP00000158312","Col1a1,App,Nid1,Bmp7,Hspa8,Sparc,Sfrp5,Atp6ap1,Ddit4,Adcy1,Fbln5,Ogn,Dbn1,Dpysl2,Vit,Lox,Gpr37l1,Slamf9,Vim,Nr4a2,Gsn,Frzb,Mal,Bcar3,Mfsd2a,Stmn1,Aacs,Tmem106b,Col1a2,Tgfa,Cd9,Mt3,Jam3,Ldlr,Dhcr24,Sostdc1,Egr2,Slc7a5,Sema7a,Fa2h,Nbl1,Klf9,Degs1,Cpe,Fasn,Gldn,Aph1a,Insig1,Rtn3,Ppp4r2,Nav1,Sema5a,Aplp2,Nptn,Itgb1,Sema3g,Pam,Iqsec1,Sema6d,Sema3b,Pmp22,Bcl2l1,Srsf5,Chrdl1,Cntf,Slc5a3,Hnrnpk,Sgk1,Apod,Ucp2,Tab2,Dhrs3,Mfap5,Selenop,Slit2,Mag,Fat1,Dag1,Cryab,Arid5b,Qk,Ndst1",6.83e-11,9.85e-08,"Multicellular organism development"
"Process","GO:0016126",10,48,10090,"10090.ENSMUSP00000001507,10090.ENSMUSP00000022176,10090.ENSMUSP00000022977,10090.ENSMUSP00000034015,10090.ENSMUSP00000038063,10090.ENSMUSP00000057354,10090.ENSMUSP00000061877,10090.ENSMUSP00000142770,10090.ENSMUSP00000153064,10090.ENSMUSP00000153671","Cyp51,Hmgcr,Sqle,Msmo1,Dhcr24,Sc5d,Insig1,Fdps,Hmgcs1,Fdft1",1.08e-10,1.43e-07,"Sterol biosynthetic process"
