"file","comp_group","cell_type","n_mouse","n_schwann","n_jci","n_overlap_ms","n_overlap_mj","n_overlap_all3","lactate_score","mito_up","mito_down","n_ms_concord_up","n_ms_concord_down","n_mj_concord_up","n_mj_concord_down"
"EXvsHFD_majorSC.csv","EXvsHFD","majorSC",537,194,1422,13,52,4,0.10954419393858,1,0,13,0,52,0
"EXvsHFD_mySC.csv","EXvsHFD","mySC",186,194,1422,5,29,2,0.114415790327455,0,0,5,0,29,0
"DRvsHFD_mySC.csv","DRvsHFD","mySC",47,194,1422,3,9,2,NA,0,0,2,1,8,1
"HFDvsSD_majorSC.csv","HFDvsSD","majorSC",69,194,1422,5,11,1,0.24015995819506,0,0,3,2,9,2
"HFDvsSD_mySC.csv","HFDvsSD","mySC",27,194,1422,2,4,1,NA,0,0,1,1,0,4
"DRvsHFD_majorSC.csv","DRvsHFD","majorSC",55,194,1422,1,12,1,NA,0,0,1,0,12,0
"HFDvsSD_ImmSC.csv","HFDvsSD","ImmSC",3,194,1422,1,1,1,NA,0,0,0,1,0,1
"DREXvsHFD_majorSC.csv","DREXvsHFD","majorSC",164,194,1422,2,26,0,NA,0,0,0,2,3,23
"DREXvsHFD_mySC.csv","DREXvsHFD","mySC",90,194,1422,2,15,0,NA,0,0,1,1,2,13
"DREXvsHFD_ImmSC.csv","DREXvsHFD","ImmSC",26,194,1422,0,5,0,NA,0,0,0,0,0,5
"EXvsHFD_ImmSC.csv","EXvsHFD","ImmSC",10,194,1422,0,3,0,NA,0,0,0,0,3,0
"DREXvsHFD_nmSC.csv","DREXvsHFD","nmSC",19,194,1422,0,2,0,NA,0,0,0,0,1,1
"DRvsHFD_nmSC.csv","DRvsHFD","nmSC",5,194,1422,0,2,0,NA,0,0,0,0,2,0
"HFDvsSD_nmSC.csv","HFDvsSD","nmSC",4,194,1422,0,1,0,NA,0,0,0,0,1,0
"EXvsHFD_nmSC.csv","EXvsHFD","nmSC",3,194,1422,0,0,0,NA,0,0,0,0,0,0
