"Mouse_Symbol","Mouse_log2FC","Mouse_pval","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Aatk",0.182073057396992,4.01696385579455e-05,"AATK",-0.512476951408044,2.42987514165809e-10,"Up","Down","Discordant"
"Ank3",0.109279786987983,0.00767192998361645,"ANK3",-0.429856305547353,0.023717896384544,"Up","Down","Discordant"
"Cdh19",-0.355544982234409,1.01464051578458e-17,"CDH19",0.574278258759879,7.51109389584067e-08,"Down","Up","Discordant"
"Cldn19",0.174365934945207,4.38125923100491e-11,"CLDN19",-1.05113574276211,1.40518979547685e-06,"Up","Down","Discordant"
"Cpe",-0.302037202434756,0.00765182174494439,"CPE",1.19611689848149,3.23111956070507e-13,"Down","Up","Discordant"
"Ctnnal1",0.251161487528039,7.52377719321006e-12,"CTNNAL1",-0.747383126515763,4.21869437456721e-18,"Up","Down","Discordant"
"Drp2",0.091212336842589,1.01837764951447e-05,"DRP2",-0.85712512279549,3.21368352371589e-10,"Up","Down","Discordant"
"Dstn",-0.2405341949864,0.00208052081488825,"DSTN",0.480558996119979,0.00243222890761616,"Down","Up","Discordant"
"Fmn2",0.21238648628922,1.30201291836958e-06,"FMN2",-1.59141658266337,0.0303865818092828,"Up","Down","Discordant"
"Gldn",0.228308066275745,0.000792999544792214,"GLDN",-0.718047708873683,7.53175031938415e-05,"Up","Down","Discordant"
"Gramd1b",0.405538113955377,0.00644055783675671,"GRAMD1B",-1.3530826174579,0.0100744182253552,"Up","Down","Discordant"
"Gsn",-0.282735534643433,1.70276162405496e-08,"GSN",0.79472909308265,7.93104283439763e-96,"Down","Up","Discordant"
"Hnrnph1",-0.205436350300464,0.000861857397332991,"HNRNPH1",0.630450170953329,0.000335376643809226,"Down","Up","Discordant"
"Igfbp7",-0.324284585136295,0.00301595036119553,"IGFBP7",1.0090433507825,7.39086709621914e-114,"Down","Up","Discordant"
"Kcna2",0.219965537910015,0.00112209472581826,"KCNA2",-1.50296986566367,8.06512570045016e-07,"Up","Down","Discordant"
"Mbp",0.249916191055492,4.79855411031176e-05,"MBP",-1.30208801771583,1.42010607307706e-214,"Up","Down","Discordant"
"Micall2",0.323668249565994,8.63924673534609e-06,"MICALL2",-0.643081190706378,2.06708121053486e-12,"Up","Down","Discordant"
"Nav3",0.363017806899666,2.63302337002349e-05,"NAV3",-1.418436355452,0.00309842254731468,"Up","Down","Discordant"
"Nbl1",-0.154504470417458,0.000488238206428623,"NBL1",1.16396834909537,1.70066773906957e-17,"Down","Up","Discordant"
"Pdzd2",0.217529989319612,0.00281039566401712,"PDZD2",-0.756979559131544,0.00401771736391226,"Up","Down","Discordant"
"Plekha4",0.185399523019998,1.09831186960742e-14,"PLEKHA4",-0.709758439471158,7.88266152741976e-17,"Up","Down","Discordant"
"Plekhb1",0.354650076732227,0.00315559507750759,"PLEKHB1",-0.843149312423931,8.12741969994266e-19,"Up","Down","Discordant"
"Ppl",-0.313960910769259,0.00129851404164122,"PPL",1.617300901776,8.28349483623731e-12,"Down","Up","Discordant"
"Rapgef3",-0.419040969585516,5.39693730056473e-09,"RAPGEF3",1.51936733282159,0.00380906192252475,"Down","Up","Discordant"
"Rbm3",-0.14389239636322,0.000384670829607199,"RBM3",0.498805759226183,0.00144595938978559,"Down","Up","Discordant"
"Rnh1",-0.212056857067479,7.1350300981787e-06,"RNH1",0.588178969472058,0.00133817704522308,"Down","Up","Discordant"
"S100a6",-0.154670265431331,5.20500095223418e-06,"S100A6",0.295483239760776,1.01272497407963e-16,"Down","Up","Discordant"
"Secisbp2l",0.309298936613766,0.00362904164666482,"SECISBP2L",-0.503826827400115,0.000117371294303311,"Up","Down","Discordant"
"Sema5a",0.254900470686922,0.000587778078964811,"SEMA5A",-0.657593659267854,0.00120468437514895,"Up","Down","Discordant"
"Sema7a",0.369348455396754,0.000136535230708898,"SEMA7A",-1.10889909263537,1.90014087016291e-13,"Up","Down","Discordant"
"Slc7a2",-0.152159080745309,0.000367142337995641,"SLC7A2",1.18531014352491,1.66562575160656e-05,"Down","Up","Discordant"
"Sod3",-0.0888179456655926,0.00124175238318644,"SOD3",0.482185050320109,3.66496344724045e-06,"Down","Up","Discordant"
"Sorcs1",0.186336694853847,0.000119189045211931,"SORCS1",-0.98889227699628,3.24236371220691e-10,"Up","Down","Discordant"
"Sparcl1",-0.41437369944253,3.05005853161767e-06,"SPARCL1",0.642267452055392,1.62785509106627e-09,"Down","Up","Discordant"
"Tle2",-0.258841534639089,0.00097019106981698,"TLE2",1.12144831939318,1.65058807208678e-08,"Down","Up","Discordant"
"Tns1",-0.102474775624957,0.00640757752607905,"TNS1",1.16429735594763,1.02837774550839e-20,"Down","Up","Discordant"
"Tnxb",-0.178269589662658,0.000379306994885048,"TNXB",0.619349928035901,3.78948320981086e-09,"Down","Up","Discordant"
"Tsc22d3",-0.530201844588053,2.0059158482795e-11,"TSC22D3",0.879953045600486,1.39651604335522e-10,"Down","Up","Discordant"
"Wscd2",-0.238395959594725,0.00794954215464361,"WSCD2",2.22260206967524,0.0467462876731518,"Down","Up","Discordant"
"Ypel3",-0.164538319700702,0.00461838612383568,"YPEL3",0.497815193684221,0.0430429771862028,"Down","Up","Discordant"
