"Mouse_Symbol","Mouse_log2FC","Mouse_pval","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Per1",-0.368713611816953,1.47769987937362e-25,"PER1",0.614657911355589,0.030933662866666,"Down","Up","Discordant"
"Otud7b",-0.303784154216294,1.29648665379562e-22,"OTUD7B",1.43033784367623,9.5988887341034e-07,"Down","Up","Discordant"
"Etnppl",-0.527629649392293,8.23183057712576e-22,"ETNPPL",3.17168473836637,1.36280441409346e-06,"Down","Up","Discordant"
"Per2",-0.358432363369718,3.97826697015749e-21,"PER2",1.01412500687374,4.10554993011023e-07,"Down","Up","Discordant"
"Tsc22d3",-0.409154262128992,6.58702302877552e-20,"TSC22D3",1.28403787692541,2.60544727124652e-07,"Down","Up","Discordant"
"Dusp15",-0.270593897842833,2.64016545316678e-15,"DUSP15",1.34448477075041,0.000183240813414026,"Down","Up","Discordant"
"Ncf2",-0.264871423366377,8.21415907447783e-12,"NCF2",2.94452359412225,1.759485916442e-09,"Down","Up","Discordant"
"Klf9",-0.251324062317973,2.75664866892042e-11,"KLF9",1.64653591947783,3.91417121914828e-16,"Down","Up","Discordant"
"Arrb2",-0.238825851514497,2.86039008207162e-11,"ARRB2",1.73985888909546,0.000201212352501719,"Down","Up","Discordant"
"Qk",-0.152439486715146,8.1648445440784e-11,"QKI",0.627873801897697,0.00248291076654324,"Down","Up","Discordant"
"Sfpq",-0.162356148218812,1.38567705238684e-10,"SFPQ",0.615547768668322,0.000417455264524902,"Down","Up","Discordant"
"Klf15",-0.198691595624986,7.4725093106225e-10,"KLF15",1.48401137805783,1.67269822736748e-05,"Down","Up","Discordant"
"Gpm6b",-0.224451644834502,1.61739506708168e-09,"GPM6B",0.648876276531755,0.0449669920396894,"Down","Up","Discordant"
"Art3",-0.158243490145694,2.1347544232576e-09,"ART3",0.855985414490905,0.0339782259659872,"Down","Up","Discordant"
"Sec14l5",-0.182086001683832,2.15640949267169e-09,"SEC14L5",1.58327555886197,0.00068014537123565,"Down","Up","Discordant"
"Hspa8",-0.233712376103943,2.60629979153405e-09,"HSPA8",1.05839121905272,0.000725689570105757,"Down","Up","Discordant"
"Gjc3",-0.141699699823218,3.41809091803971e-09,"GJC3",1.77220224797196,0.000641135206273757,"Down","Up","Discordant"
"Ddx5",-0.172817258751034,4.09386002201793e-09,"DDX5",0.793816015429833,2.16237727586592e-06,"Down","Up","Discordant"
"Rap1gap",-0.10845615934767,5.07768273559526e-09,"RAP1GAP",0.761753912731507,0.0123053059106887,"Down","Up","Discordant"
"Megf9",-0.213265612416669,5.4249377666984e-09,"MEGF9",1.80510583671921,3.17665770495995e-06,"Down","Up","Discordant"
