"Mouse_Symbol","Mouse_log2FC","Mouse_pval","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Cdh19",-0.355544982234409,1.01464051578458e-17,"CDH19",0.557185739341524,0.0166725875656682,"Down","Up","Discordant"
"Per1",-0.473243899467123,7.25116981846538e-09,"PER1",0.614657911355589,0.030933662866666,"Down","Up","Discordant"
"F3",-0.498511372250359,1.15305668412181e-07,"F3",0.88253926607158,0.000328483487033753,"Down","Up","Discordant"
"Serpina3n",-0.347096903138831,3.33032001984756e-06,"SERPINA3",4.66432566508958,8.08260913674271e-13,"Down","Up","Discordant"
"Slc43a3",-0.291385949145163,6.05612532822893e-06,"SLC43A3",0.478130378807159,0.0439211558198067,"Down","Up","Discordant"
"Erf",-0.545470145325023,2.32708108062385e-05,"ERF",0.978029724670068,1.11626728087188e-10,"Down","Up","Discordant"
"Cdc42ep1",-0.333496525776906,2.41795837972056e-05,"CDC42EP1",0.376370144732719,0.0229877794683078,"Down","Up","Discordant"
"Klf15",-0.403359609078315,2.51878707992886e-05,"KLF15",1.48401137805783,1.67269822736748e-05,"Down","Up","Discordant"
"Pdlim4",-0.3087626184699,3.8639347859762e-05,"PDLIM4",0.867884228911114,0.00335549290568449,"Down","Up","Discordant"
"Scn7a",-0.183968478045553,5.0233452917037e-05,"SCN7A",0.64136071489124,0.0249419428936365,"Down","Up","Discordant"
"Gpr37l1",-0.409832294806386,7.11163649577267e-05,"GPR37L1",1.34688202118724,0.0057794070837936,"Down","Up","Discordant"
"Spred1",-0.456335177582131,7.89538292105573e-05,"SPRED1",0.65873539343723,0.00911137529518203,"Down","Up","Discordant"
"Emc8",-0.478346706408394,9.05363905099616e-05,"EMC8",0.570153841967182,0.00915237655317704,"Down","Up","Discordant"
"Inpp5f",-0.201684632521142,0.00010765396551202,"INPP5F",0.685172855793275,0.000480933402322696,"Down","Up","Discordant"
"Klf9",-0.327698073787158,0.000319187516835345,"KLF9",1.64653591947783,3.91417121914828e-16,"Down","Up","Discordant"
"Cd200",-0.297773897667314,0.000351724738344826,"CD200",0.595606040099975,0.0230488186831193,"Down","Up","Discordant"
"Sfpq",-0.238233469050205,0.000416097895296181,"SFPQ",0.615547768668322,0.000417455264524902,"Down","Up","Discordant"
"Celf2",-0.14858267812234,0.000699768045457834,"CELF2",0.865507022130433,0.000125815935562337,"Down","Up","Discordant"
"Ece1",-0.319644663053277,0.00105897131915014,"ECE1",0.587668126054445,0.0124168797593628,"Down","Up","Discordant"
"Mag",-0.326097616685191,0.00106347315341495,"MAG",0.959534279618402,0.0432265341198442,"Down","Up","Discordant"
"Cebpd",-0.112487626335379,0.00127134006810479,"CEBPD",2.43747922486518,7.48639334185688e-25,"Down","Up","Discordant"
"Xpo6",-0.260207453531412,0.0013130662558435,"XPO6",2.12496940331362,1.73200243602054e-06,"Down","Up","Discordant"
"Slc31a2",-0.249000542581469,0.00135628121190623,"SLC31A2",1.522985976451,5.60071605334716e-06,"Down","Up","Discordant"
"Klf10",-0.378512497150662,0.00174099514359399,"KLF10",1.37747492190511,5.1017014451595e-09,"Down","Up","Discordant"
"Cdc42se1",-0.242336412971407,0.00197775785120651,"CDC42SE1",1.73398384481073,1.22045303504878e-08,"Down","Up","Discordant"
"Slc3a2",-0.249961317331877,0.00205282260643729,"SLC3A2",0.628915890382855,0.00830149386462628,"Down","Up","Discordant"
"Lifr",-0.154145806858595,0.00214135892582765,"LIFR",0.381042240341825,0.0451153050070254,"Down","Up","Discordant"
"Sdc4",-0.277527058948565,0.00226740762745333,"SDC4",1.83011144151101,1.23154156422075e-06,"Down","Up","Discordant"
"Arrb2",-0.233227154083611,0.00238385948220602,"ARRB2",1.73985888909546,0.000201212352501719,"Down","Up","Discordant"
"Slc12a2",-0.285483479335791,0.00253226553310503,"SLC12A2",1.22454496776743,4.10554993011023e-07,"Down","Up","Discordant"
"Gas2l3",-0.186685845982158,0.00341975001893231,"GAS2L3",0.796413699156658,0.0173435712693783,"Down","Up","Discordant"
"Jmjd1c",-0.232119870571249,0.00366874506995639,"JMJD1C",0.927677950428111,0.000424920889822468,"Down","Up","Discordant"
"Nkain2",-0.185087923840353,0.00384820012304122,"NKAIN2",1.22339908257408,0.00153940511071724,"Down","Up","Discordant"
"Iqgap2",-0.33378210839446,0.00452259196915692,"IQGAP2",0.667062492239989,0.0101837809039101,"Down","Up","Discordant"
"Mapre3",0.305267009300316,0.00481496070004425,"MAPRE3",-0.388861509907204,0.0462384440524781,"Up","Down","Discordant"
"Ptprj",-0.217266232727779,0.00516893952506595,"PTPRJ",0.834811695600901,0.000787985991237464,"Down","Up","Discordant"
"Atf3",-0.240701919121733,0.00532943478902654,"ATF3",2.32155207388366,4.66204194068405e-06,"Down","Up","Discordant"
"Idh3b",-0.202297565285559,0.00545705638515381,"IDH3B",0.301103809482248,0.00538382563347941,"Down","Up","Discordant"
"Slc38a2",-0.236085002802754,0.0063534321102958,"SLC38A2",0.937377457359951,6.48296092327976e-11,"Down","Up","Discordant"
"Atrnl1",-0.241979846912479,0.00647676810607894,"ATRNL1",1.52941780623292,2.97752640206857e-05,"Down","Up","Discordant"
"Srsf6",-0.181254084883656,0.00732802995602512,"SRSF6",0.607447182868995,7.7281743493011e-05,"Down","Up","Discordant"
"Sparc",-0.0701227169331884,0.00792519405482655,"SPARC",0.59245081141209,0.00477617873902357,"Down","Up","Discordant"
"Por",-0.182918256273416,0.00838227026230178,"POR",0.87339836948443,0.00626108930690975,"Down","Up","Discordant"
