"Mouse_Symbol","Mouse_log2FC","Mouse_pval","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Abtb2",0.0991997616962081,0.0028907364906389,"ABTB2",0.850021399170085,0.00198104421965933,"Up","Up","Concordant"
"Acsl3",0.104657103733454,8.79404189370364e-05,"ACSL3",0.915684807861461,0.00260866647127189,"Up","Up","Concordant"
"Agtpbp1",0.0602053129263764,0.000446210804019423,"AGTPBP1",1.21520359609608,3.01200512963486e-05,"Up","Up","Concordant"
"Alkbh1",0.131106225373838,0.00332268230177031,"ALKBH1",0.377575350587555,0.0330554139992737,"Up","Up","Concordant"
"Angptl4",0.181831746142638,3.73398669399495e-05,"ANGPTL4",1.99585032894177,0.00245200074807554,"Up","Up","Concordant"
"Anxa3",0.285373743199084,0.000113441741765413,"ANXA3",1.50257605396623,3.2527132515507e-05,"Up","Up","Concordant"
"Arhgap17",-0.000174025428499425,0.0034124711741683,"ARHGAP17",-0.457156325111791,0.0492520572711393,"Down","Down","Concordant"
"Arid5b",0.0737803393532261,0.000686293315239257,"ARID5B",1.00233724445659,2.65653545696934e-09,"Up","Up","Concordant"
"Arih1",0.156857223842142,8.24065574370881e-05,"ARIH1",0.380832149027353,0.00152744719083247,"Up","Up","Concordant"
"Atp11b",0.124950316450058,0.00232079097791339,"ATP11B",0.660449853958957,0.011870803733869,"Up","Up","Concordant"
"Atp1a1",0.145567599916678,0.00492140190957708,"ATP1A1",1.96831342051822,2.83978222987694e-15,"Up","Up","Concordant"
"Azin1",0.0640456754186882,0.00746186310470507,"AZIN1",0.805594176187565,0.000395432410720482,"Up","Up","Concordant"
"Bbs9",-0.322788532657377,0.00683909201281594,"BBS9",-0.584275366784668,0.00236600276031265,"Down","Down","Concordant"
"Becn1",0.0718278913598169,0.00379875048949007,"BECN1",0.567870845515722,0.00110639387910016,"Up","Up","Concordant"
"Bphl",-0.24850054648521,0.00971663072627279,"BPHL",-0.616368581799695,0.0147829292937183,"Down","Down","Concordant"
"Brd2",0.148459623340357,0.00134770634637033,"BRD2",0.586131120049573,0.000697428786435328,"Up","Up","Concordant"
"C77080",-0.418536218028736,0.000865565948608685,"KIAA1522",-0.92883977936656,0.00082121651232471,"Down","Down","Concordant"
"Cadm3",0.213338025373682,2.47814724622143e-08,"CADM3",1.0167187389854,0.000288870291583311,"Up","Up","Concordant"
"Cadm4",0.0930995159103198,0.00311628646264306,"CADM4",1.03396526149194,0.0040831373817211,"Up","Up","Concordant"
"Ccdc59",0.050874130819486,0.0084458501096143,"CCDC59",0.759621053437507,0.000153614665883671,"Up","Up","Concordant"
"Ccdc9",0.0741812988212518,0.00503332272106617,"CCDC9",0.639283592208716,0.0164756515365759,"Up","Up","Concordant"
"Cd55",0.132435698217033,0.00129271062664369,"CD55",2.99271957846321,1.97814933606061e-10,"Up","Up","Concordant"
"Cd9",0.117236748455897,0.00443146045546582,"CD9",0.9312890045953,2.48731597477048e-08,"Up","Up","Concordant"
"Cdc42ep1",0.0492771834787922,0.00965632146880102,"CDC42EP1",0.376370144732719,0.0229877794683078,"Up","Up","Concordant"
"Cdc42se2",0.145393738659288,0.000970612363830667,"CDC42SE2",0.516195183985553,0.0114539180737617,"Up","Up","Concordant"
