"Mouse_Symbol","Mouse_log2FC","Mouse_pval","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Acyp2",0.140088007106762,0.00420738032703762,"ACYP2",-0.376105291286763,0.0376944107665805,"Up","Down","Discordant"
"Adipor2",-0.158811923151146,0.00667043794776928,"ADIPOR2",0.900650997565655,7.1157531158539e-06,"Down","Up","Discordant"
"Ankhd1",0.135037729430623,0.00632701746378903,"ANKHD1-EIF4EBP3",-0.491174613528413,0.0448048028300755,"Up","Down","Discordant"
"Ano8",0.0878865992224308,0.000590398204039452,"ANO8",-0.916711369533598,0.000464531020621163,"Up","Down","Discordant"
"Arhgef17",0.102702989288016,0.000342304279232494,"ARHGEF17",-0.633317308573752,0.0300738495147949,"Up","Down","Discordant"
"Art3",-0.325897539686462,1.60004328666818e-08,"ART3",0.855985414490905,0.0339782259659872,"Down","Up","Discordant"
"Atf3",-0.413178781393785,0.0061999181765348,"ATF3",2.32155207388366,4.66204194068405e-06,"Down","Up","Discordant"
"Atxn7l1",0.047120069359543,0.00310024502705998,"ATXN7L1",-0.662997183266664,0.000375498861279653,"Up","Down","Discordant"
"B2m",-0.196906355331117,6.83300359750559e-05,"B2M",0.568351823064419,0.02123065227494,"Down","Up","Discordant"
"Bckdhb",0.0936449299735105,0.0096044764985279,"BCKDHB",-0.447582873998099,0.0403598743791539,"Up","Down","Discordant"
"Bcl9",0.199722366353133,0.000343555167177039,"BCL9",-0.751428785155075,8.6805293852652e-05,"Up","Down","Discordant"
"Bcl9l",0.0793356813703762,0.00487871524419879,"BCL9L",-1.38901020670313,1.8505300333095e-05,"Up","Down","Discordant"
"Caml",-0.380895866957775,0.00787590894501399,"CAMLG",0.329311096815737,0.0202836977355266,"Down","Up","Discordant"
"Capn7",0.0658329013338159,0.00505725645847056,"CAPN7",-0.346472901793291,0.0087885963605038,"Up","Down","Discordant"
"Cdc42bpa",0.0727269667820405,0.00103433505170679,"CDC42BPA",-0.313718708537686,0.0463329917280003,"Up","Down","Discordant"
"Chd9",0.073159737194744,0.00889882746194789,"CHD9",-0.303511873218779,0.00655165176317191,"Up","Down","Discordant"
"Chpt1",-0.293775675566786,0.0013745162786001,"CHPT1",0.397772016004527,0.0391475624730493,"Down","Up","Discordant"
"Col1a1",0.347238735430106,3.21261199096029e-12,"COL1A1",-2.33093047101344,4.86690219674216e-12,"Up","Down","Discordant"
"Col1a2",0.175670485596967,2.48839107290097e-07,"COL1A2",-0.884662679434246,0.000673077956595261,"Up","Down","Discordant"
"Col24a1",0.219757204304527,5.00749254435605e-07,"COL24A1",-0.706756334151809,0.0231127885684988,"Up","Down","Discordant"
"Col3a1",0.102503682124937,0.00511594582498693,"COL3A1",-1.56872256994742,1.52124046393718e-05,"Up","Down","Discordant"
"Col5a1",0.23200384573031,1.27149017287908e-10,"COL5A1",-0.774615284651586,8.09823681473354e-06,"Up","Down","Discordant"
"Crtc1",0.160240121313817,0.00490779750412052,"CRTC1",-0.834639593139439,0.00144269659333053,"Up","Down","Discordant"
"Ctcf",0.322602447363292,0.00399060007492538,"CTCF",-0.239351231423069,0.0119975426671509,"Up","Down","Discordant"
