"Mouse_Symbol","Mouse_log2FC","Mouse_padj","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Sptbn5",0.318972048797343,1.38667435485281e-13,"SPTBN5",2.38514777172604,1.09154521488196e-06,"Up","Up","Concordant"
"Col1a1",0.347238735430106,4.82534321042236e-08,"COL1A1",-2.33093047101344,4.86690219674216e-12,"Up","Down","Discordant"
"Per1",0.167659480369284,9.52744155340061e-07,"PER1",0.614657911355589,0.030933662866666,"Up","Up","Concordant"
"Col5a1",0.23200384573031,1.90977823966438e-06,"COL5A1",-0.774615284651586,8.09823681473354e-06,"Up","Down","Discordant"
"Mat2a",0.205417760589847,5.42359505034561e-06,"MAT2A",2.03602742581746,5.68684526512092e-17,"Up","Up","Concordant"
"Spag9",0.184648587349609,3.61370588904558e-05,"SPAG9",0.652013602089023,9.43717706637799e-05,"Up","Up","Concordant"
"Pmp22",0.188415723332456,8.44116048311063e-05,"PMP22",1.45929829179601,1.88551476517146e-06,"Up","Up","Concordant"
"Art3",-0.325897539686462,0.000240326501657561,"ART3",0.855985414490905,0.0339782259659872,"Down","Up","Discordant"
"Cadm3",0.213338025373682,0.000372217716382458,"CADM3",1.0167187389854,0.000288870291583311,"Up","Up","Concordant"
"Sema3g",0.285824940587894,0.000534224718481921,"SEMA3G",-0.608545192438649,0.0381973899900013,"Up","Down","Discordant"
"Myo1b",0.211192104955156,0.00118077046074112,"MYO1B",0.489556382046038,1.32623899575974e-05,"Up","Up","Concordant"
"Slc9a9",0.253645126071933,0.00202068931179108,"SLC9A9",-1.26085104283364,3.7160431001603e-05,"Up","Down","Discordant"
"Limk2",0.185466685232529,0.00328380835789634,"LIMK2",1.86406431994265,0.000122981072989985,"Up","Up","Concordant"
"Col1a2",0.175670485596967,0.00373756339149726,"COL1A2",-0.884662679434246,0.000673077956595261,"Up","Down","Discordant"
"Mbp",-0.122522426790133,0.00618438576385527,"MBP",1.69699863632153,0.000267523191204788,"Down","Up","Discordant"
"Nav1",0.282511354192998,0.00716869743425787,"NAV1",-0.527597117377038,0.00713652459332991,"Up","Down","Discordant"
"Col24a1",0.219757204304527,0.00752125380162279,"COL24A1",-0.706756334151809,0.0231127885684988,"Up","Down","Discordant"
"Mpz",0.220759691930069,0.00910544075090026,"MPZ",1.71292998284678,0.00117146089740735,"Up","Up","Concordant"
"Gldn",0.19333705337085,0.00961179496911281,"GLDN",2.35105038421498,2.1621471920167e-09,"Up","Up","Concordant"
"Filip1",0.18262665367745,0.0166097631151034,"FILIP1",0.925510803598033,0.00192422478747432,"Up","Up","Concordant"
"Hmgcs1",0.21868382100155,0.0303464994248325,"HMGCS1",0.664451359166214,0.00619868364623705,"Up","Up","Concordant"
"Lrp1",0.156812483150332,0.0310641715948644,"LRP1",-0.819374421249414,0.000902398609018947,"Up","Down","Discordant"
"Sparc",0.201836649288225,0.0429816068302452,"SPARC",0.59245081141209,0.00477617873902357,"Up","Up","Concordant"
"Mapre3",0.145142866412325,0.0451531194884536,"MAPRE3",-0.388861509907204,0.0462384440524781,"Up","Down","Discordant"
