"Mouse_Symbol","Mouse_log2FC","Mouse_pval","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Kcna1",0.325900800364908,4.97258920900576e-06,"KCNA1",1.77994603376021,0.000672740015383392,"Up","Up","Concordant"
"Ifngr1",0.339460291002717,2.713302430502e-05,"IFNGR1",1.05998666929252,0.000409814590747155,"Up","Up","Concordant"
"Pdk4",0.370588623045287,4.30604510116798e-05,"PDK4",1.05872506735345,0.00303702610350131,"Up","Up","Concordant"
"Zfr",0.430887864790303,4.49747233221443e-05,"ZFR",0.352903334385031,0.0058543415385029,"Up","Up","Concordant"
"Emp1",0.381401243340363,0.000119966989306376,"EMP1",1.97830302926921,5.3396499147672e-10,"Up","Up","Concordant"
"Prx",0.422565459086468,0.000167582537847571,"PRX",2.22445309625055,0.00036502813705074,"Up","Up","Concordant"
"Drp2",0.559666161565523,0.000171142750487736,"DRP2",1.8364887437442,0.0049134881586191,"Up","Up","Concordant"
"Ube2d2a",0.334967273851661,0.000173988251191357,"UBE2D2",0.409872132377405,0.00496467521858178,"Up","Up","Concordant"
"Emp3",0.325521430378716,0.000181104848124866,"EMP3",0.833992103517948,0.00345645933226332,"Up","Up","Concordant"
"Anxa1",0.357296253745163,0.0002200997792648,"ANXA1",0.875177486291873,0.00057419644251173,"Up","Up","Concordant"
"Tmbim1",0.362517829647451,0.000244471469724251,"TMBIM1",0.739001794937855,0.000174628860270773,"Up","Up","Concordant"
"Art3",0.231920867655701,0.000261656076327869,"ART3",0.855985414490905,0.0339782259659872,"Up","Up","Concordant"
"Sostdc1",0.350150448628141,0.000373042435131872,"SOSTDC1",1.25349168254091,0.00740267993503608,"Up","Up","Concordant"
"Hsd17b11",0.401103308473894,0.000377884501167295,"HSD17B11",0.620823985371317,0.00979822705299685,"Up","Up","Concordant"
"Arid5b",0.295319369528236,0.000393905534056,"ARID5B",1.00233724445659,2.65653545696934e-09,"Up","Up","Concordant"
"Zfp281",0.363395672107258,0.000424017053111366,"ZNF281",1.17654492041001,0.000124745473695216,"Up","Up","Concordant"
"Ifitm3",0.299716862852513,0.000552510370377627,"IFITM3",0.516603929078945,0.0198815537708172,"Up","Up","Concordant"
"Srsf2",0.261582408354996,0.000554570242323805,"SRSF2",1.02388264361609,4.09873531294809e-06,"Up","Up","Concordant"
"Bcl2l1",0.25111727066697,0.000556812896011581,"BCL2L1",0.43555280611491,0.00566397624664395,"Up","Up","Concordant"
"Gal3st1",0.285722377461218,0.000561503779477841,"GAL3ST1",0.700161020352454,0.0251923803313665,"Up","Up","Concordant"
"Rbms1",0.324687415778616,0.00056952696640727,"RBMS1",0.433614643848646,0.0368409092346712,"Up","Up","Concordant"
"Serinc1",0.281451983962137,0.000627904641907265,"SERINC1",0.529012251181998,0.00501006783530578,"Up","Up","Concordant"
"Akap12",0.390289988748196,0.000636244410444599,"AKAP12",0.914043786840669,0.000907544976357574,"Up","Up","Concordant"
"Nfkbia",0.231176501781388,0.000664829919126854,"NFKBIA",1.98951729214316,9.71898576407927e-16,"Up","Up","Concordant"
"Rab8b",0.228648432549267,0.000693589085043276,"RAB8B",1.13485900952638,2.36991986753297e-05,"Up","Up","Concordant"
"Kif1a",0.38000693177429,0.000730535919847753,"KIF1A",1.21098934022569,0.00475507092463218,"Up","Up","Concordant"
"Gpm6b",0.291241009468162,0.000733897647459552,"GPM6B",0.648876276531755,0.0449669920396894,"Up","Up","Concordant"
"Zbtb38",0.200514754195419,0.000783567859098051,"ZBTB38",0.385371706708702,0.00119350571062084,"Up","Up","Concordant"
"Lin7c",0.266694419010859,0.000794733212866084,"LIN7C",0.594085992200658,0.000532632142494985,"Up","Up","Concordant"
"Zfp36",0.203436352944167,0.00080237191831729,"ZFP36",2.24457368940099,1.2772560320047e-09,"Up","Up","Concordant"
"Tsc22d3",0.236501727357294,0.000829022187124016,"TSC22D3",1.28403787692541,2.60544727124652e-07,"Up","Up","Concordant"
"Dynlrb1",0.202839013159987,0.000837391287870489,"DYNLRB1",0.357204958136887,0.0150241876101549,"Up","Up","Concordant"
"Dag1",0.34231382186892,0.000892908898376885,"DAG1",0.452299922636794,0.0319723226206573,"Up","Up","Concordant"
"Cap1",0.382100252258767,0.000955396683499671,"CAP1",0.974973589608848,9.55932794506207e-05,"Up","Up","Concordant"
"Cryab",0.356423421642914,0.00102353435294975,"CRYAB",1.08341602218809,5.7269190274382e-05,"Up","Up","Concordant"
"Ddhd1",-0.284846012694489,0.0012400162173863,"DDHD1",-0.66940217088879,3.0958601488409e-05,"Down","Down","Concordant"
"Lamb1",0.215645826517771,0.00151462093648875,"LAMB1",0.484600229731846,0.00417971710924958,"Up","Up","Concordant"
"Sparc",0.403303729892587,0.00154347586852932,"SPARC",0.59245081141209,0.00477617873902357,"Up","Up","Concordant"
"Cfl1",0.293633738301242,0.00172473581477911,"CFL1",0.748857333146295,0.00232461231555343,"Up","Up","Concordant"
"Rab2a",0.19939015135756,0.00181554451894543,"RAB2A",0.36423379308251,0.0281250069256476,"Up","Up","Concordant"
"Mal",0.26506605114596,0.00203192747835179,"MAL",1.03220087595097,0.00607270508940302,"Up","Up","Concordant"
"Ndufa6",0.18748358910548,0.00218043272764355,"NDUFA6",0.475092282518323,0.0154256673010125,"Up","Up","Concordant"
"Per1",0.141901979853344,0.00240845679362731,"PER1",0.614657911355589,0.030933662866666,"Up","Up","Concordant"
"Magt1",0.237739956900218,0.00264654116868278,"MAGT1",0.550574789695517,0.00793985326633736,"Up","Up","Concordant"
"Azin1",0.317518539083466,0.00278260733943657,"AZIN1",0.805594176187565,0.000395432410720482,"Up","Up","Concordant"
"Adam17",0.160905165612548,0.00315966536522407,"ADAM17",0.696174645106082,7.82249124666974e-08,"Up","Up","Concordant"
"Plekhb1",0.211459058147573,0.00322904869231823,"PLEKHB1",1.23249063161535,0.00125228475327192,"Up","Up","Concordant"
"Hipk3",0.186838891756171,0.0033563070397648,"HIPK3",1.00167778980841,3.27388124667316e-08,"Up","Up","Concordant"
"Ivns1abp",0.188392889703088,0.00340754078530011,"IVNS1ABP",2.55216245759592,1.43461611814879e-08,"Up","Up","Concordant"
"Fis1",0.222429485836028,0.00342661383612821,"FIS1",0.361471660466056,0.00636540281368817,"Up","Up","Concordant"
"Gpr37l1",0.270899036732874,0.00344566892959808,"GPR37L1",1.34688202118724,0.0057794070837936,"Up","Up","Concordant"
"Tsc22d4",0.16801714974793,0.00352492456622782,"TSC22D4",0.890100934935264,3.43188909345328e-06,"Up","Up","Concordant"
"Arrdc3",0.273616041589202,0.00358144835910535,"ARRDC3",1.01778270735556,3.51288333170683e-05,"Up","Up","Concordant"
