"Mouse_Symbol","Mouse_log2FC","Mouse_pval","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Aldh1a1",0.452458443382748,1.46669152737175e-07,"ALDH1A1",-0.336274976047292,0.00201995951565405,"Up","Down","Discordant"
"Cnp",0.252413391784243,0.000159053844508769,"CNP",-0.538949162769235,2.10174899410142e-22,"Up","Down","Discordant"
"Prx",0.422565459086468,0.000167582537847571,"PRX",-0.731594240711631,5.22310979613096e-32,"Up","Down","Discordant"
"Drp2",0.559666161565523,0.000171142750487736,"DRP2",-0.85712512279549,3.21368352371589e-10,"Up","Down","Discordant"
"Art3",0.231920867655701,0.000261656076327869,"ART3",-0.927736762890254,0.00845234952386587,"Up","Down","Discordant"
"Cst3",0.483988235856839,0.000300294248271007,"CST3",-0.218818234737092,8.06606770719687e-09,"Up","Down","Discordant"
"Ifitm3",0.299716862852513,0.000552510370377627,"IFITM3",-0.275078046638706,5.55137408391712e-11,"Up","Down","Discordant"
"Gal3st1",0.285722377461218,0.000561503779477841,"GAL3ST1",-0.807145273718807,0.000213295428286532,"Up","Down","Discordant"
"Gpm6b",0.291241009468162,0.000733897647459552,"GPM6B",-0.299748453746233,3.88133464838745e-06,"Up","Down","Discordant"
"Dag1",0.34231382186892,0.000892908898376885,"DAG1",-0.355510375777363,0.0143532295132145,"Up","Down","Discordant"
"Cryab",0.356423421642914,0.00102353435294975,"CRYAB",-0.46740675499158,1.56353384178659e-21,"Up","Down","Discordant"
"Ncam1",0.240753842988289,0.00128137901909652,"NCAM1",-0.897811193376382,3.11502894356559e-23,"Up","Down","Discordant"
"Sparc",0.403303729892587,0.00154347586852932,"SPARC",-0.74235848073811,1.37184003580368e-160,"Up","Down","Discordant"
"Mal",0.26506605114596,0.00203192747835179,"MAL",-0.639335732859642,1.5640247384449e-20,"Up","Down","Discordant"
"Tns3",0.254471251516277,0.00221251472268093,"TNS3",-0.711130138151915,1.40934228804745e-17,"Up","Down","Discordant"
"Col1a2",0.290448343840267,0.00254336507783333,"COL1A2",-0.619075352501228,3.21595905018177e-50,"Up","Down","Discordant"
"Plekhb1",0.211459058147573,0.00322904869231823,"PLEKHB1",-0.843149312423931,8.12741969994266e-19,"Up","Down","Discordant"
"Ivns1abp",0.188392889703088,0.00340754078530011,"IVNS1ABP",-0.917460786022965,3.06072709146791e-05,"Up","Down","Discordant"
"Gpr37l1",0.270899036732874,0.00344566892959808,"GPR37L1",-0.659323954221469,3.87975475736906e-05,"Up","Down","Discordant"
"Tsc22d4",0.16801714974793,0.00352492456622782,"TSC22D4",-0.927039762834982,8.07676113809392e-26,"Up","Down","Discordant"
"Vwa1",0.198874293772645,0.00390823321916387,"VWA1",-0.428903634526047,5.92811829244541e-14,"Up","Down","Discordant"
"Pdzd2",0.172692669654732,0.00597918409358398,"PDZD2",-0.756979559131544,0.00401771736391226,"Up","Down","Discordant"
"Itm2c",0.230698982902982,0.00601501669005787,"ITM2C",-0.499022978356476,0.0262236242923218,"Up","Down","Discordant"
"Pmp22",0.27190775969254,0.0066874657840104,"PMP22",-0.579019896005548,2.70875008517136e-63,"Up","Down","Discordant"
"Aspa",0.167329410722203,0.0076438509682032,"ASPA",-0.631192343753793,0.0019394896043679,"Up","Down","Discordant"
"Gramd1b",0.192005028531363,0.00776153018054504,"GRAMD1B",-1.3530826174579,0.0100744182253552,"Up","Down","Discordant"
"Lrrtm4",0.292476808660716,0.00824035426876538,"LRRTM4",-1.55875764384942,0.00158901993281417,"Up","Down","Discordant"
"Plp1",0.203025626454644,0.00830083151369691,"PLP1",-0.866277857956655,3.2703979431827e-99,"Up","Down","Discordant"
"S1pr3",0.264521577239257,0.00937171507441223,"S1PR3",-0.801556798879199,0.00926070870057398,"Up","Down","Discordant"
"Cd81",0.235665123692136,0.00988925945661975,"CD81",-0.292010033594013,1.12146619213565e-13,"Up","Down","Discordant"
