"Mouse_Symbol","Mouse_log2FC","Mouse_pval","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Mpz",-0.233089180926665,3.97884354253615e-08,"MPZ",-0.884917878908733,1.25053568141596e-97,"Down","Down","Concordant"
"Col1a1",-0.357890181342797,8.29613495808036e-07,"COL1A1",-1.16644022107065,2.37264383302555e-67,"Down","Down","Concordant"
"Pmp22",-0.216777330246842,6.09777415428928e-06,"PMP22",-0.579019896005548,2.70875008517136e-63,"Down","Down","Concordant"
"Sema7a",-0.351685053113387,1.04719521778778e-05,"SEMA7A",-1.10889909263537,1.90014087016291e-13,"Down","Down","Concordant"
"Secisbp2l",-0.188193091062742,1.26910447210425e-05,"SECISBP2L",-0.503826827400115,0.000117371294303311,"Down","Down","Concordant"
"Col1a2",-0.220024819352702,1.77520880313381e-05,"COL1A2",-0.619075352501228,3.21595905018177e-50,"Down","Down","Concordant"
"Sparc",-0.187433183356123,0.000143563531933474,"SPARC",-0.74235848073811,1.37184003580368e-160,"Down","Down","Concordant"
"Fth1",-0.2309847511128,0.00193682952299765,"FTH1",-0.204137331296331,1.45717632953994e-11,"Down","Down","Concordant"
"Igfbp5",-0.246515902067963,0.00247600446083152,"IGFBP5",-0.297475999867082,2.64557537325135e-07,"Down","Down","Concordant"
"Vim",-0.18351337165349,0.00385033059801173,"VIM",-0.196078656164987,1.08598095396774e-19,"Down","Down","Concordant"
"Fscn1",-0.218887326946937,0.00413507204617447,"FSCN1",-0.507846539763172,0.024799389603628,"Down","Down","Concordant"
"Bmp7",-0.241147322290126,0.00533310511968995,"BMP7",-0.678296014551582,0.0314909920134245,"Down","Down","Concordant"
"Gnptab",-0.103408709007784,0.00779455653463657,"GNPTAB",-0.834353815136831,0.00147089346178459,"Down","Down","Concordant"
"Gldn",-0.178385377261442,0.00984711203485215,"GLDN",-0.718047708873683,7.53175031938415e-05,"Down","Down","Concordant"
