"Mouse_Symbol","Mouse_log2FC","Mouse_pval","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Aatk",0.0817840024421379,0.00233199426883185,"AATK",-0.512476951408044,2.42987514165809e-10,"Up","Down","Discordant"
"Abca8b",-0.278793842384175,0.00234183845525312,"ABCA8",-0.327996893066868,0.0453972555628082,"Down","Down","Concordant"
"Adamtsl1",-0.166851495440263,0.00103184016171712,"ADAMTSL1",-1.23536065858481,0.000456580535964187,"Down","Down","Concordant"
"Afap1l2",-0.141432999050941,0.00268550870192914,"AFAP1L2",-0.518079970721635,0.0294892959194813,"Down","Down","Concordant"
"Aldh1l1",-0.135886535221307,0.00263194262445347,"ALDH1L1",2.09622478390569,0.0267228061020304,"Down","Up","Discordant"
"Ank3",-0.166537099721059,6.35398488642754e-05,"ANK3",-0.429856305547353,0.023717896384544,"Down","Down","Concordant"
"Anxa2",0.224067845591119,0.00567011060972065,"ANXA2",-0.226283093613424,4.1957593492499e-06,"Up","Down","Discordant"
"Anxa3",-0.446739385058392,2.04030076032899e-11,"ANXA3",-0.853849990762629,0.000404858752269588,"Down","Down","Concordant"
"Arpc1b",0.242978706375186,0.00153225102497238,"ARPC1B",-0.456050839971259,1.19479269460245e-05,"Up","Down","Discordant"
"Art3",0.333619866279077,1.65215772082662e-07,"ART3",-0.927736762890254,0.00845234952386587,"Up","Down","Discordant"
"B2m",0.231314176161486,0.00112574817946322,"B2M",-0.324874710627948,7.63745488596434e-34,"Up","Down","Discordant"
"Bmp7",-0.140295334349459,0.000345076102253483,"BMP7",-0.678296014551582,0.0314909920134245,"Down","Down","Concordant"
"Cav1",-0.186187024108487,0.00380061537429257,"CAV1",1.31980491179501,1.66072324202823e-23,"Down","Up","Discordant"
"Chp2",0.215831391738401,0.0032503419220732,"CHP2",-4.31655674143279,5.94272212423349e-05,"Up","Down","Discordant"
"Chst2",-0.111477166414795,0.00854553798214491,"CHST2",-1.73159424071163,2.97735828111411e-09,"Down","Down","Concordant"
"Ckb",0.301441789751117,0.000466292406770665,"CKB",0.857415093072227,5.30852914329566e-15,"Up","Up","Concordant"
"Cmtm5",-0.10849774496191,0.000860070597301133,"CMTM5",-0.623719266247987,7.15026514229973e-05,"Down","Down","Concordant"
"Col15a1",0.288138049204601,0.0019190718510957,"COL15A1",-0.503926877334508,0.0132240245484314,"Up","Down","Discordant"
"Col1a1",-0.287600888575071,5.78411276149161e-07,"COL1A1",-1.16644022107065,2.37264383302555e-67,"Down","Down","Concordant"
"Col1a2",-0.290134078687153,6.12497634654489e-10,"COL1A2",-0.619075352501228,3.21595905018177e-50,"Down","Down","Concordant"
"Col4a2",-0.291396734471389,1.30788391141309e-05,"COL4A2",0.452422443784434,2.7226774723748e-05,"Down","Up","Discordant"
"Col5a1",-0.204823853863102,5.59864946482387e-06,"COL5A1",-0.525377966877682,0.00012532257529028,"Down","Down","Concordant"
"Col5a3",-0.217653356969715,4.40080244723332e-06,"COL5A3",-0.537714507117596,3.04158998458971e-05,"Down","Down","Concordant"
"Cryab",-0.13280754575137,0.00610596690817338,"CRYAB",-0.46740675499158,1.56353384178659e-21,"Down","Down","Concordant"
"Ctnnal1",-0.106735031573566,0.00498549626276865,"CTNNAL1",-0.747383126515763,4.21869437456721e-18,"Down","Down","Concordant"
"Dhh",0.404579820860894,5.48993977816979e-06,"DHH",-0.790288234970654,2.1814342012238e-09,"Up","Down","Discordant"
"Fgf1",-0.203113566075872,0.00532077080650781,"FGF1",-1.26210895741041,4.60884675760465e-20,"Down","Down","Concordant"
"Fscn1",-0.218887326946937,0.00413507204617447,"FSCN1",-0.507846539763172,0.024799389603628,"Down","Down","Concordant"
"Fth1",-0.2309847511128,0.00193682952299765,"FTH1",-0.204137331296331,1.45717632953994e-11,"Down","Down","Concordant"
"Fxyd3",-0.15659819577081,1.88707286598928e-05,"FXYD3",-1.1029612683335,5.82839663589413e-06,"Down","Down","Concordant"
