"Mouse_Symbol","Mouse_log2FC","Mouse_pval","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Col1a2",-0.290134078687153,6.12497634654489e-10,"COL1A2",-0.884662679434246,0.000673077956595261,"Down","Down","Concordant"
"Col7a1",-0.294276468691655,2.15752592072002e-08,"COL7A1",-0.945852492615949,0.00801839968089527,"Down","Down","Concordant"
"Vstm4",-0.298416490532581,3.17051306615288e-08,"VSTM4",-0.786205197234893,0.00256629411903055,"Down","Down","Concordant"
"Nav1",-0.393878446562607,4.7682588813262e-08,"NAV1",-0.527597117377038,0.00713652459332991,"Down","Down","Concordant"
"Art3",0.333619866279077,1.65215772082662e-07,"ART3",0.855985414490905,0.0339782259659872,"Up","Up","Concordant"
"Ppp1r9a",0.471823761081819,2.1874944017208e-07,"PPP1R9A",0.55219355792307,0.0450407265217124,"Up","Up","Concordant"
"Sema3g",-0.326597538817487,2.95533222267726e-07,"SEMA3G",-0.608545192438649,0.0381973899900013,"Down","Down","Concordant"
"Slc7a2",0.367325388165634,5.52401235140041e-07,"SLC7A2",0.636756340479958,0.000138984593446649,"Up","Up","Concordant"
"Col1a1",-0.287600888575071,5.78411276149161e-07,"COL1A1",-2.33093047101344,4.86690219674216e-12,"Down","Down","Concordant"
"Cc2d1a",-0.297645458100199,2.35909991853967e-06,"CC2D1A",-0.562858574324288,0.0353410107161407,"Down","Down","Concordant"
"Ide",-0.246583878808393,4.60362157365991e-06,"IDE",-0.51913816266272,0.00350840144624801,"Down","Down","Concordant"
"Col5a1",-0.204823853863102,5.59864946482387e-06,"COL5A1",-0.774615284651586,8.09823681473354e-06,"Down","Down","Concordant"
"Col24a1",-0.262640400454743,7.52513032975659e-06,"COL24A1",-0.706756334151809,0.0231127885684988,"Down","Down","Concordant"
"Gpt",-0.207296364390701,8.65004649214198e-06,"GPT",-0.579950182253614,0.041086144094004,"Down","Down","Concordant"
"Htt",-0.207120793154788,9.68417497534111e-06,"HTT",-0.551978448266947,0.00555016520084256,"Down","Down","Concordant"
"Sars2",-0.259632105813234,2.04055724351317e-05,"SARS2",-1.05637564312278,0.000113818308729681,"Down","Down","Concordant"
"Pcmtd2",-0.203912831643715,2.66792801001484e-05,"PCMTD2",-0.450738007653401,0.0384838569476429,"Down","Down","Concordant"
"Scube1",-0.212490041462056,3.86555258602565e-05,"SCUBE1",-0.888601729839685,0.00616252818558909,"Down","Down","Concordant"
"Mapre3",-0.165723179351003,5.60108247282842e-05,"MAPRE3",-0.388861509907204,0.0462384440524781,"Down","Down","Concordant"
"Cpt1c",-0.172908148264406,6.71704732933106e-05,"CPT1C",-1.01438610402418,0.00373420489973205,"Down","Down","Concordant"
"Ppox",-0.216267195829305,6.76757730868414e-05,"PPOX",-0.683481217744745,0.00160543483724203,"Down","Down","Concordant"
"Olfml2b",-0.216585928226589,8.29861462950425e-05,"OLFML2B",-0.716856696811729,0.016427752658716,"Down","Down","Concordant"
"Capn7",-0.177739465723954,0.000115556641241617,"CAPN7",-0.346472901793291,0.0087885963605038,"Down","Down","Concordant"
"Syvn1",-0.15436237789502,0.000153556229685739,"SYVN1",-0.495149380889934,0.0038448266340403,"Down","Down","Concordant"
"Cep164",-0.237068236344223,0.000158561848313206,"CEP164",-0.513415740297999,0.0347619033068959,"Down","Down","Concordant"
"Lama4",-0.19016644892322,0.000173677035768327,"LAMA4",-0.349055416605825,0.0325936831578423,"Down","Down","Concordant"
"Gjc3",0.419362537853773,0.000212710457791423,"GJC3",1.77220224797196,0.000641135206273757,"Up","Up","Concordant"
"Cluap1",-0.209112508287982,0.000213480377147716,"CLUAP1",-0.459508016972699,0.00141204980899737,"Down","Down","Concordant"
"Ano8",-0.227385393524164,0.000238219168256838,"ANO8",-0.916711369533598,0.000464531020621163,"Down","Down","Concordant"
"Myo7a",-0.225697811122024,0.000260908272311479,"MYO7A",-1.25005024467451,4.0030645680663e-06,"Down","Down","Concordant"
"Thap3",-0.115820195315964,0.000294770759622911,"THAP3",-0.578558521782413,0.000441405919707961,"Down","Down","Concordant"
"Iqce",-0.169996797717253,0.000493485624032626,"IQCE",-0.480447197396127,0.00197784368395155,"Down","Down","Concordant"
"Krit1",-0.191462391399092,0.000527365104757539,"KRIT1",-0.364528941206177,0.00325782705835069,"Down","Down","Concordant"
"Ogfod2",-0.134325053034463,0.000561340241856751,"OGFOD2",-0.828872608278484,0.00132643837311979,"Down","Down","Concordant"
"Mbp",0.0949296284320988,0.000573814010234103,"MBP",1.69699863632153,0.000267523191204788,"Up","Up","Concordant"
