"Mouse_Symbol","Mouse_log2FC","Mouse_pval","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Anxa3",-0.446739385058392,2.04030076032899e-11,"ANXA3",-0.853849990762629,0.000404858752269588,"Down","Down","Concordant"
"Col1a2",-0.290134078687153,6.12497634654489e-10,"COL1A2",-0.619075352501228,3.21595905018177e-50,"Down","Down","Concordant"
"Spp1",-0.478691695097489,3.69544491248183e-09,"SPP1",-0.989090463003995,2.2401037186967e-17,"Down","Down","Concordant"
"Art3",0.333619866279077,1.65215772082662e-07,"ART3",-0.927736762890254,0.00845234952386587,"Up","Down","Discordant"
"Slc7a2",0.367325388165634,5.52401235140041e-07,"SLC7A2",1.18531014352491,1.66562575160656e-05,"Up","Up","Concordant"
"Col1a1",-0.287600888575071,5.78411276149161e-07,"COL1A1",-1.16644022107065,2.37264383302555e-67,"Down","Down","Concordant"
"Nfasc",0.201898925400068,1.01436252107615e-06,"NFASC",-1.01362960847548,0.00271788506408365,"Up","Down","Discordant"
"Col5a3",-0.217653356969715,4.40080244723332e-06,"COL5A3",-0.537714507117596,3.04158998458971e-05,"Down","Down","Concordant"
"Col5a1",-0.204823853863102,5.59864946482387e-06,"COL5A1",-0.525377966877682,0.00012532257529028,"Down","Down","Concordant"
"Tnxb",-0.244803499998874,8.50308371884536e-06,"TNXB",0.619349928035901,3.78948320981086e-09,"Down","Up","Discordant"
"Vcl",-0.15619741847719,1.84451502580716e-05,"VCL",0.606909410377914,0.0209767908921726,"Down","Up","Discordant"
"Fxyd3",-0.15659819577081,1.88707286598928e-05,"FXYD3",-1.1029612683335,5.82839663589413e-06,"Down","Down","Concordant"
"Tmod2",0.368880381041166,2.97178057549509e-05,"TMOD2",-0.623925946502459,6.0734970363343e-10,"Up","Down","Discordant"
"Gldn",-0.172691763199335,2.99106183802825e-05,"GLDN",-0.718047708873683,7.53175031938415e-05,"Down","Down","Concordant"
"Scube1",-0.212490041462056,3.86555258602565e-05,"SCUBE1",1.87803031424379,3.06097990995257e-19,"Down","Up","Discordant"
"Sema5a",-0.194794657678398,4.55381099888685e-05,"SEMA5A",-0.657593659267854,0.00120468437514895,"Down","Down","Concordant"
"Sdk2",-0.167863885208901,6.10336541248764e-05,"SDK2",-2.01170215990437,3.93148456537314e-12,"Down","Down","Concordant"
"Ank3",-0.166537099721059,6.35398488642754e-05,"ANK3",-0.429856305547353,0.023717896384544,"Down","Down","Concordant"
"Col4a2",-0.139372573750565,6.89611093192918e-05,"COL4A2",0.452422443784434,2.7226774723748e-05,"Down","Up","Discordant"
"Olfml2b",-0.216585928226589,8.29861462950425e-05,"OLFML2B",-0.902821901421579,4.74938750863285e-09,"Down","Down","Concordant"
"Kifc3",-0.252100095950303,0.00013064724682906,"KIFC3",-0.871319004378244,1.00617069191012e-08,"Down","Down","Concordant"
"Sptbn1",-0.137412545093929,0.000148456100584792,"SPTBN1",-0.428965046738478,1.86793757641035e-16,"Down","Down","Concordant"
"Bmp7",-0.140295334349459,0.000345076102253483,"BMP7",-0.678296014551582,0.0314909920134245,"Down","Down","Concordant"
"Vim",-0.145589869181909,0.000426042669863388,"VIM",-0.196078656164987,1.08598095396774e-19,"Down","Down","Concordant"
"Pmp22",-0.115330182116821,0.000543552324719564,"PMP22",-0.579019896005548,2.70875008517136e-63,"Down","Down","Concordant"
"Mbp",0.0949296284320988,0.000573814010234103,"MBP",-1.30208801771583,1.42010607307706e-214,"Up","Down","Discordant"
"Prmt2",-0.12690627190263,0.000738163864654593,"PRMT2",-0.566429899191342,4.79070137582802e-05,"Down","Down","Concordant"
"Zeb2",0.232706647561252,0.000827037566153088,"ZEB2",-0.37734842555154,0.003160637933529,"Up","Down","Discordant"
"Cmtm5",-0.10849774496191,0.000860070597301133,"CMTM5",-0.623719266247987,7.15026514229973e-05,"Down","Down","Concordant"
"Sorbs3",-0.131776165439609,0.000962956165445632,"SORBS3",0.720835878409859,1.16394862681161e-10,"Down","Up","Discordant"
"Rap1gds1",-0.0546477816464521,0.00100420397181053,"RAP1GDS1",-0.637178638819524,0.00221972171168505,"Down","Down","Concordant"
"Adamtsl1",-0.166851495440263,0.00103184016171712,"ADAMTSL1",-1.23536065858481,0.000456580535964187,"Down","Down","Concordant"
"Gng2",-0.105593043548588,0.00110400670763424,"GNG2",-0.52614409313482,4.64699503472119e-08,"Down","Down","Concordant"
"Sgcd",-0.108106325552428,0.00156757335039976,"SGCD",-1.79299478537577,0.00403119161150782,"Down","Down","Concordant"
"Ogn",-0.120866620187153,0.0015984527293265,"OGN",-0.758361150274417,3.06053909211135e-06,"Down","Down","Concordant"
"Micall2",-0.228983650229542,0.00184206519402691,"MICALL2",-0.643081190706378,2.06708121053486e-12,"Down","Down","Concordant"
"Aatk",0.0817840024421379,0.00233199426883185,"AATK",-0.512476951408044,2.42987514165809e-10,"Up","Down","Discordant"
"Fth1",-0.153091188499199,0.00253112927700943,"FTH1",-0.204137331296331,1.45717632953994e-11,"Down","Down","Concordant"
"Nsmf",-0.0913943577571525,0.00253747286802131,"NSMF",0.830504151657788,0.0012458456605136,"Down","Up","Discordant"
"Afap1l2",-0.141432999050941,0.00268550870192914,"AFAP1L2",-0.518079970721635,0.0294892959194813,"Down","Down","Concordant"
"Chp2",0.215831391738401,0.0032503419220732,"CHP2",-4.31655674143279,5.94272212423349e-05,"Up","Down","Discordant"
"Nbl1",-0.103442434638658,0.00342714077846014,"NBL1",1.16396834909537,1.70066773906957e-17,"Down","Up","Discordant"
"Ctnnal1",-0.106735031573566,0.00498549626276865,"CTNNAL1",-0.747383126515763,4.21869437456721e-18,"Down","Down","Concordant"
"Fgf1",-0.203113566075872,0.00532077080650781,"FGF1",-1.26210895741041,4.60884675760465e-20,"Down","Down","Concordant"
"Cryab",-0.13280754575137,0.00610596690817338,"CRYAB",-0.46740675499158,1.56353384178659e-21,"Down","Down","Concordant"
"Mboat2",-0.111605895970207,0.0064132415795208,"MBOAT2",-0.779688528912676,0.0187254101036769,"Down","Down","Concordant"
"Sesn3",-0.172754584082937,0.00738884186698658,"SESN3",-0.572604716950474,9.66303777148772e-09,"Down","Down","Concordant"
"Chst2",-0.111477166414795,0.00854553798214491,"CHST2",-1.73159424071163,2.97735828111411e-09,"Down","Down","Concordant"
"Nid1",-0.0617355279020819,0.00856350408466992,"NID1",0.536241151385984,0.00527543552386505,"Down","Up","Discordant"
"Sdc3",-0.189383956737988,0.00874995140194216,"SDC3",-1.11597118728868,7.87048027946162e-23,"Down","Down","Concordant"
"Rgcc",-0.086516553067121,0.00936025930211535,"RGCC",1.09770657213341,1.68998957629119e-18,"Down","Up","Discordant"
"S100b",-0.117798704548695,0.00969738930091159,"S100B",-1.17486642236247,6.51557620758894e-229,"Down","Down","Concordant"
