"Mouse_Symbol","Mouse_log2FC","Mouse_pval","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Cdc42ep1",0.366904309112781,9.70023100693938e-05,"CDC42EP1",0.376370144732719,0.0229877794683078,"Up","Up","Concordant"
"Tap2",0.28742946372368,0.000127700954804866,"TAP2",0.664264333514985,0.0104852694227715,"Up","Up","Concordant"
"Atp13a3",0.34178818898724,0.00014973632277585,"ATP13A3",1.38087364561604,8.11526669576253e-05,"Up","Up","Concordant"
"Rtn4",0.410344485740938,0.000183749452772747,"RTN4",0.754647524129127,6.28136470645263e-05,"Up","Up","Concordant"
"Irs2",0.325629476820645,0.000292141188484246,"IRS2",1.84328236426477,8.04996877350922e-07,"Up","Up","Concordant"
"Cd200",0.253441791314576,0.000315508155892481,"CD200",0.595606040099975,0.0230488186831193,"Up","Up","Concordant"
"Kcna2",0.222093164750375,0.000500606489474141,"KCNA2",0.940367612256028,0.0157561500277667,"Up","Up","Concordant"
"S100a6",0.234587865801428,0.000564206446330353,"S100A6",0.668400803833228,0.00086456358449962,"Up","Up","Concordant"
"Ppp1r9a",0.435545112275138,0.000601630374623777,"PPP1R9A",0.55219355792307,0.0450407265217124,"Up","Up","Concordant"
"Tuba1a",0.327296374489567,0.000673729648682357,"TUBA1A",0.885338673144257,0.000657902084975456,"Up","Up","Concordant"
"Slc3a2",0.231834042077337,0.000675060082790232,"SLC3A2",0.628915890382855,0.00830149386462628,"Up","Up","Concordant"
"Lifr",0.25138891387631,0.0010296755644213,"LIFR",0.381042240341825,0.0451153050070254,"Up","Up","Concordant"
"Atf3",0.47393829982607,0.00120592213554228,"ATF3",2.32155207388366,4.66204194068405e-06,"Up","Up","Concordant"
"Uba7",-0.457304260090861,0.00135705266555919,"UBA7",-0.782274739093743,0.000134612934349073,"Down","Down","Concordant"
"Fnip2",0.168048470318158,0.00140153017665721,"FNIP2",1.24903235411314,8.42802859858323e-08,"Up","Up","Concordant"
"Arpc1b",0.242978706375186,0.00153225102497238,"ARPC1B",0.486932071044364,0.0267725409893221,"Up","Up","Concordant"
"Ugt8a",0.348129016271151,0.00163319020217149,"UGT8",1.06259825126872,0.0103103403397405,"Up","Up","Concordant"
"Slc6a8",0.301596105241595,0.00177517961798772,"SLC6A8",0.623906575881693,0.00112296923819242,"Up","Up","Concordant"
"Thbd",0.135386226344613,0.00220999461951612,"THBD",3.05276162074154,3.1729278426304e-15,"Up","Up","Concordant"
"Abca8b",-0.278793842384175,0.00234183845525312,"ABCA8",-0.470479392328077,0.0157219218813005,"Down","Down","Concordant"
"Lats2",0.202823718432545,0.00246190705900934,"LATS2",0.753919398972276,0.000191715521508286,"Up","Up","Concordant"
"Anxa3",0.383418394694577,0.00246232161007926,"ANXA3",1.50257605396623,3.2527132515507e-05,"Up","Up","Concordant"
"Sbf2",0.280058406213779,0.00289470573467692,"SBF2",0.312403863549848,0.0209914297804558,"Up","Up","Concordant"
"Gpr37l1",0.230851756010309,0.00303875122847005,"GPR37L1",1.34688202118724,0.0057794070837936,"Up","Up","Concordant"
"Med13",0.29694107652389,0.00346076987647129,"MED13",0.42573688724737,0.00265938253575744,"Up","Up","Concordant"
"Pdgfa",0.302054467225959,0.00361124065008501,"PDGFA",0.879372327836207,3.1607668430588e-05,"Up","Up","Concordant"
"Erf",0.419879285366621,0.00394714823230349,"ERF",0.978029724670068,1.11626728087188e-10,"Up","Up","Concordant"
"Ddx5",0.167370068985606,0.00402208178511365,"DDX5",0.793816015429833,2.16237727586592e-06,"Up","Up","Concordant"
"Por",0.279674758519361,0.00420006831301159,"POR",0.87339836948443,0.00626108930690975,"Up","Up","Concordant"
"Sfpq",0.207903640525884,0.00431728121304231,"SFPQ",0.615547768668322,0.000417455264524902,"Up","Up","Concordant"
"Cyld",0.24600003106101,0.00439047246316712,"CYLD",0.394198863752814,0.0235273695251941,"Up","Up","Concordant"
"Rnf130",0.19825469820908,0.00461830171951102,"RNF130",0.633290765107246,0.00987145592148945,"Up","Up","Concordant"
"Msn",0.159536787788498,0.00469015210858663,"MSN",0.749048616559787,0.00116970604397622,"Up","Up","Concordant"
"Zfand5",0.251163202410712,0.00473793833061784,"ZFAND5",1.4578836575202,7.85741210891019e-15,"Up","Up","Concordant"
"Ccnl1",0.154719557862097,0.00535685842085834,"CCNL1",1.79798614282593,8.62481445186436e-13,"Up","Up","Concordant"
"Anxa2",0.224067845591119,0.00567011060972065,"ANXA2",0.706843322468273,0.000609765555954405,"Up","Up","Concordant"
"Cdk16",0.168028774608239,0.0060448252968633,"CDK16",0.554504205460204,0.00735914658193213,"Up","Up","Concordant"
"Clic4",0.186406880793217,0.00630840418434219,"CLIC4",0.732289462195245,0.00150457165929963,"Up","Up","Concordant"
"Osmr",0.310457451982553,0.00650636953411765,"OSMR",0.945120884488168,1.31704197158958e-05,"Up","Up","Concordant"
"Mlf2",0.301853399795244,0.00663819259594663,"MLF2",0.556036688843159,0.00156007265139888,"Up","Up","Concordant"
"Crlf3",0.183751402560852,0.00672553336464631,"CRLF3",0.674211248765869,0.020962088936711,"Up","Up","Concordant"
"Emp1",0.247999228354401,0.00673197716701016,"EMP1",1.97830302926921,5.3396499147672e-10,"Up","Up","Concordant"
"Gjc3",0.242924930080979,0.00686173073497474,"GJC3",1.77220224797196,0.000641135206273757,"Up","Up","Concordant"
"Atrnl1",0.202921862303513,0.00703083998523288,"ATRNL1",1.52941780623292,2.97752640206857e-05,"Up","Up","Concordant"
"Adipor1",0.28753232959022,0.00710101534777493,"ADIPOR1",1.01296851195654,0.000247113914416857,"Up","Up","Concordant"
"Ankrd17",0.243219717485545,0.00760500876795437,"ANKRD17",0.316447458481444,0.0269277461357285,"Up","Up","Concordant"
"Map1b",0.261401004036672,0.00830477262677396,"MAP1B",0.482800784960368,0.0100343188238451,"Up","Up","Concordant"
"Inpp5f",0.0486375012684206,0.00833097936952902,"INPP5F",0.685172855793275,0.000480933402322696,"Up","Up","Concordant"
"Tmbim6",0.100881493982223,0.00834612016671314,"TMBIM6",0.430109731737986,0.0349546573916798,"Up","Up","Concordant"
"Slc38a2",0.30575750233276,0.00854095525792603,"SLC38A2",0.937377457359951,6.48296092327976e-11,"Up","Up","Concordant"
"Lamp2",0.250255947230719,0.00908774287167418,"LAMP2",0.506149517619926,0.0447822817650321,"Up","Up","Concordant"
"Ss18",0.222604610908856,0.00912172441970316,"SS18",0.290813539567098,0.00348531368103289,"Up","Up","Concordant"
"Kdm7a",0.311371852603309,0.00913835642124469,"KDM7A",0.652926559762724,0.00743898841011381,"Up","Up","Concordant"
"Cdc42se1",0.19669108046189,0.0092535153538013,"CDC42SE1",1.73398384481073,1.22045303504878e-08,"Up","Up","Concordant"
"Serinc5",0.137762550259411,0.00956249766953401,"SERINC5",0.463910206966822,0.00779226043093408,"Up","Up","Concordant"
