"Mouse_Symbol","Mouse_log2FC","Mouse_pval","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Ckb",0.301441789751117,0.000466292406770665,"CKB",0.857415093072227,5.30852914329566e-15,"Up","Up","Concordant"
"S100a6",0.234587865801428,0.000564206446330353,"S100A6",0.295483239760776,1.01272497407963e-16,"Up","Up","Concordant"
"Igfbp7",0.417985744780447,0.00126397242013429,"IGFBP7",1.0090433507825,7.39086709621914e-114,"Up","Up","Concordant"
"Sptbn1",-0.164930830952948,0.00154292420994396,"SPTBN1",-0.428965046738478,1.86793757641035e-16,"Down","Down","Concordant"
"Abca8b",-0.278793842384175,0.00234183845525312,"ABCA8",-0.327996893066868,0.0453972555628082,"Down","Down","Concordant"
"Plxnb1",0.171405198675408,0.00269977635495081,"PLXNB1",0.730932184348532,0.0116581645797314,"Up","Up","Concordant"
"Tmod2",-0.266074227521256,0.00293819811098888,"TMOD2",-0.623925946502459,6.0734970363343e-10,"Down","Down","Concordant"
"Ppl",0.333808021325451,0.00342108702312854,"PPL",1.617300901776,8.28349483623731e-12,"Up","Up","Concordant"
"Ank3",-0.123541751006204,0.0063085449334306,"ANK3",-0.429856305547353,0.023717896384544,"Down","Down","Concordant"
"Timp2",0.199764930107667,0.00903496568807602,"TIMP2",0.386943497683537,1.32602673395383e-15,"Up","Up","Concordant"
