"Mouse_Symbol","Mouse_log2FC","Mouse_pval","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Dbp",0.640523566262328,1.64090781521232e-08,"DBP",-1.24920220507366,0.000906717305914943,"Up","Down","Discordant"
"Kcna1",-0.314900731495233,9.65604229904301e-05,"KCNA1",1.77994603376021,0.000672740015383392,"Down","Up","Discordant"
"Ctsa",0.36878916829387,0.000117688108593149,"CTSA",-0.26958859819655,0.0485587397724834,"Up","Down","Discordant"
"Six5",0.349054681527553,0.000222255299099109,"SIX5",-1.19916151973698,0.000165829767918995,"Up","Down","Discordant"
"Per3",0.396087490619796,0.000353099982322293,"PER3",-0.4257381222925,0.041497444185606,"Up","Down","Discordant"
"Ctdsp2",0.323557557602596,0.000412855225713403,"CTDSP2",-0.244733063780935,0.0286007764265969,"Up","Down","Discordant"
"Lrp1",0.234314218777444,0.000514384292915982,"LRP1",-0.819374421249414,0.000902398609018947,"Up","Down","Discordant"
"Uap1l1",0.300023397256731,0.00116251504816506,"UAP1L1",-1.14038346864141,0.000149629967975977,"Up","Down","Discordant"
"F3",-0.418122714796239,0.00263377628578023,"F3",0.88253926607158,0.000328483487033753,"Down","Up","Discordant"
"Gpsm2",0.208425325419465,0.00297190456317874,"GPSM2",-0.643528148935149,0.00133872018965923,"Up","Down","Discordant"
"Ppl",0.333808021325451,0.00342108702312854,"PPL",-0.617752451702494,0.0299551262134215,"Up","Down","Discordant"
"C77080",0.243864416316534,0.00372402437438845,"KIAA1522",-0.92883977936656,0.00082121651232471,"Up","Down","Discordant"
"Appl2",0.173482195316743,0.00425285524220464,"APPL2",-0.245203986480916,0.0302278443866026,"Up","Down","Discordant"
"Nr1d1",0.227091620587021,0.00473483567779407,"NR1D1",-0.560845481396384,0.0270849229019528,"Up","Down","Discordant"
"Nfib",0.178896276135661,0.00510694650837864,"NFIB",-0.53264323325203,0.0257183056294427,"Up","Down","Discordant"
"Dusp6",-0.423853742897024,0.00520979235156064,"DUSP6",0.838839297126798,0.00102203797236345,"Down","Up","Discordant"
"Sh2b1",0.201888652723769,0.00537021218750924,"SH2B1",-0.770375019411598,0.00104939110389465,"Up","Down","Discordant"
"Bcl9",0.206590996035874,0.00556198792930103,"BCL9",-0.751428785155075,8.6805293852652e-05,"Up","Down","Discordant"
"Zfp865",0.26322103021361,0.00590353311407389,"ZNF865",-0.462672701844989,0.0494443744321489,"Up","Down","Discordant"
"Glt8d1",0.202345067043608,0.00618035390540844,"GLT8D1",-0.397458213091208,0.02371255306438,"Up","Down","Discordant"
"Ahdc1",0.218010790317848,0.00653759395395174,"AHDC1",-0.957319590877164,0.00298518891647262,"Up","Down","Discordant"
"Comt",0.191567974823047,0.00803882254940289,"COMT",-0.362315019865887,0.0157210129282574,"Up","Down","Discordant"
"Bckdhb",0.27986528227528,0.00829825789440412,"BCKDHB",-0.447582873998099,0.0403598743791539,"Up","Down","Discordant"
"Slc25a36",0.357002476871152,0.00861416571135355,"SLC25A36",-0.383963062433775,0.0335977550000253,"Up","Down","Discordant"
"Fignl2",0.231186640444809,0.00878664638972606,"FIGNL2",-1.02442384016592,1.99528457163489e-05,"Up","Down","Discordant"
"Timp2",0.199764930107667,0.00903496568807602,"TIMP2",-0.31091995692204,0.0387226628601124,"Up","Down","Discordant"
