"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"04710","Circadian rhythm",34,5,0.000192558796215546,0.0308199223231158,"Per1,Per3,Cry2,Nr1d2,Bhlhe41"
"04140","Autophagy - animal",167,10,0.000355440218705877,0.0308199223231158,"Pik3r1,Vps18,Birc6,Zfyve1,Atg13,Rab33b,Eif2ak3,Akt2,Bcl2l1,Rab1a"
"05014","Amyotrophic lateral sclerosis",376,16,0.000358371189803672,0.0308199223231158,"Fus,Hspa5,Ndufab1,Atg13,Pfn1,Itpr3,Ndufa13,Eif2ak3,Alyref,mt-Nd1,mt-Atp8,Actg1,Tomm40,Bcl2l1,Bax,Rab1a"
"01522","Endocrine resistance",93,7,0.000725397090599535,0.04678811234367,"Pik3r1,Adcy1,Notch1,Sos2,Akt2,Carm1,Bax"
"04150","mTOR signaling pathway",158,9,0.00100116354317759,0.0516600388279637,"Pik3r1,Lpin1,Slc3a2,Rnf152,Sos2,Flcn,Akt2,Atp6v1g2,Slc38a9"
"04510","Focal adhesion",202,10,0.00154730691285556,0.0571686633119594,"Pik3r1,Tnxb,Lama5,Dock1,Flnb,Sos2,Akt2,Actg1,Itgb4,Lama4"
"04215","Apoptosis - multiple species",32,4,0.00162780955544716,0.0571686633119594,"Bok,Birc6,Bcl2l1,Bax"
"01521","EGFR tyrosine kinase inhibitor resistance",80,6,0.00177267173060339,0.0571686633119594,"Pik3r1,Sos2,Erbb3,Akt2,Bcl2l1,Bax"
"04211","Longevity regulating pathway",90,6,0.00322065906785772,0.0895124897153146,"Pik3r1,Adcy1,Adipor2,Atg13,Akt2,Bax"
"05222","Small cell lung cancer",94,6,0.00399656372626537,0.0895124897153146,"Pik3r1,Lama5,Akt2,Bcl2l1,Bax,Lama4"
"04070","Phosphatidylinositol signaling system",96,6,0.00443271108650061,0.0895124897153146,"Pik3r1,Ip6k2,Itpk1,Itpr3,Ippk,Inppl1"
"05020","Prion disease",273,11,0.00455869692699347,0.0895124897153146,"Hspa1b,Pik3r1,Hspa5,Ndufab1,Notch1,Itpr3,Ndufa13,Eif2ak3,mt-Nd1,mt-Atp8,Bax"
"04932","Non-alcoholic fatty liver disease",162,8,0.00458246883478345,0.0895124897153146,"Pik3r1,Ndufab1,Adipor2,Ndufa13,Eif2ak3,Akt2,Bax,Map3k11"
