"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"04710","Circadian rhythm",34,5,4.65899760101325e-06,0.000959753505808729,"Per1,Per2,Per3,Cry2,Dbp"
"04978","Mineral absorption",55,4,0.00071934535447254,0.0740925715106717,"Mt2,Mt1,Clcn2,Atp1b3"
"05417","Lipid and atherosclerosis",217,7,0.00111043427545683,0.0762498202480359,"Ncf2,Pik3r1,Hspa8,Ldlr,Xbp1,Hsp90ab1,Bcl2l1"
"04960","Aldosterone-regulated sodium reabsorption",38,3,0.0027537154852885,0.141816347492358,"Pik3r1,Sgk1,Atp1b3"
"05231","Choline metabolism in cancer",98,4,0.0059923818997422,0.246886134269379,"Pik3r1,Slc44a2,Chpt1,Ralgds"
"04820","Cytoskeleton in muscle cells",233,6,0.00758578043439131,0.260445128247435,"Snta1,Itgb4,Fmn2,Sdc3,Tmod2,Atp1b3"
"00900","Terpenoid backbone biosynthesis",23,2,0.0124397926356964,0.366085326136207,"Fdps,Hmgcs1"
"05212","Pancreatic cancer",76,3,0.0187724700967048,0.483391104990149,"Pik3r1,Bcl2l1,Ralgds"
"04215","Apoptosis - multiple species",32,2,0.0233632248954378,0.534758258717798,"Bcl2l1,Bok"
"00670","One carbon pool by folate",37,2,0.0306344416404074,0.53999459297407,"Mthfd1l,Mat2a"
"04148","Efferocytosis",163,4,0.0328326682428343,0.53999459297407,"Mertk,Atp8a1,Atp11a,Sgk1"
"04070","Phosphatidylinositol signaling system",96,3,0.0343613055769829,0.53999459297407,"Pik3r1,Itpk1,Ip6k2"
"04713","Circadian entrainment",100,3,0.0380848299730629,0.53999459297407,"Per1,Per2,Per3"
"04925","Aldosterone synthesis and secretion",104,3,0.0420066381964489,0.53999459297407,"Ldlr,Atp1b3,Nr4a1"
"04141","Protein processing in endoplasmic reticulum",177,4,0.0424066302109435,0.53999459297407,"Hspa8,Xbp1,Hsp90ab1,Derl1"
"04974","Protein digestion and absorption",108,3,0.0461242978479971,0.53999459297407,"Slc3a2,Slc1a5,Atp1b3"
"05145","Toxoplasmosis",109,3,0.047183993560841,0.53999459297407,"Hspa8,Ldlr,Bcl2l1"
