"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"04925","Aldosterone synthesis and secretion",104,3,0.000378565835194394,0.0221469082418879,"Ldlr,Atp1b3,Nr4a1"
"04010","MAPK signaling pathway",299,4,0.000651954732086815,0.0221469082418879,"Arrb2,Hspa8,Mapk8ip1,Nr4a1"
"04710","Circadian rhythm",34,2,0.00101320278963085,0.0221469082418879,"Per2,Dbp"
"04960","Aldosterone-regulated sodium reabsorption",38,2,0.00126553761382217,0.0221469082418879,"Sgk1,Atp1b3"
"04978","Mineral absorption",55,2,0.00263657236291212,0.0369120130807697,"Clcn2,Atp1b3"
"05417","Lipid and atherosclerosis",217,3,0.00317239132486898,0.0370112321234715,"Ncf2,Hspa8,Ldlr"
"04927","Cortisol synthesis and secretion",72,2,0.00447580371410594,0.0447580371410594,"Ldlr,Nr4a1"
"04144","Endocytosis",270,3,0.00585778817304017,0.0512556465141015,"Arrb2,Hspa8,Ldlr"
"04976","Bile secretion",101,2,0.00863712438379541,0.0636476719403068,"Ldlr,Atp1b3"
"04974","Protein digestion and absorption",108,2,0.00982623201421266,0.0636476719403068,"Slc1a5,Atp1b3"
"05145","Toxoplasmosis",109,2,0.0100017770191911,0.0636476719403068,"Hspa8,Ldlr"
"04928","Parathyroid hormone synthesis, secretion and action",116,2,0.0112697721123056,0.0657403373217828,"Arrb2,Sgk1"
"04934","Cushing syndrome",162,2,0.021227569621962,0.114302297964411,"Ldlr,Nr4a1"
