"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"04514","Cell adhesion molecule (CAM) interaction",181,7,0.000252238201103147,0.0362960623598819,"H2-Eb1,Sdc3,Cldn5,Cntn2,Cldn19,Mag,Cdh5"
"04610","Complement and coagulation cascades",94,5,0.000480742547813005,0.0362960623598819,"Cfd,Vwf,Cfhr1,Serpine2,Serpina5"
"04517","IgSF CAM signaling",300,7,0.00471998093760931,0.208809398767329,"Cntn2,Lmo7,Kcna2,Tubb3,Mag,Ptprz1,Robo4"
"04820","Cytoskeleton in muscle cells",233,6,0.00553137480178355,0.208809398767329,"Tnnc1,Sdc3,Comp,Synpo2,Fhl2,Fbn2"
"00480","Glutathione metabolism",73,3,0.0141701810138275,0.427939466617589,"Gpx3,Ggt5,Gstt2"
"00590","Arachidonic acid metabolism",89,3,0.0239193651552272,0.515974876919901,"Ptgds,Ggt5,Ptges"
"04512","ECM-receptor interaction",89,3,0.0239193651552272,0.515974876919901,"Reln,Vwf,Comp"
"04976","Bile secretion",101,3,0.0331014560059769,0.624789982112813,"Aqp1,Slc2a1,Ephx1"
"04145","Phagosome",183,4,0.0383659875431746,0.643696013224375,"H2-Eb1,Marco,Comp,Tubb3"
"04670","Leukocyte transendothelial migration",119,3,0.049829579336791,0.652513591912662,"Cldn5,Cldn19,Cdh5"
