"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"04514","Cell adhesion molecule (CAM) interaction",181,6,0.00109835376300274,0.159375370846153,"H2-Eb1,Cldn5,Cntn2,Cldn19,Mag,Cdh5"
"04610","Complement and coagulation cascades",94,4,0.00318193410938687,0.159375370846153,"Cfd,Vwf,Cfhr1,Serpina5"
"04517","IgSF CAM signaling",300,7,0.00318750741692307,0.159375370846153,"Cntn2,Lmo7,Kcna2,Tubb3,Mag,Ptprz1,Robo4"
"00480","Glutathione metabolism",73,3,0.0117344374816679,0.426747841608834,"Gpx3,Ggt5,Gstt2"
"04820","Cytoskeleton in muscle cells",233,5,0.0173963001897592,0.426747841608834,"Tnnc1,Comp,Synpo2,Fhl2,Fbn2"
"00590","Arachidonic acid metabolism",89,3,0.0199148992750789,0.426747841608834,"Ptgds,Ggt5,Ptges"
"04512","ECM-receptor interaction",89,3,0.0199148992750789,0.426747841608834,"Reln,Vwf,Comp"
"04976","Bile secretion",101,3,0.0276703138119218,0.512801196099446,"Aqp1,Slc2a1,Ephx1"
"04145","Phagosome",183,4,0.0307680717659667,0.512801196099446,"H2-Eb1,Marco,Comp,Tubb3"
"04510","Focal adhesion",202,4,0.0418610913391823,0.557641348265551,"Reln,Vwf,Cav1,Comp"
"04670","Leukocyte transendothelial migration",119,3,0.0419018073706317,0.557641348265551,"Cldn5,Cldn19,Cdh5"
"03272","Virion - Hepatitis viruses",52,2,0.0446113078612441,0.557641348265551,"Cldn5,Cldn19"
