"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"04064","NF-kappa B signaling pathway",107,30,3.06513177992406e-12,1.02681914627456e-09,"Cxcl1,Icam1,Gadd45b,Ptgs2,Bcl2a1a,Gadd45a,Nfkbia,Cxcl2,Tnfaip3,Birc3,Lyn,Zap70,Blnk,Relb,Lck,Nfkb2,Card11,Tlr4,Il1b,Bcl10,Chuk,Prkcq,Il1r1,Tnfsf14,Nfkb1,Plau,Cd40lg,Eda2r,Prkcb,Gadd45g"
"04668","TNF signaling pathway",118,30,4.63657230734414e-11,7.76625861480144e-09,"Cxcl1,Icam1,Sele,Il6,Ptgs2,Socs3,Nfkbia,Ccl12,Cebpb,Creb3l1,Cxcl2,Tnfaip3,Il18r1,Irf1,Frmd8,Map3k8,Birc3,Bcl3,Mmp3,Creb5,Mlkl,Lif,Ccl20,Map2k3,Il1b,Chuk,Cxcl5,Mapk12,Nfkb1,Tnfrsf1b"
"04380","Osteoclast differentiation",136,31,4.33857611659463e-10,4.84474333019733e-08,"Fcgr4,Fosl1,Pirb,Fosl2,Socs3,Nfkbia,Lilra5,Sirpb1a,Ncf1,Ncf2,Nfatc2,Blnk,Relb,Lck,Nfkb2,Jund,Ifngr2,Oscar,Il1b,Il1a,Chuk,Spi1,Mapk12,Fcgr3,Il1r1,Ncf4,Nfkb1,Socs1,Ifngr1,Lcp2,Fosb"
"04060","Cytokine-cytokine receptor interaction",294,49,6.20303627764145e-10,5.19504288252471e-08,"Cxcr2,Csf3,Cxcr1,Cxcl1,Il1r2,Csf3r,Il6,Bmp2,Tnfrsf12a,Osm,Ccl12,Ccr3,Cxcl2,Il18rap,Il18r1,Il1rn,Il1rap,Il1rl2,Pf4,Csf2rb,Cxcr4,Relt,Clcf1,Il7,Il12rb2,Lif,Il20,Ccl20,Il2rb,Ifngr2,Bmp8a,Il1b,Il1a,Il17ra,Il4ra,Cxcl5,Gdf7,Il1r1,Il6ra,Cntf,Tnfsf14,Ifngr1,Inhba,Tnfrsf1b,Cd40lg,Eda2r,Acvr1c,Acvr1b,Il11"
"05152","Tuberculosis",180,35,3.14079904470124e-09,2.10433535994983e-07,"Fcgr4,Clec4e,Il6,Cebpb,Ciita,Cycs,Plk3,Cyp27b1,Tlr2,Rab5a,Camp,Ripk2,Cd209e,Hspd1,Sphk1,Ifngr2,Tlr4,Hspa9,Il1b,Il1a,Pla2r1,Bcl10,H2-Oa,H2-DMb2,Clec7a,Camk2b,Mapk12,Fcgr3,Coro1a,Atp6v0b,Nfkb1,Ifngr1,Irak2,Ctss,Tlr1"
"05145","Toxoplasmosis",109,26,4.02693862476167e-09,2.24837406549193e-07,"Nfkbia,Ciita,Cycs,Tlr2,Ldlr,Birc3,Pik3r6,Alox5,Map2k3,Nfkbib,Ifngr2,Tlr4,Gnai3,Chuk,Pik3r5,Ppif,H2-Oa,H2-DMb2,Birc7,Mapk12,Nfkb1,Socs1,Ifngr1,Lamb3,Cd40lg,Hspa8"
"04657","IL-17 signaling pathway",98,24,9.14870140333255e-09,3.88124433771656e-07,"Csf3,Cxcl1,Fosl1,Il6,Ptgs2,S100a8,Nfkbia,Ccl12,Cebpb,Cxcl2,Tnfaip3,Lcn2,Mmp3,Jund,Muc5b,Ikbke,Ccl20,Il1b,Il17ra,Chuk,Cxcl5,Mapk12,Nfkb1,Fosb"
"05140","Leishmaniasis",70,20,9.268643194547e-09,3.88124433771656e-07,"Fcgr4,Ptgs2,Nfkbia,Ncf1,Ncf2,Tlr2,Marcksl1,Nfkbib,Ifngr2,Tlr4,Il1b,Il1a,H2-Oa,H2-DMb2,Mapk12,Fcgr3,Ncf4,Nfkb1,Ifngr1,Prkcb"
"04659","Th17 cell differentiation",105,24,3.88737921770988e-08,1.44696893103646e-06,"Il6,Nfkbia,Il1rap,Nfatc2,Zap70,Lck,Gata3,Il2rb,Nfkbib,Ifngr2,Il1b,Chuk,Il4ra,H2-Oa,H2-DMb2,Prkcq,Hif1a,Mapk12,Il1r1,Il6ra,Nfkb1,Cd247,Ifngr1,Cd3g"
"04625","C-type lectin receptor signaling pathway",112,24,1.44036353994225e-07,4.82521785880655e-06,"Clec4e,Il6,Ptgs2,Nfkbia,Clec4d,Nlrp3,Plk3,Irf1,Nfatc2,Bcl3,Relb,Mapkapk2,Cd209e,Nfkb2,Egr3,Ikbke,Il1b,Bcl10,Chuk,Clec7a,Mapk12,Clec1b,Clec4b1,Nfkb1"
"05235","PD-L1 expression and PD-1 checkpoint pathway in cancer",88,20,5.82404587150625e-07,1.77368669723145e-05,"Nfkbia,Batf3,Tlr2,Nfatc2,Zap70,Lck,Cd274,Map2k3,Nfkbib,Ifngr2,Tlr4,Chuk,Prkcq,Hif1a,Batf,Mapk12,Nfkb1,Cd247,Ifngr1,Cd3g"
"05200","Pathways in cancer",549,65,1.15798077808895e-06,3.23269633883164e-05,"Cdkn1a,Csf3r,Gadd45b,Myc,Il6,Ptgs2,Bmp2,Ccna1,Gadd45a,Nfkbia,Cycs,Pim1,Skp2,Nkx3-1,Runx1t1,Igf2,Birc3,Rasgrp4,Csf2rb,Cdk2,Gng5,Cxcr4,Gli2,Il7,Lpar2,Tgfa,Nfkb2,Il12rb2,Vegfa,Ednrb,Frat2,Il2rb,Ifngr2,Gnai3,Chuk,Spi1,Il4ra,Birc7,Agt,E2f3,Ctnna3,Camk2b,Hif1a,Col4a4,Igf1,Gnb3,Cks2,Gna13,Il6ra,Rac2,Lpar6,Ralb,Nfkb1,Wnt3,Ifngr1,Lamb3,Frat1,Bdkrb1,Ptch2,Lpar4,Stk4,Prkcb,Flt3l,Gadd45g,Rassf5"
"04640","Hematopoietic cell lineage",94,20,1.77151434196533e-06,4.56505618891065e-05,"Csf3,Il1r2,Csf3r,Il6,Cd55,Tfrc,Il7,Fcer2a,Il1b,Il1a,Itga5,Il4ra,H2-Oa,H2-DMb2,Il1r1,Il6ra,Cd3g,Cd2,Flt3l,Il11"
"04658","Th1 and Th2 cell differentiation",88,19,2.54050868344256e-06,6.07907434966614e-05,"Nfkbia,Nfatc2,Zap70,Lck,Il12rb2,Gata3,Il2rb,Nfkbib,Ifngr2,Chuk,Il4ra,H2-Oa,H2-DMb2,Prkcq,Mapk12,Nfkb1,Cd247,Ifngr1,Cd3g"
