"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"04710","Circadian rhythm",34,4,2.24215844310873e-06,0.000271301171616157,"Dbp,Nr1d1,Cry2,Per3"
"04713","Circadian entrainment",100,3,0.00271745691004112,0.164406143057488,"Fos,Per3,Gria3"
"05166","Human T-cell leukemia virus 1 infection",247,4,0.0048253957087158,0.19462429358487,"Egr1,Fos,Zfp36,Anapc2"
"04010","MAPK signaling pathway",299,4,0.00940203983577056,0.230658995342327,"Fos,Dusp6,Nr4a1,Igf1r"
"04730","Long-term depression",60,2,0.0122826840780839,0.230658995342327,"Gria3,Igf1r"
"05031","Amphetamine addiction",69,2,0.0160269685303948,0.230658995342327,"Fos,Gria3"
"04510","Focal adhesion",202,3,0.0187600399305392,0.230658995342327,"Col4a1,Lamb1,Igf1r"
"04151","PI3K-Akt signaling pathway",368,4,0.0189316689789982,0.230658995342327,"Nr4a1,Col4a1,Lamb1,Igf1r"
"05133","Pertussis",77,2,0.0197135330258238,0.230658995342327,"Fos,C1s1"
"05202","Transcriptional misregulation in cancer",226,3,0.0251535594227308,0.230658995342327,"Dusp6,Gria3,Igf1r"
"04512","ECM-receptor interaction",89,2,0.0258403036189551,0.230658995342327,"Col4a1,Lamb1"
"01522","Endocrine resistance",93,2,0.0280341828628499,0.230658995342327,"Fos,Igf1r"
"04914","Progesterone-mediated oocyte maturation",93,2,0.0280341828628499,0.230658995342327,"Anapc2,Igf1r"
"05222","Small cell lung cancer",94,2,0.0285940903316935,0.230658995342327,"Col4a1,Lamb1"
"04933","AGE-RAGE signaling pathway in diabetic complications",101,2,0.0326383970725268,0.245332735899081,"Egr1,Col4a1"
"05146","Amoebiasis",108,2,0.036894620018457,0.245332735899081,"Col4a1,Lamb1"
"04928","Parathyroid hormone synthesis, secretion and action",116,2,0.0420065131298054,0.245332735899081,"Egr1,Fos"
"04935","Growth hormone synthesis, secretion and action",117,2,0.0426634411965075,0.245332735899081,"Fos,Junb"
"04668","TNF signaling pathway",118,2,0.0433242700580554,0.245332735899081,"Fos,Junb"
"04114","Oocyte meiosis",123,2,0.0466860351007825,0.245332735899081,"Anapc2,Igf1r"
"04152","AMPK signaling pathway",127,2,0.0494430813900056,0.245332735899081,"Fasn,Igf1r"
