"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"GO:0033489","cholesterol biosynthetic process via desmosterol",21,13,3.34409589310781e-22,4.84585457762104e-19,"Msmo1,Hmgcs1,Fdft1,Hmgcr,Lss,Cyp51,Sqle,Mvd,Dhcr24,Idi1,Mvk,Hsd17b7,Fdps"
"GO:0036196","zymosterol metabolic process",16,12,3.62532761418033e-22,4.84585457762104e-19,"Msmo1,Hmgcs1,Fdft1,Hmgcr,Lss,Cyp51,Sqle,Mvd,Idi1,Mvk,Hsd17b7,Fdps"
"GO:0036197","zymosterol biosynthetic process",16,12,3.62532761418033e-22,4.84585457762104e-19,"Msmo1,Hmgcs1,Fdft1,Hmgcr,Lss,Cyp51,Sqle,Mvd,Idi1,Mvk,Hsd17b7,Fdps"
"GO:0033490","cholesterol biosynthetic process via lathosterol",22,13,8.11011463039074e-22,8.13038991696672e-19,"Msmo1,Hmgcs1,Fdft1,Hmgcr,Lss,Cyp51,Sqle,Mvd,Dhcr24,Idi1,Mvk,Hsd17b7,Fdps"
"GO:0006695","cholesterol biosynthetic process",70,16,1.70252645226488e-18,1.13785517893036e-15,"Msmo1,Hmgcs1,Fdft1,Insig1,Hmgcr,Lss,Cyp51,Sqle,Mvd,Dhcr24,Idi1,Mvk,Kpnb1,Hsd17b7,Hmgcs2,Fdps"
"GO:1902653","secondary alcohol biosynthetic process",70,16,1.70252645226488e-18,1.13785517893036e-15,"Msmo1,Hmgcs1,Fdft1,Insig1,Hmgcr,Lss,Cyp51,Sqle,Mvd,Dhcr24,Idi1,Mvk,Kpnb1,Hsd17b7,Hmgcs2,Fdps"
"GO:0016126","sterol biosynthetic process",74,16,4.47357449047591e-18,2.56271910097263e-15,"Msmo1,Hmgcs1,Fdft1,Insig1,Hmgcr,Lss,Cyp51,Sqle,Mvd,Dhcr24,Idi1,Mvk,Kpnb1,Hsd17b7,Hmgcs2,Fdps"
"GO:0008610","lipid biosynthetic process",741,36,1.40305684819382e-16,7.03282245157153e-14,"Msmo1,Hmgcs1,Fdft1,Ldlr,Insig1,Hmgcr,Lss,Pdgfa,Cyp51,Slc27a1,Sqle,Mvd,Dhcr24,Fasn,Idi1,Ugt8a,Mvk,Kpnb1,Mid1ip1,Pigp,Plaat3,Hsd17b7,Pam,Plaa,Hsd17b4,Serinc1,Scd1,Elovl6,Nme1,Abhd4,Hmgcs2,Fdps,Pex7,Cers4,Lpin1,Paqr4"
"GO:0006629","lipid metabolic process",1493,48,8.08283456707166e-15,3.60135184599526e-12,"Msmo1,Hmgcs1,Fdft1,Ldlr,Insig1,Pmp22,Hmgcr,Lss,Pdgfa,Cyp51,Slc27a1,Sqle,Mvd,Dhcr24,Fasn,Idi1,Ugt8a,Mvk,Kpnb1,Plppr2,Comt,Cerk,Mid1ip1,Etfb,Tiparp,Pigp,Plaat3,Hsd17b7,Acot2,Pam,Plaa,Aacs,Hsd17b4,Serinc1,Scd1,Elovl6,Nme1,Gpd1,Abhd4,Hmgcs2,Fdps,Pex7,Plpp3,Fmc1,Cers4,Ncor1,Lpin1,Paqr4"
"GO:0008203","cholesterol metabolic process",165,18,1.1260884741398e-14,4.5156147813006e-12,"Msmo1,Hmgcs1,Fdft1,Ldlr,Insig1,Pmp22,Hmgcr,Lss,Cyp51,Sqle,Mvd,Dhcr24,Idi1,Mvk,Kpnb1,Hsd17b7,Hmgcs2,Fdps"
"GO:0016125","sterol metabolic process",174,18,2.87259245783179e-14,1.04719052326414e-11,"Msmo1,Hmgcs1,Fdft1,Ldlr,Insig1,Pmp22,Hmgcr,Lss,Cyp51,Sqle,Mvd,Dhcr24,Idi1,Mvk,Kpnb1,Hsd17b7,Hmgcs2,Fdps"
"GO:1902652","secondary alcohol metabolic process",178,18,4.27984149071168e-14,1.43018036481282e-11,"Msmo1,Hmgcs1,Fdft1,Ldlr,Insig1,Pmp22,Hmgcr,Lss,Cyp51,Sqle,Mvd,Dhcr24,Idi1,Mvk,Kpnb1,Hsd17b7,Hmgcs2,Fdps"
"GO:0046165","alcohol biosynthetic process",156,16,9.22521432266706e-13,2.8456238026073e-10,"Msmo1,Hmgcs1,Fdft1,Insig1,Hmgcr,Lss,Cyp51,Sqle,Mvd,Dhcr24,Idi1,Mvk,Kpnb1,Hsd17b7,Hmgcs2,Fdps"
"GO:0023051","regulation of signaling",3853,76,6.00587163274076e-12,1.72025323194932e-09,"Ddit4,Eps8l1,Ldlr,Mal,Insig1,Pmp22,Hmgcr,Ucp2,Pdgfa,Sox10,Bcar3,Cntf,Samd5,Cadm4,Sema7a,Adcy1,Tpt1,Plscr2,Pea15a,Kpnb1,Lrrc4c,Tmem33,Safb2,Prdx2,Anks1,Cdc42se2,Pdia6,Fnta,Pdia3,Itgb1,Mt3,Col1a1,Chmp2b,Flcn,Pcbp2,Cav2,Ctsd,Lamtor5,Rapgef3,Anapc2,Faim,S100a4,Crlf3,Ophn1,Arhgap28,Hspa1b,Aacs,Lamc1,Sesn1,Bmp2k,Rrn3,Lmbrd1,Tmem14a,Gabarap,Itga3,Dab2ip,Lgr4,Bmpr1a,Chmp5,Otud7b,Tgif1,Cd59a,Tmsb4x,Asxl1,Parl,Slmap,Cdc42bpa,Sri,Plpp3,Plekha4,Ncor1,Rbpj,Tsg101,Frzb,Arhgef10,Ufsp2"
"GO:0009056","catabolic process",2857,63,7.61702540509785e-12,2.03628479162949e-09,"Ddit4,Ldlr,Pmp22,Hmgcr,Ucp2,Cyp51,Ctsa,Tm9sf1,Prdx2,Anks1,Comt,Snrnp70,Itgb1,Mt3,Etfb,Chmp2b,Flcn,Nrbp2,Erlec1,Tiparp,Lrrc75a,Pcbp2,Ctsd,Plaat3,Xrn2,Rab24,Anapc2,Rab2a,Acot2,Ophn1,Pam,Magoh,Hspa1b,Plaa,Hsd17b4,Exosc7,Ndfip1,Gpt2,Nme1,Gpd1,Sesn1,Xpo1,Gabarap,Enpp4,Dab2ip,Abhd4,Chmp5,Rnf215,Prep,Otud7b,Tmem106b,Anapc16,Ercc4,Ube2d2a,Parl,Elob,Pex7,Fmc1,Ncor1,Tsg101,Lpin1,Nedd8,Ufsp2"
