"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"GO:0048731","system development",4438,29,1.9846868807347e-10,4.51119327990997e-07,"Cntf,Arid5b,Insig1,Cryab,Gldn,Pmp22,Ldlr,Sgk1,Mfsd2a,Slc7a5,Nr4a2,Col1a1,Egr2,Hspa8,Tgfa,Klf9,Slc39a1,Tiparp,Errfi1,Cdkn1a,Ifngr1,Odc1,Itm2c,B3gnt5,Slc12a2,Klf15,Gjc3,Megf9,Sdc4"
"GO:0007275","multicellular organism development",5197,30,1.66287778599629e-09,1.5263088285662e-06,"Cntf,Arid5b,Insig1,Cryab,Gldn,Nfkbia,Pmp22,Ldlr,Sgk1,Mfsd2a,Slc7a5,Nr4a2,Col1a1,Egr2,Hspa8,Tgfa,Klf9,Slc39a1,Tiparp,Errfi1,Cdkn1a,Ifngr1,Odc1,Itm2c,B3gnt5,Slc12a2,Klf15,Gjc3,Megf9,Sdc4"
"GO:0051179","localization",5607,31,2.01448591539753e-09,1.5263088285662e-06,"Cntf,Cadm3,Insig1,Cryab,Nfkbia,Ldlr,Hmgcr,Sgk1,Mfsd2a,Slc7a5,Fxyd6,Col1a1,Egr2,Slc6a6,Sptbn5,Hspa8,Prkcq,Cmtm6,Atp1b3,Slc39a1,Efr3b,Errfi1,Mapk8ip1,Cdkn1a,Atp1a1,Slc12a2,Slc9a9,Klf15,Gjb1,Gjc3,Sdc4"
"GO:0006810","transport",4642,28,3.50358590442681e-09,1.99091269019053e-06,"Cntf,Insig1,Cryab,Nfkbia,Ldlr,Hmgcr,Sgk1,Mfsd2a,Slc7a5,Fxyd6,Col1a1,Egr2,Slc6a6,Sptbn5,Hspa8,Prkcq,Cmtm6,Atp1b3,Slc39a1,Mapk8ip1,Cdkn1a,Atp1a1,Slc12a2,Slc9a9,Klf15,Gjb1,Gjc3,Sdc4"
"GO:0048856","anatomical structure development",6654,33,6.21962100740166e-09,2.82743970996479e-06,"Cntf,Arid5b,Tsc22d3,Insig1,Cryab,Gldn,Nfkbia,Pmp22,Ldlr,Hmgcr,Sgk1,Mfsd2a,Slc7a5,Nr4a2,Col1a1,Egr2,Hspa8,Tgfa,Klf9,Slc39a1,Tiparp,Errfi1,Cdkn1a,Ifngr1,Odc1,Itm2c,B3gnt5,Slc12a2,Klf15,Arhgef26,Gjc3,Megf9,Sdc4"
"GO:0051234","establishment of localization",4883,28,1.12869909454594e-08,3.84434217384622e-06,"Cntf,Insig1,Cryab,Nfkbia,Ldlr,Hmgcr,Sgk1,Mfsd2a,Slc7a5,Fxyd6,Col1a1,Egr2,Slc6a6,Sptbn5,Hspa8,Prkcq,Cmtm6,Atp1b3,Slc39a1,Mapk8ip1,Cdkn1a,Atp1a1,Slc12a2,Slc9a9,Klf15,Gjb1,Gjc3,Sdc4"
"GO:0032502","developmental process",7236,34,1.18391531970627e-08,3.84434217384622e-06,"Cntf,Arid5b,Tsc22d3,Insig1,Cryab,Gldn,Nfkbia,Pmp22,Ldlr,Hmgcr,Sgk1,Mfsd2a,Slc7a5,Nr4a2,Col1a1,Egr2,Slc6a6,Hspa8,Tgfa,Klf9,Slc39a1,Tiparp,Errfi1,Cdkn1a,Ifngr1,Odc1,Itm2c,B3gnt5,Slc12a2,Klf15,Arhgef26,Gjc3,Megf9,Sdc4"
"GO:0009628","response to abiotic stimulus",1354,15,3.23061101529402e-08,9.17897354720414e-06,"Tsc22d3,Cryab,Nfkbia,Pmp22,Hmgcr,Sgk1,Slc7a5,Nr4a2,Col1a1,Hspa8,Errfi1,Cdkn1a,Atp1a1,Ppp1cb,Slc12a2"
"GO:0048513","animal organ development",3492,23,4.35935881137294e-08,1.1009802864723e-05,"Cntf,Arid5b,Tsc22d3,Insig1,Cryab,Pmp22,Hmgcr,Mfsd2a,Slc7a5,Nr4a2,Col1a1,Egr2,Hspa8,Tgfa,Slc39a1,Tiparp,Errfi1,Cdkn1a,Odc1,Slc12a2,Klf15,Megf9,Sdc4"
"GO:1901700","response to oxygen-containing compound",2039,17,1.95137247575861e-07,4.43546963739933e-05,"Insig1,Cryab,Nfkbia,Ldlr,Hmgcr,Sgk1,Slc7a5,Nr4a2,Col1a1,Egr2,Hspa8,Klf9,Prkcq,Errfi1,Atp1a1,Slc12a2,Klf15"
"GO:0006883","intracellular sodium ion homeostasis",27,4,2.3226915958785e-07,4.52084769105438e-05,"Sgk1,Atp1b3,Atp1a1,Slc12a2"
"GO:0048518","positive regulation of biological process",6819,31,2.70388418404386e-07,4.52084769105438e-05,"Cntf,Arid5b,Insig1,Nfkbia,Pmp22,Ldlr,Hmgcr,Sgk1,Mfsd2a,Slc7a5,Fxyd6,Nr4a2,Col1a1,Egr2,Slc6a6,Hspa8,Tgfa,Klf9,Prkcq,Atp1b3,Tiparp,Mapk8ip1,Cdkn1a,Ifngr1,Odc1,Itm2c,Chst2,Atp1a1,Slc12a2,Klf15,Sdc4"
"GO:0048522","positive regulation of cellular process",6410,30,2.70947385104211e-07,4.52084769105438e-05,"Cntf,Arid5b,Insig1,Nfkbia,Pmp22,Ldlr,Hmgcr,Sgk1,Mfsd2a,Slc7a5,Fxyd6,Nr4a2,Col1a1,Egr2,Slc6a6,Hspa8,Tgfa,Klf9,Prkcq,Atp1b3,Tiparp,Mapk8ip1,Cdkn1a,Ifngr1,Odc1,Itm2c,Chst2,Slc12a2,Klf15,Sdc4"
"GO:0032501","multicellular organismal process",9056,36,2.78450803672509e-07,4.52084769105438e-05,"Cntf,Arid5b,Tsc22d3,Insig1,Cryab,Gldn,Nfkbia,Pmp22,Ldlr,Hmgcr,Sgk1,Mfsd2a,Slc7a5,Nr4a2,Col1a1,Egr2,Hspa8,Tgfa,Klf9,Prkcq,Slc39a1,Tiparp,Efr3b,Errfi1,Mapk8ip1,Cdkn1a,Ifngr1,Odc1,Itm2c,Atp1a1,B3gnt5,Slc12a2,Klf15,Gjc3,Megf9,Sdc4"
"GO:0006950","response to stress",4288,24,4.32619602815945e-07,6.55562904800429e-05,"Cntf,Tsc22d3,Insig1,Cryab,Nfkbia,Pmp22,Ldlr,Hmgcr,Sgk1,Mfsd2a,Slc7a5,Nr4a2,Col1a1,Hspa8,Prkcq,Errfi1,Cdkn1a,Ifngr1,Chst2,Atp1a1,Slc12a2,Slc9a9,Klf15,Sdc4"
"GO:1901701","cellular response to oxygen-containing compound",1469,14,6.45882656130093e-07,9.17557048364813e-05,"Insig1,Nfkbia,Ldlr,Hmgcr,Sgk1,Slc7a5,Nr4a2,Col1a1,Hspa8,Klf9,Prkcq,Errfi1,Slc12a2,Klf15"
"GO:0043066","negative regulation of apoptotic process",1063,12,8.30395710556946e-07,0.000107141450374519,"Cntf,Tsc22d3,Cryab,Hmgcr,Sgk1,Slc7a5,Nr4a2,Hspa8,Tgfa,Prkcq,Mapk8ip1,Cdkn1a"
"GO:0007517","muscle organ development",385,8,8.48458471949556e-07,0.000107141450374519,"Cntf,Arid5b,Tsc22d3,Cryab,Pmp22,Hmgcr,Egr2,Hspa8"
