"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"GO:0009987","cellular process",20947,235,1.2396932336938e-17,4.73295437227491e-14,"Aldh1a1,Tmsb4x,Snrnp70,Kcna1,Epb41l4b,Bmp2k,Fign,Ifngr1,Pdk4,H2-D1,Ntng1,Iqsec1,Chrdl1,Selenon,Emp1,Laptm4b,Papss1,Ranbp9,Fxyd7,Cnp,S100a11,Pgrmc1,Prx,Drp2,Ube2d2a,Emp3,Stbd1,Tmem59,Cnn3,Anxa1,Appbp2,Tmbim1,Pcdh7,Prss23,mt-Atp6,Cst3,Klf2,Sostdc1,Hsd17b11,Tmed9,Ahnak,Arid5b,Gab1,Zfp281,Cpe,Bicd1,Ndst1,Eps8l1,Ifitm3,Srsf2,Bcl2l1,Gal3st1,Rbms1,Gnai1,Serinc1,Akap12,Nfkbia,Cd59a,Rab8b,Tmem106b,Zdhhc8,Wipi2,Kif1a,Gpm6b,Zbtb38,Lin7c,Zfp36,Creb3l2,Ep400,Tsc22d3,Dynlrb1,Cdkal1,Dag1,Reep3,Cap1,Gulp1,Cryab,Ank3,Arhgap42,Tcp11l2,Ddhd1,Ezh1,Gatad1,Ncam1,Rbbp6,Ralgapa2,Apoe,Setd1b,Arhgef17,Lamb1,Dpysl2,Cdc42ep1,Sparc,Atp6ap1,Tecr,Cfl1,P4hb,Gk5,Rab2a,Srp68,Tmem176a,Cat,Crebrf,Mal,Zfp809,mt-Co2,Srebf1,Ndufa6,Tns3,L1cam,Sema6d,Fkbp10,Tkt,Per1,Selenop,Vat1,Col1a2,Tab2,Magt1,Vwc2,Azin1,Vps11,Top2b,Disc1,Adam17,Rnf213,Plekhb1,Ip6k1,Fam53b,Hipk3,Ivns1abp,Fis1,Mbtps1,Gpr37l1,Rhbdf2,Tsc22d4,Gsn,Arrdc3,Bst2,Nfe2l2,Psmc3,Zbtb37,Vwa1,Atf3,Grn,Il1rap,Morf4l1,Xrn2,Ndufs4,Slmap,Sdf2,Comt,Nucb1,Ube3a,Chtop,Aco1,Ndufa13,Ppm1a,Arhgef26,Tmem219,Pdgfd,Jam3,Ybx3,Gas7,Sirpa,Tnks1bp1,Anks1,Efs,Cnnm3,Rcn3,Tcp11l1,Taok1,Ddx10,Ralgds,Abhd4,Stmn1,Zfp90,Lamp1,Pdzd2,Eif2s3y,Itm2c,Zfp318,Rnf187,Pttg1ip,Appl1,Pwwp2a,Acad9,Akap11,Pmp22,Ubxn6,Zdhhc20,Fam168a,Mxi1,Ptk2,Zfc3h1,Etfbkmt,Jak2,Eef1a1,Col16a1,Stard3,Sfswap,Id3,Ctsc,Adam9,Zeb1,Gnas,Abhd12,Tenm3,Mapkbp1,Aspa,Stk38,Gramd1b,Cyp39a1,Snx16,Adam10,Sirt3,Srsf11,Lrrtm4,Plp1,Slc10a6,Stx17,Retreg1,Mid1ip1,Snapc3,Gas8,Ddx46,Ttyh1,Foxo1,S1pr3,Dbp,Hnrnpk,Klf9,Dennd6a,Cd81,Sri"
"GO:0048518","positive regulation of biological process",6819,124,3.3050610290198e-17,4.73295437227491e-14,"Aldh1a1,Tmsb4x,Snrnp70,Epb41l4b,Bmp2k,Ifngr1,H2-D1,Iqsec1,Selenon,Ranbp9,Fxyd7,S100a11,Pgrmc1,Tmem59,Anxa1,Tmbim1,Cst3,Klf2,Tmed9,Ahnak,Arid5b,Gab1,Zfp281,Bicd1,Ndst1,Eps8l1,Bcl2l1,Gnai1,Akap12,Nfkbia,Cd59a,Rab8b,Tmem106b,Zdhhc8,Gpm6b,Zbtb38,Zfp36,Creb3l2,Ep400,Dag1,Ank3,Ddhd1,Ezh1,Ncam1,Apoe,Lamb1,Dpysl2,Cdc42ep1,Sparc,Cfl1,P4hb,Cat,Crebrf,Mal,Srebf1,Tns3,L1cam,Sema6d,Per1,Tab2,Vwc2,Azin1,Vps11,Top2b,Disc1,Adam17,Fam53b,Fis1,Mbtps1,Gpr37l1,Gsn,Arrdc3,Nfe2l2,Psmc3,Atf3,Grn,Il1rap,Morf4l1,Comt,Ube3a,Ndufa13,Ppm1a,Pdgfd,Jam3,Ybx3,Sirpa,Rcn3,Taok1,Zfp90,Lamp1,Eif2s3y,Itm2c,Zfp318,Rnf187,Pttg1ip,Appl1,Pwwp2a,Akap11,Pmp22,Fam168a,Ptk2,Jak2,Col16a1,Id3,Ctsc,Adam9,Zeb1,Gnas,Tenm3,Mapkbp1,Aspa,Adam10,Sirt3,Lrrtm4,Plp1,Mid1ip1,Gas8,Foxo1,Dbp,Hnrnpk,Klf9,Dennd6a,Cd81,Sri"
"GO:0048856","anatomical structure development",6654,122,4.0106525305698e-17,4.73295437227491e-14,"Aldh1a1,Tmsb4x,Kcna1,Bmp2k,Ifngr1,H2-D1,Ntng1,Iqsec1,Chrdl1,Selenon,Cnp,Pgrmc1,Prx,Drp2,Cnn3,Anxa1,Tmbim1,Pcdh7,Cst3,Klf2,Sostdc1,Arid5b,Gab1,Zfp281,Cpe,Ndst1,Bcl2l1,Gal3st1,Nfkbia,Cd59a,Tmem106b,Zdhhc8,Kif1a,Gpm6b,Lin7c,Zfp36,Creb3l2,Tsc22d3,Dag1,Cap1,Cryab,Ank3,Ddhd1,Ezh1,Ncam1,Rbbp6,Apoe,Lamb1,Dpysl2,Cdc42ep1,Sparc,Atp6ap1,Cfl1,Tmem176a,Cat,Mal,mt-Co2,Srebf1,Tns3,L1cam,Sema6d,Fkbp10,Selenop,Vat1,Col1a2,Tab2,Vwc2,Top2b,Disc1,Adam17,Rnf213,Fis1,Gpr37l1,Tsc22d4,Gsn,Arrdc3,Nfe2l2,Psmc3,Atf3,Grn,Il1rap,Xrn2,Ndufs4,Comt,Ube3a,Chtop,Aco1,Arhgef26,Pdgfd,Jam3,Ybx3,Gas7,Sirpa,Anks1,Rcn3,Taok1,Ddx10,Stmn1,Eif2s3y,Itm2c,Akap11,Pmp22,Mxi1,Ptk2,Jak2,Id3,Ctsc,Adam9,Zeb1,Gnas,Tenm3,Aspa,Adam10,Lrrtm4,Plp1,Gas8,Ttyh1,Foxo1,S1pr3,Dbp,Klf9,Cd81"
"GO:0007275","multicellular organism development",5197,105,4.60960088614204e-17,4.73295437227491e-14,"Aldh1a1,Kcna1,Bmp2k,Ifngr1,H2-D1,Ntng1,Iqsec1,Chrdl1,Selenon,Cnp,Pgrmc1,Prx,Drp2,Anxa1,Pcdh7,Cst3,Klf2,Sostdc1,Arid5b,Gab1,Zfp281,Cpe,Ndst1,Bcl2l1,Gal3st1,Nfkbia,Cd59a,Tmem106b,Zdhhc8,Kif1a,Gpm6b,Lin7c,Zfp36,Creb3l2,Dag1,Cryab,Ank3,Ezh1,Ncam1,Rbbp6,Apoe,Lamb1,Dpysl2,Sparc,Atp6ap1,Cfl1,Tmem176a,Cat,Mal,Srebf1,Tns3,L1cam,Sema6d,Fkbp10,Selenop,Col1a2,Tab2,Vwc2,Top2b,Disc1,Adam17,Rnf213,Gpr37l1,Tsc22d4,Gsn,Nfe2l2,Psmc3,Grn,Il1rap,Xrn2,Ndufs4,Comt,Ube3a,Chtop,Aco1,Pdgfd,Jam3,Ybx3,Gas7,Anks1,Rcn3,Taok1,Stmn1,Eif2s3y,Itm2c,Akap11,Pmp22,Mxi1,Ptk2,Jak2,Id3,Ctsc,Zeb1,Gnas,Tenm3,Aspa,Adam10,Lrrtm4,Plp1,Gas8,Ttyh1,Foxo1,S1pr3,Dbp,Klf9"
"GO:0048522","positive regulation of cellular process",6410,119,5.4239678802142e-17,4.73295437227491e-14,"Aldh1a1,Tmsb4x,Snrnp70,Epb41l4b,Bmp2k,Ifngr1,H2-D1,Iqsec1,Selenon,Ranbp9,Fxyd7,S100a11,Pgrmc1,Tmem59,Anxa1,Cst3,Klf2,Tmed9,Ahnak,Arid5b,Gab1,Zfp281,Bicd1,Ndst1,Eps8l1,Bcl2l1,Gnai1,Akap12,Nfkbia,Cd59a,Rab8b,Tmem106b,Zbtb38,Zfp36,Creb3l2,Ep400,Dag1,Ank3,Ddhd1,Ezh1,Ncam1,Apoe,Lamb1,Dpysl2,Cdc42ep1,Sparc,Cfl1,P4hb,Cat,Crebrf,Mal,Srebf1,Tns3,L1cam,Sema6d,Per1,Tab2,Vwc2,Azin1,Vps11,Top2b,Disc1,Adam17,Fam53b,Fis1,Mbtps1,Gpr37l1,Gsn,Arrdc3,Nfe2l2,Psmc3,Atf3,Grn,Il1rap,Morf4l1,Comt,Ube3a,Ndufa13,Ppm1a,Pdgfd,Jam3,Sirpa,Rcn3,Taok1,Zfp90,Lamp1,Itm2c,Zfp318,Rnf187,Pttg1ip,Appl1,Pwwp2a,Akap11,Pmp22,Fam168a,Ptk2,Jak2,Col16a1,Id3,Ctsc,Adam9,Zeb1,Gnas,Tenm3,Mapkbp1,Aspa,Adam10,Sirt3,Lrrtm4,Plp1,Mid1ip1,Gas8,Foxo1,Dbp,Hnrnpk,Klf9,Dennd6a,Cd81,Sri"
"GO:0032502","developmental process",7236,127,1.83679851073735e-16,1.33565865039118e-13,"Aldh1a1,Tmsb4x,Kcna1,Bmp2k,Ifngr1,H2-D1,Ntng1,Iqsec1,Chrdl1,Selenon,Cnp,Pgrmc1,Prx,Drp2,Cnn3,Anxa1,Appbp2,Tmbim1,Pcdh7,Cst3,Klf2,Sostdc1,Arid5b,Gab1,Zfp281,Cpe,Ndst1,Bcl2l1,Gal3st1,Nfkbia,Cd59a,Tmem106b,Zdhhc8,Kif1a,Gpm6b,Lin7c,Zfp36,Creb3l2,Tsc22d3,Dag1,Cap1,Cryab,Ank3,Ddhd1,Ezh1,Ncam1,Rbbp6,Apoe,Lamb1,Dpysl2,Cdc42ep1,Sparc,Atp6ap1,Cfl1,Tmem176a,Cat,Mal,mt-Co2,Srebf1,Tns3,L1cam,Sema6d,Fkbp10,Selenop,Vat1,Col1a2,Tab2,Vwc2,Top2b,Disc1,Adam17,Rnf213,Plekhb1,Fis1,Gpr37l1,Tsc22d4,Gsn,Arrdc3,Nfe2l2,Psmc3,Atf3,Grn,Il1rap,Xrn2,Ndufs4,Comt,Ube3a,Chtop,Aco1,Arhgef26,Pdgfd,Jam3,Ybx3,Gas7,Sirpa,Anks1,Rcn3,Taok1,Ddx10,Stmn1,Lamp1,Eif2s3y,Itm2c,Akap11,Pmp22,Zdhhc20,Mxi1,Ptk2,Jak2,Id3,Ctsc,Adam9,Zeb1,Gnas,Tenm3,Aspa,Adam10,Lrrtm4,Plp1,Retreg1,Gas8,Ttyh1,Foxo1,S1pr3,Dbp,Klf9,Cd81"
"GO:0065007","biological regulation",13697,187,3.1692777475034e-16,1.97536554462247e-13,"Aldh1a1,Tmsb4x,Snrnp70,Kcna1,Epb41l4b,Bmp2k,Ifngr1,Pdk4,H2-D1,Ntng1,Iqsec1,Chrdl1,Selenon,Laptm4b,Ranbp9,Fxyd7,Cnp,S100a11,Pgrmc1,Prx,Drp2,Tmem59,Anxa1,Appbp2,Tmbim1,Pcdh7,Cst3,Klf2,Sostdc1,Hsd17b11,Tmed9,Ahnak,Arid5b,Gab1,Zfp281,Cpe,Bicd1,Ndst1,Eps8l1,Ifitm3,Srsf2,Bcl2l1,Gnai1,Akap12,Nfkbia,Cd59a,Rab8b,Tmem106b,Zdhhc8,Kif1a,Gpm6b,Zbtb38,Lin7c,Zfp36,Creb3l2,Ep400,Tsc22d3,Dag1,Cap1,Cryab,Ank3,Arhgap42,Tcp11l2,Ddhd1,Ezh1,Gatad1,Ncam1,Rbbp6,Ralgapa2,Apoe,Lamb1,Dpysl2,Cdc42ep1,Sparc,Atp6ap1,Cfl1,P4hb,Tmem176a,Cat,Crebrf,Mal,Zfp809,mt-Co2,Srebf1,Tns3,L1cam,Sema6d,Tkt,Per1,Selenop,Vat1,Col1a2,Tab2,Vwc2,Azin1,Vps11,Top2b,Disc1,Adam17,Rnf213,Plekhb1,Ip6k1,Fam53b,Hipk3,Ivns1abp,Fis1,Mbtps1,Gpr37l1,Rhbdf2,Tsc22d4,Gsn,Arrdc3,Bst2,Nfe2l2,Psmc3,Zbtb37,Atf3,Grn,Il1rap,Morf4l1,Xrn2,Ndufs4,Slmap,Comt,Nucb1,Ube3a,Aco1,Ndufa13,Ppm1a,Arhgef26,Pdgfd,Jam3,Ybx3,Gas7,Sirpa,Anks1,Efs,Rcn3,Tcp11l1,Taok1,Ralgds,Stmn1,Zfp90,Lamp1,Eif2s3y,Itm2c,Zfp318,Rnf187,Pttg1ip,Appl1,Pwwp2a,Akap11,Pmp22,Fam168a,Mxi1,Ptk2,Etfbkmt,Jak2,Col16a1,Stard3,Sfswap,Id3,Ctsc,Adam9,Zeb1,Gnas,Abhd12,Tenm3,Mapkbp1,Aspa,Stk38,Adam10,Sirt3,Lrrtm4,Plp1,Retreg1,Mid1ip1,Gas8,Ttyh1,Foxo1,S1pr3,Dbp,Hnrnpk,Klf9,Dennd6a,Cd81,Sri"
"GO:0050789","regulation of biological process",13279,182,1.95421791379722e-15,1.06578159473716e-12,"Aldh1a1,Tmsb4x,Snrnp70,Kcna1,Epb41l4b,Bmp2k,Ifngr1,Pdk4,H2-D1,Ntng1,Iqsec1,Chrdl1,Selenon,Laptm4b,Ranbp9,Fxyd7,S100a11,Pgrmc1,Prx,Drp2,Tmem59,Anxa1,Appbp2,Tmbim1,Pcdh7,Cst3,Klf2,Sostdc1,Tmed9,Ahnak,Arid5b,Gab1,Zfp281,Cpe,Bicd1,Ndst1,Eps8l1,Ifitm3,Srsf2,Bcl2l1,Gnai1,Akap12,Nfkbia,Cd59a,Rab8b,Tmem106b,Zdhhc8,Kif1a,Gpm6b,Zbtb38,Lin7c,Zfp36,Creb3l2,Ep400,Tsc22d3,Dag1,Cap1,Cryab,Ank3,Arhgap42,Tcp11l2,Ddhd1,Ezh1,Gatad1,Ncam1,Rbbp6,Ralgapa2,Apoe,Lamb1,Dpysl2,Cdc42ep1,Sparc,Cfl1,P4hb,Tmem176a,Cat,Crebrf,Mal,Zfp809,Srebf1,Tns3,L1cam,Sema6d,Tkt,Per1,Selenop,Vat1,Col1a2,Tab2,Vwc2,Azin1,Vps11,Top2b,Disc1,Adam17,Rnf213,Plekhb1,Ip6k1,Fam53b,Hipk3,Ivns1abp,Fis1,Mbtps1,Gpr37l1,Rhbdf2,Tsc22d4,Gsn,Arrdc3,Bst2,Nfe2l2,Psmc3,Zbtb37,Atf3,Grn,Il1rap,Morf4l1,Xrn2,Ndufs4,Slmap,Comt,Nucb1,Ube3a,Aco1,Ndufa13,Ppm1a,Arhgef26,Pdgfd,Jam3,Ybx3,Gas7,Sirpa,Anks1,Efs,Rcn3,Tcp11l1,Taok1,Ralgds,Stmn1,Zfp90,Lamp1,Eif2s3y,Itm2c,Zfp318,Rnf187,Pttg1ip,Appl1,Pwwp2a,Akap11,Pmp22,Fam168a,Mxi1,Ptk2,Etfbkmt,Jak2,Col16a1,Sfswap,Id3,Ctsc,Adam9,Zeb1,Gnas,Abhd12,Tenm3,Mapkbp1,Aspa,Stk38,Adam10,Sirt3,Lrrtm4,Plp1,Retreg1,Mid1ip1,Gas8,Ttyh1,Foxo1,S1pr3,Dbp,Hnrnpk,Klf9,Dennd6a,Cd81,Sri"
"GO:0048731","system development",4438,92,3.00780377427337e-15,1.45811642968386e-12,"Aldh1a1,Kcna1,Ifngr1,H2-D1,Ntng1,Iqsec1,Chrdl1,Selenon,Cnp,Pgrmc1,Prx,Drp2,Anxa1,Pcdh7,Cst3,Klf2,Arid5b,Gab1,Cpe,Ndst1,Bcl2l1,Gal3st1,Cd59a,Tmem106b,Zdhhc8,Kif1a,Gpm6b,Lin7c,Creb3l2,Dag1,Cryab,Ank3,Ezh1,Ncam1,Apoe,Lamb1,Dpysl2,Sparc,Atp6ap1,Cfl1,Cat,Mal,Srebf1,Tns3,L1cam,Sema6d,Fkbp10,Selenop,Col1a2,Tab2,Vwc2,Top2b,Disc1,Adam17,Rnf213,Gpr37l1,Tsc22d4,Gsn,Nfe2l2,Grn,Il1rap,Xrn2,Ndufs4,Comt,Ube3a,Pdgfd,Jam3,Ybx3,Gas7,Anks1,Rcn3,Taok1,Stmn1,Eif2s3y,Itm2c,Pmp22,Ptk2,Jak2,Id3,Ctsc,Zeb1,Gnas,Tenm3,Aspa,Adam10,Lrrtm4,Plp1,Gas8,Ttyh1,Foxo1,Dbp,Klf9"
"GO:0009966","regulation of signal transduction",3214,75,8.96288052003922e-15,3.91050477089311e-12,"Tmsb4x,Bmp2k,Iqsec1,Chrdl1,Ranbp9,Tmbim1,Klf2,Sostdc1,Gab1,Cpe,Bicd1,Ndst1,Eps8l1,Bcl2l1,Akap12,Nfkbia,Cd59a,Dag1,Ank3,Arhgap42,Ncam1,Ralgapa2,Apoe,Lamb1,P4hb,Cat,Crebrf,Mal,Tns3,L1cam,Per1,Tab2,Vwc2,Vps11,Disc1,Adam17,Rnf213,Fam53b,Hipk3,Ivns1abp,Fis1,Gpr37l1,Rhbdf2,Gsn,Arrdc3,Nfe2l2,Atf3,Slmap,Ube3a,Ppm1a,Pdgfd,Ybx3,Sirpa,Anks1,Rcn3,Taok1,Stmn1,Itm2c,Pttg1ip,Appl1,Pmp22,Ptk2,Jak2,Ctsc,Adam9,Zeb1,Gnas,Mapkbp1,Stk38,Adam10,Sirt3,Gas8,Foxo1,Hnrnpk,Cd81"
