"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"04659","Th17 cell differentiation",105,3,0.000389369932311789,0.0256984155325781,"Ifngr1,Nfkbia,Il1rap"
"05168","Herpes simplex virus 1 infection",214,3,0.00304979281027185,0.0698903674699265,"Ifngr1,Srsf2,Nfkbia"
"05167","Kaposi sarcoma-associated herpesvirus infection",224,3,0.00347023702746669,0.0698903674699265,"Ifngr1,Nfkbia,Zfp36"
"05140","Leishmaniasis",70,2,0.00423577984666221,0.0698903674699265,"Ifngr1,Nfkbia"
"04658","Th1 and Th2 cell differentiation",88,2,0.00661660750788967,0.0727826825867864,"Ifngr1,Nfkbia"
"05235","PD-L1 expression and PD-1 checkpoint pathway in cancer",88,2,0.00661660750788967,0.0727826825867864,"Ifngr1,Nfkbia"
"04517","IgSF CAM signaling",300,3,0.00784184686531514,0.0733463648074011,"Kcna1,Il1rap,Pmp22"
"05142","Chagas disease",103,2,0.00896974093058576,0.0733463648074011,"Ifngr1,Nfkbia"
"05145","Toxoplasmosis",109,2,0.0100017770191911,0.0733463648074011,"Ifngr1,Nfkbia"
"04380","Osteoclast differentiation",136,2,0.0152610751979569,0.100723096306516,"Ifngr1,Nfkbia"
"04530","Tight junction",170,2,0.0232316735915178,0.133443056624583,"Rab8b,Ybx3"
"05164","Influenza A",174,2,0.0242623739317423,0.133443056624583,"Ifngr1,Nfkbia"
"05166","Human T-cell leukemia virus 1 infection",247,2,0.046167122819996,0.212114684085979,"Nfkbia,Zfp36"
"05132","Salmonella infection",253,2,0.0482078827468134,0.212114684085979,"Nfkbia,Arhgef26"
