"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"GO:0032570","response to progesterone",38,2,2.1179065353355e-05,0.00673494278236689,"Mbp,Txnip"
"GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules",281,2,0.00116293821998858,0.0364815165794576,"Mbp,Cldn19"
"GO:1901654","response to ketone",282,2,0.00117115337858884,0.0364815165794576,"Mbp,Txnip"
"GO:0048545","response to steroid hormone",362,2,0.00191935967825822,0.0364815165794576,"Mbp,Txnip"
"GO:0007155","cell adhesion",1547,3,0.00197888210678786,0.0364815165794576,"Mbp,Adam23,Cldn19"
"GO:0098609","cell-cell adhesion",987,2,0.0136068161146621,0.105535793279574,"Mbp,Cldn19"
"GO:0009725","response to hormone",1062,2,0.0156610021890057,0.115818574327996,"Mbp,Txnip"
"GO:0033993","response to lipid",1161,2,0.018571835544937,0.12339267575389,"Mbp,Txnip"
"GO:0010628","positive regulation of gene expression",1400,2,0.0264995846773083,0.133759808371175,"Mbp,Cldn19"
"GO:0060429","epithelium development",1434,2,0.0277273834511004,0.135650891345384,"Txnip,Cldn19"
"GO:0009719","response to endogenous stimulus",1706,2,0.0384017435987967,0.141010526352502,"Mbp,Txnip"
"GO:0008152","metabolic process",13593,5,0.0411364602661566,0.142582489101579,"Mbp,Slc7a2,Adam23,Txnip,Cldn19"
"GO:0042127","regulation of cell population proliferation",1814,2,0.0430437702948164,0.142582489101579,"Txnip,Cldn19"
"GO:0006810","transport",4642,3,0.0439607794229914,0.144118843881559,"Slc7a2,Txnip,Cldn19"
