"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"GO:0048523","negative regulation of cellular process",5830,94,7.81373545642323e-17,2.91921156651972e-13,"Tax1bp3,Maged1,Kat6b,Ttc3,Rhbdf1,Cspg4,Ctsa,Tap2,Baz1b,Rtn4,Cdk9,Cd200,Trim35,Per3,Ctdsp2,Lrp1,Nipbl,Tm7sf3,Itm2b,Ppp1r9a,Zfp536,Zmynd11,Lifr,Cic,Crebbp,Hsp90b1,Srsf4,Sptbn1,H2-K1,Agrn,Irs1,Cttn,Cry2,Lats2,Fbxo7,Axin2,Ntrk3,Plxnb1,Ifit3,Igf1r,Tmem176b,Tmod2,Gpr37l1,N4bp2l2,Med13,Pdgfa,Crebzf,Ddx5,Ppt1,Herpud1,Por,Appl2,Sfpq,Tnrc6b,Cyld,Zc3h14,U2af2,Nr1d1,Ptms,Cd63,Ilk,Cabin1,Nr1d2,Traf2,Nfib,Dusp6,Hmgb1,Anxa2,Ubtf,Cep63,Appbp2,Prex2,Tcaf1,Clic4,Ank3,Foxo4,Tns2,Crlf3,Hspg2,Cirbp,Ccar2,Ankrd17,Fus,Comt,Fbh1,Map1b,Tmbim6,Prnp,Prkcsh,Timp2,Lamp2,Lgals3,Ss18,Clasp2"
"GO:0048522","positive regulation of cellular process",6410,98,3.71904967429568e-16,5.14435133943311e-13,"Trim56,Dhh,Maged1,Kat6b,Cspg4,Wnt6,Cdc42ep1,Tap2,Rgmb,Baz1b,Rtn4,Cdk9,Cd200,Trim35,Egln2,Lrp1,Nipbl,Tm7sf3,Ppp1r9a,Epb41l4b,Lifr,Crebbp,Il10rb,Hsp90b1,Sptbn1,H2-K1,Agrn,Irs1,Cttn,Lats2,Fbxo7,Axin2,Ntrk3,F3,Plxnb1,Igf1r,Tmod2,Gpsm2,Gpr37l1,Epm2aip1,N4bp2l2,Med13,Pdgfa,Mob2,Plgrkt,Sema3b,Crebzf,Ddx5,Ppt1,Herpud1,Por,Appl2,Tead3,Sfpq,Tnrc6b,Cyld,Zc3h14,U2af2,Msn,Myo1c,Nr1d1,Ptms,Cd63,Ilk,Nr1d2,Srsf5,Traf2,Nfib,Dusp6,Sh2b1,Hmgb1,Bcl9,Anxa2,Ubtf,Cdk16,Tcaf1,Ank3,Foxo4,Osmr,Crlf3,Hspg2,Cirbp,Ccar2,Ankrd17,Fus,Emc10,Comt,Fbh1,Map1b,Prnp,Slc38a2,Smc5,Timp2,Lamp2,Lgals3,Ss18,Kdm7a,Clasp2"
"GO:0048519","negative regulation of biological process",6085,95,4.13090310982316e-16,5.14435133943311e-13,"Tax1bp3,Maged1,Kat6b,Ttc3,Rhbdf1,Cspg4,Ctsa,Tap2,Baz1b,Rtn4,Cdk9,Cd200,Trim35,Per3,Ctdsp2,Lrp1,Nipbl,Tm7sf3,Itm2b,Ppp1r9a,Zfp536,Zmynd11,Lifr,Cic,Crebbp,Hsp90b1,Srsf4,Sptbn1,H2-K1,Agrn,Irs1,Cttn,Cry2,Lats2,Fbxo7,Axin2,Ntrk3,Plxnb1,Ifit3,Igf1r,Tmem176b,Tmod2,Gpr37l1,N4bp2l2,Med13,Pdgfa,Sema3b,Crebzf,Ddx5,Ppt1,Herpud1,Por,Appl2,Sfpq,Tnrc6b,Cyld,Zc3h14,U2af2,Nr1d1,Ptms,Cd63,Ilk,Cabin1,Nr1d2,Traf2,Nfib,Dusp6,Hmgb1,Anxa2,Ubtf,Cep63,Appbp2,Prex2,Tcaf1,Clic4,Ank3,Foxo4,Tns2,Crlf3,Hspg2,Cirbp,Ccar2,Ankrd17,Fus,Comt,Fbh1,Map1b,Tmbim6,Prnp,Prkcsh,Timp2,Lamp2,Lgals3,Ss18,Clasp2"
"GO:0048518","positive regulation of biological process",6819,100,2.53469232446602e-15,2.36740263105126e-12,"Trim56,C1s1,Dhh,Maged1,Kat6b,Cspg4,Wnt6,Cdc42ep1,Tap2,Rgmb,Baz1b,Rtn4,Cdk9,Cd200,Trim35,Egln2,Lrp1,Nipbl,Tm7sf3,Ppp1r9a,Epb41l4b,Lifr,Crebbp,Il10rb,Hsp90b1,Sptbn1,H2-K1,Agrn,Irs1,Cttn,Abca8b,Lats2,Fbxo7,Axin2,Ntrk3,F3,Plxnb1,Igf1r,Tmod2,Gpsm2,Gpr37l1,Epm2aip1,N4bp2l2,Med13,Pdgfa,Mob2,Plgrkt,Sema3b,Crebzf,Ddx5,Ppt1,Herpud1,Por,Appl2,Tead3,Sfpq,Tnrc6b,Cyld,Zc3h14,U2af2,Msn,Myo1c,Nr1d1,Ptms,Cd63,Ilk,Nr1d2,Srsf5,Traf2,Nfib,Dusp6,Sh2b1,Hmgb1,Bcl9,Anxa2,Ubtf,Cdk16,Tcaf1,Ank3,Foxo4,Osmr,Crlf3,Hspg2,Cirbp,Ccar2,Ankrd17,Fus,Emc10,Comt,Fbh1,Map1b,Prnp,Slc38a2,Smc5,Timp2,Lamp2,Lgals3,Ss18,Kdm7a,Clasp2"
"GO:0080090","regulation of primary metabolic process",5085,82,3.62337638026109e-14,2.70738683133108e-11,"Dhh,Maged1,Kat6b,Zfp866,Rhbdf1,Wnt6,Ctsa,Rgmb,Baz1b,Rtn4,Cdk9,Cd200,Egln2,Per3,Zfp638,Ctdsp2,Lrp1,Nipbl,Itm2b,Zfp536,Zmynd11,Cic,Crebbp,Srsf4,Agrn,Irs1,Cry2,Lats2,Axin2,Igf1r,Epm2aip1,N4bp2l2,Med13,Pdgfa,Plgrkt,Erf,Crebzf,Ddx5,Herpud1,Por,Appl2,Tead3,Sfpq,Tnrc6b,Cyld,Zc3h14,U2af2,Msn,Myo1c,Nr1d1,Ptms,Ilk,Nr1d2,Srsf5,Traf2,Nfib,Sh2b1,Hmgb1,Bcl9,Anxa2,Ubtf,Cep63,Zfp865,Foxo4,Ahdc1,Mlf2,Crlf3,Hspg2,Cirbp,Ccar2,Ankrd17,Fus,Comt,Fbh1,Tmbim6,Prnp,Slc38a2,Timp2,Ss18,Kdm7a,Clk3,Mbnl2"
"GO:0019222","regulation of metabolic process",6656,93,1.40872929944994e-12,8.77168777124162e-10,"Trim56,Dhh,Maged1,Kat6b,Zfp866,Rhbdf1,Wnt6,Ctsa,Rgmb,Baz1b,Rtn4,Cdk9,Cd200,Egln2,Per3,Zfp638,Ctdsp2,Lrp1,Nipbl,Itm2b,Zfp536,Zmynd11,Epb41l4b,Cic,Crebbp,Il10rb,Srsf4,Sptbn1,Agrn,Irs1,Cttn,Cry2,Lats2,Fbxo7,Axin2,Ntrk3,Tapbp,F3,Igf1r,Epm2aip1,N4bp2l2,Med13,Pdgfa,Plgrkt,Erf,Crebzf,Ddx5,Herpud1,Por,Appl2,Tead3,Sfpq,Tnrc6b,Cyld,Zc3h14,U2af2,Msn,Myo1c,Nr1d1,Ptms,Ilk,Nr1d2,Srsf5,Traf2,Nfib,Sh2b1,Hmgb1,Bcl9,Anxa2,Ubtf,Cep63,Zfp865,Cdk16,Ank3,Foxo4,Ahdc1,Mlf2,Crlf3,Hspg2,Cirbp,Ccar2,Ankrd17,Fus,Comt,Fbh1,Tmbim6,Prnp,Slc38a2,Timp2,Ss18,Kdm7a,Clk3,Mbnl2"
"GO:0065007","biological regulation",13697,145,2.04674558395956e-12,1.09237735738185e-09,"Tax1bp3,Trim56,C1s1,Dhh,Selenop,Maged1,Kat6b,Zfp866,Ttc3,Rhbdf1,Cspg4,Wnt6,Cdc42ep1,Ctsa,Tap2,Rgmb,Baz1b,Rtn4,Cdk9,Cd200,Trim35,Egln2,Per3,Zfp638,Ctdsp2,Lrp1,Nipbl,Tm7sf3,Itm2b,Rassf4,Ppp1r9a,Tuba1a,Slc3a2,Zfp536,Zmynd11,Epb41l4b,Lifr,Ncln,Cic,Crebbp,Il10rb,Hsp90b1,Srsf4,Sptbn1,H2-K1,Agrn,Irs1,Cttn,Cry2,Abca8b,Lats2,Fbxo7,Axin2,Ntrk3,Tapbp,F3,Plxnb1,Ifit3,Igf1r,Tmem176b,Sorcs1,Tmod2,Gpsm2,Tnk2,Efs,Ltbp4,Gpr37l1,Epm2aip1,N4bp2l2,Med13,Pdgfa,Mob2,Plgrkt,Sema3b,Erf,Crebzf,Ddx5,Ppt1,Herpud1,Por,Appl2,Tead3,Sfpq,Tnrc6b,Cyld,Dagla,Zc3h14,U2af2,Msn,Myo1c,Nr1d1,Ptms,Cd63,Ilk,Cabin1,Nr1d2,Srsf5,Traf2,Nfib,Dusp6,Sh2b1,Hmgb1,Bcl9,Anxa2,Ubtf,Cep63,Zfp865,Appbp2,Cdk16,Prex2,Plscr3,Tcaf1,Clic4,Ank3,Foxo4,Osmr,Tns2,Ahdc1,Mlf2,Crlf3,Hspg2,Cirbp,Ccar2,Ankrd17,Fus,Emc10,Comt,Fbh1,P4htm,Map1b,Tmbim6,Prnp,Slc38a2,Slc25a36,Prkcsh,Smc5,Timp2,Lamp2,Lgals3,Ss18,Kdm7a,Clk3,Serinc5,Clasp2,Mbnl2"
"GO:0050789","regulation of biological process",13279,142,2.91031696507222e-12,1.29818465887926e-09,"Tax1bp3,Trim56,C1s1,Dhh,Selenop,Maged1,Kat6b,Zfp866,Ttc3,Rhbdf1,Cspg4,Wnt6,Cdc42ep1,Ctsa,Tap2,Rgmb,Baz1b,Rtn4,Cdk9,Cd200,Trim35,Egln2,Per3,Zfp638,Ctdsp2,Lrp1,Nipbl,Tm7sf3,Itm2b,Rassf4,Ppp1r9a,Tuba1a,Zfp536,Zmynd11,Epb41l4b,Lifr,Ncln,Cic,Crebbp,Il10rb,Hsp90b1,Srsf4,Sptbn1,H2-K1,Agrn,Irs1,Cttn,Cry2,Abca8b,Lats2,Fbxo7,Axin2,Ntrk3,Tapbp,F3,Plxnb1,Ifit3,Igf1r,Tmem176b,Sorcs1,Tmod2,Gpsm2,Tnk2,Efs,Ltbp4,Gpr37l1,Epm2aip1,N4bp2l2,Med13,Pdgfa,Mob2,Plgrkt,Sema3b,Erf,Crebzf,Ddx5,Ppt1,Herpud1,Por,Appl2,Tead3,Sfpq,Tnrc6b,Cyld,Dagla,Zc3h14,U2af2,Msn,Myo1c,Nr1d1,Ptms,Cd63,Ilk,Cabin1,Nr1d2,Srsf5,Traf2,Nfib,Dusp6,Sh2b1,Hmgb1,Bcl9,Anxa2,Ubtf,Cep63,Zfp865,Appbp2,Cdk16,Prex2,Plscr3,Tcaf1,Clic4,Ank3,Foxo4,Osmr,Tns2,Ahdc1,Mlf2,Crlf3,Hspg2,Cirbp,Ccar2,Ankrd17,Fus,Emc10,Comt,Fbh1,P4htm,Map1b,Tmbim6,Prnp,Slc38a2,Prkcsh,Smc5,Timp2,Lamp2,Lgals3,Ss18,Kdm7a,Clk3,Clasp2,Mbnl2"
"GO:0009987","cellular process",20947,182,3.12731850372412e-12,1.29818465887926e-09,"Tax1bp3,Trim56,C1s1,Dhh,Selenop,Maged1,Kat6b,Slc44a1,Zfp866,Ttc3,Srrm2,Rhbdf1,Spaca6,Cspg4,Wnt6,Cdc42ep1,Ctsa,Tap2,Rgmb,Baz1b,Rtn4,Cdk9,Cd200,Trim35,Egln2,Per3,Zfp638,Ctdsp2,Ckb,Lrp1,Nipbl,Tm7sf3,Itm2b,S100a6,Rassf4,Ppp1r9a,Tuba1a,Slc3a2,Zfp536,Zmynd11,Antxr2,Epb41l4b,Lifr,Ncln,Cic,Crebbp,Il10rb,Uba7,Hsp90b1,Snrnp200,Serpinh1,Arpc1b,Srsf4,Sptbn1,Ugt8a,H2-K1,Agrn,Slc6a8,Irs1,Fbxl12,Col15a1,Etnk1,Acadsb,Cttn,Adprh,Cry2,Abca8b,Lats2,Fbxo7,Axin2,Ntrk3,Tapbp,F3,Plxnb1,Ifit3,Igf1r,Tmem176b,Aldh9a1,Sbf2,Sorcs1,Tmod2,Gpsm2,Tnk2,Efs,Ltbp4,Gpr37l1,Epm2aip1,Fads6,N4bp2l2,Acads,Med13,Eef1a1,Coq2,Pdgfa,Pcdh1,Mob2,Plgrkt,Sema3b,Erf,Chpf2,Crebzf,Ddx5,Ppt1,Herpud1,Sugp2,Por,Appl2,Tead3,Sfpq,Tnrc6b,Cyld,Dagla,Tmtc2,Zc3h14,U2af2,Rnf130,Msn,Myo1c,Nr1d1,Ptms,Cd63,Ilk,Cabin1,Sgcb,Nr1d2,Srsf5,Traf2,Nfib,Dusp6,Sh2b1,Hmgb1,Bcl9,Anxa2,Ubtf,Cep63,Zfp865,Appbp2,Cdk16,Prex2,Atp6v0e,Plscr3,Tcaf1,Clic4,Ank3,Foxo4,Osmr,Tns2,Ahdc1,Mlf2,Crlf3,Amy1,Hspg2,Cirbp,Ccar2,Mapk1ip1,Arih2,Ankrd17,Fus,Emc10,Comt,Fbh1,P4htm,Bckdhb,Map1b,Tmbim6,Prnp,Slc38a2,Slc25a36,Srp68,Prkcsh,Smc5,Timp2,Rnpepl1,Lamp2,Lgals3,Ss18,Kdm7a,Clk3,Serinc5,Clasp2,Emc1,Mbnl2"
"GO:0050794","regulation of cellular process",12856,138,1.10479610221143e-11,4.12751823786191e-09,"Tax1bp3,Trim56,Dhh,Maged1,Kat6b,Zfp866,Ttc3,Rhbdf1,Cspg4,Wnt6,Cdc42ep1,Ctsa,Tap2,Rgmb,Baz1b,Rtn4,Cdk9,Cd200,Trim35,Egln2,Per3,Zfp638,Ctdsp2,Lrp1,Nipbl,Tm7sf3,Itm2b,Rassf4,Ppp1r9a,Tuba1a,Zfp536,Zmynd11,Epb41l4b,Lifr,Ncln,Cic,Crebbp,Il10rb,Hsp90b1,Srsf4,Sptbn1,H2-K1,Agrn,Irs1,Cttn,Cry2,Lats2,Fbxo7,Axin2,Ntrk3,Tapbp,F3,Plxnb1,Ifit3,Igf1r,Tmem176b,Sorcs1,Tmod2,Gpsm2,Tnk2,Efs,Ltbp4,Gpr37l1,Epm2aip1,N4bp2l2,Med13,Pdgfa,Mob2,Plgrkt,Sema3b,Erf,Crebzf,Ddx5,Ppt1,Herpud1,Por,Appl2,Tead3,Sfpq,Tnrc6b,Cyld,Zc3h14,U2af2,Msn,Myo1c,Nr1d1,Ptms,Cd63,Ilk,Cabin1,Nr1d2,Srsf5,Traf2,Nfib,Dusp6,Sh2b1,Hmgb1,Bcl9,Anxa2,Ubtf,Cep63,Zfp865,Appbp2,Cdk16,Prex2,Plscr3,Tcaf1,Clic4,Ank3,Foxo4,Osmr,Tns2,Ahdc1,Mlf2,Crlf3,Hspg2,Cirbp,Ccar2,Ankrd17,Fus,Emc10,Comt,Fbh1,P4htm,Map1b,Tmbim6,Prnp,Slc38a2,Prkcsh,Smc5,Timp2,Lamp2,Lgals3,Ss18,Kdm7a,Clk3,Clasp2,Mbnl2"
