"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"04710","Circadian rhythm",34,4,0.000273958083875375,0.0567093233622026,"Per3,Cry2,Nr1d1,Nr1d2"
"05205","Proteoglycans in cancer",204,8,0.000653392352931737,0.0676261085284347,"Wnt6,Cttn,Igf1r,Ddx5,Msn,Cd63,Ank3,Hspg2"
"00280","Valine, leucine and isoleucine degradation",57,4,0.00197853349355801,0.103400477893309,"Acadsb,Aldh9a1,Acads,Bckdhb"
"04392","Hippo signaling pathway - multiple species",27,3,0.00199807686750356,0.103400477893309,"Rassf4,Lats2,Tead3"
"03250","Viral life cycle - HIV-1",63,4,0.00285834083778407,0.118335310684261,"Cdk9,Crebbp,Map1b,Serinc5"
"05202","Transcriptional misregulation in cancer",226,7,0.00533894942110579,0.18419375502815,"Cdk9,Igf1r,Pdgfa,Ddx5,Dusp6,Fus,Ss18"
"00071","Fatty acid degradation",52,3,0.012748816769419,0.293838778883828,"Acadsb,Aldh9a1,Acads"
"03272","Virion - Hepatitis viruses",52,3,0.012748816769419,0.293838778883828,"Cd63,Hspg2,Lamp2"
"05168","Herpes simplex virus 1 infection",214,6,0.0153555372454065,0.293838778883828,"Tap2,Srsf4,H2-K1,Tapbp,Srsf5,Traf2"
"03273","Virion - Lassa virus and SFTS virus",21,2,0.0163379031964808,0.293838778883828,"Pcdh1,Lamp2"
"05215","Prostate cancer",107,4,0.0181205478219599,0.293838778883828,"Crebbp,Hsp90b1,Igf1r,Pdgfa"
"01212","Fatty acid metabolism",62,3,0.0204012165011106,0.293838778883828,"Acadsb,Acads,Ppt1"
"04530","Tight junction",170,5,0.0218659668246427,0.293838778883828,"Tuba1a,Epb41l4b,Arpc1b,Cttn,Msn"
"04820","Cytoskeleton in muscle cells",233,6,0.0223474592672469,0.293838778883828,"Sptbn1,Agrn,Tmod2,Sgcb,Ank3,Hspg2"
"04630","JAK-STAT signaling pathway",171,5,0.0223616564048893,0.293838778883828,"Lifr,Crebbp,Il10rb,Pdgfa,Osmr"
"04517","IgSF CAM signaling",300,7,0.0227121761456099,0.293838778883828,"Tuba1a,Caskin2,Arpc1b,Sptbn1,Ntrk3,Msn,Ank3"
"04722","Neurotrophin signaling pathway",121,4,0.0270306589035887,0.327948671262271,"Maged1,Irs1,Ntrk3,Sh2b1"
"04145","Phagosome",183,5,0.02888641560161,0.327948671262271,"Tap2,Tuba1a,H2-K1,Atp6v0e,Lamp2"
"05132","Salmonella infection",253,6,0.0317558546547621,0.327948671262271,"Tuba1a,Actr1b,Hsp90b1,Arpc1b,Traf2,Anxa2"
"00640","Propanoate metabolism",31,2,0.0340515270566992,0.327948671262271,"Acads,Bckdhb"
"05100","Bacterial invasion of epithelial cells",77,3,0.0357008578469246,0.327948671262271,"Arpc1b,Cttn,Ilk"
"00410","beta-Alanine metabolism",32,2,0.036103288849088,0.327948671262271,"Aldh9a1,Acads"
"04068","FoxO signaling pathway",133,4,0.0364387412513634,0.327948671262271,"Crebbp,Irs1,Igf1r,Foxo4"
"04142","Lysosome",136,4,0.0390516432473827,0.336820423008675,"Ctsa,Ppt1,Cd63,Lamp2"
"04550","Signaling pathways regulating pluripotency of stem cells",140,4,0.0426987998667933,0.353546062897049,"Wnt6,Lifr,Axin2,Igf1r"
"04612","Antigen processing and presentation",88,3,0.0497881727443633,0.39639045223397,"Tap2,H2-K1,Tapbp"
